from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,738.19,135.71,51.64,58.22,2.16,3.14,0.25,0.66,0.32,0.92,19.06,3.63,23.44,26.99,71.54,13.89,02-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Jan-2020 - 00:00,738.59,79.28,34.84,64.69,2.06,1.79,0.16,0.57,0.29,0.84,17.52,3.3,21.44,24.74,69.81,10.26,03-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Jan-2020 - 00:00,737.13,95.34,36.12,67.75,1.7,2.72,0.51,1.79,0.8,0.64,26.67,5.35,37.94,43.29,53.79,10.29,04-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Jan-2020 - 00:00,736.64,102.54,38.16,133.48,1.37,3.99,1.01,3.91,2.01,1.17,29.21,8.79,38.38,47.17,41.8,6.65,05-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Jan-2020 - 00:00,737.11,124.92,46.58,151.25,1.46,5.6,1.17,5.4,2.64,0.83,37.14,17.54,45.83,63.37,31.01,6.81,06-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Jan-2020 - 00:00,737.24,101.36,40.94,149.0,1.36,2.64,0.58,2.65,1.37,0.56,26.34,7.46,34.6,42.06,40.16,12.12,07-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Jan-2020 - 00:00,734.89,89.95,36.78,96.19,1.41,2.19,0.31,1.02,0.64,0.91,16.87,3.56,20.14,23.7,57.93,8.82,08-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Jan-2020 - 00:00,733.85,104.35,40.19,178.81,1.87,3.16,0.55,2.21,0.9,1.05,29.42,9.64,35.21,44.85,31.37,10.65,09-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jan-2020 - 00:00,737.89,53.79,25.45,49.96,2.11,1.84,0.29,1.61,0.71,0.71,23.2,7.3,35.56,42.85,49.25,11.94,10-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jan-2020 - 00:00,738.66,74.64,30.64,95.53,1.45,2.96,0.6,2.45,1.13,1.12,27.97,12.38,45.59,57.97,51.65,10.82,11-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Jan-2020 - 00:00,738.15,97.27,37.75,138.06,1.13,3.99,0.56,2.59,1.28,1.13,35.51,14.5,53.64,68.14,42.16,10.96,12-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Jan-2020 - 00:00,735.87,104.65,37.08,134.72,1.27,3.75,1.19,2.58,2.09,1.22,56.76,13.49,50.9,64.39,48.49,14.29,13-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Jan-2020 - 00:00,731.82,105.54,35.7,202.87,1.38,6.65,3.13,6.26,5.51,0.75,29.45,14.86,43.17,58.03,42.86,15.05,14-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Jan-2020 - 00:00,734.44,69.24,29.78,106.8,1.66,4.41,2.35,4.3,4.43,0.93,21.39,8.79,32.29,41.08,47.16,11.29,15-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Jan-2020 - 00:00,735.0,68.64,29.33,50.11,2.23,4.28,2.26,3.65,4.11,0.66,16.98,5.44,25.05,30.49,53.38,12.31,16-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Jan-2020 - 00:00,734.22,73.09,31.18,41.64,2.21,4.09,2.67,4.09,4.22,0.87,22.43,7.16,36.68,43.84,44.36,12.5,17-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Jan-2020 - 00:00,735.53,91.73,37.71,129.53,1.22,5.88,3.04,5.14,4.87,1.1,30.9,13.36,50.17,63.53,34.77,12.94,18-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Jan-2020 - 00:00,736.71,87.1,35.89,131.15,1.12,7.18,3.53,6.18,5.45,1.14,30.95,16.56,46.56,63.1,30.29,10.3,19-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Jan-2020 - 00:00,737.82,108.23,41.48,149.01,1.48,6.91,3.59,6.32,5.1,0.8,28.7,12.89,46.4,59.28,44.09,11.59,20-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Jan-2020 - 00:00,736.79,109.3,39.62,139.03,1.42,5.67,1.77,4.22,3.06,0.98,29.95,13.04,50.33,63.37,41.45,9.74,21-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Jan-2020 - 00:00,736.73,77.56,31.09,102.06,1.4,4.05,0.3,1.1,0.56,0.81,14.24,3.39,21.42,24.78,55.08,9.25,22-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Jan-2020 - 00:00,738.91,89.69,36.45,90.64,1.7,4.34,0.73,3.29,1.43,1.03,23.26,6.44,39.67,46.11,50.51,10.56,23-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Jan-2020 - 00:00,738.77,74.48,30.25,159.6,1.66,3.62,1.62,5.34,2.62,1.03,25.0,13.65,39.26,52.91,42.55,13.19,24-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Jan-2020 - 00:00,736.66,73.4,31.33,199.56,1.39,3.4,1.04,4.95,2.24,0.9,26.08,10.97,45.09,56.06,40.18,12.39,25-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Jan-2020 - 00:00,735.92,112.83,41.7,159.96,1.17,6.77,2.6,8.77,4.25,1.61,41.42,32.23,60.78,93.02,35.39,11.44,26-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Jan-2020 - 00:00,734.48,111.31,38.25,155.97,1.2,5.62,1.27,5.63,2.62,1.02,31.84,15.04,52.36,67.4,39.56,10.0,27-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Jan-2020 - 00:00,731.42,66.17,27.52,127.77,1.38,3.21,0.23,0.94,0.48,0.81,15.82,3.15,24.54,27.68,61.84,10.53,28-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Jan-2020 - 00:00,730.51,88.74,29.41,190.96,1.34,2.56,0.49,2.23,0.98,0.9,20.9,4.93,35.35,40.28,47.61,7.61,29-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Jan-2020 - 00:00,735.88,51.3,24.82,129.41,1.68,1.75,0.54,2.33,1.02,0.73,22.49,7.52,40.03,47.55,47.24,7.03,30-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Jan-2020 - 00:00,736.97,60.37,26.52,156.09,1.52,2.42,0.65,2.98,1.34,0.86,27.12,9.57,49.35,58.92,42.2,8.66,31-Jan-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Jan-2020 - 00:00,734.73,79.36,30.3,148.45,1.49,2.09,0.57,2.43,1.12,0.86,28.0,9.98,50.69,60.65,42.67,13.97,01-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Feb-2020 - 00:00,736.89,88.71,35.2,123.91,1.56,3.33,1.04,3.94,1.73,0.86,24.49,10.48,42.57,53.04,51.98,11.78,02-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Feb-2020 - 00:00,738.45,98.67,37.97,124.5,1.4,4.12,0.79,2.77,1.36,1.07,24.52,10.69,41.23,51.93,64.56,14.23,03-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Feb-2020 - 00:00,737.3,80.6,31.72,114.9,1.35,3.24,0.31,1.51,0.69,0.8,19.28,4.39,35.33,39.71,60.28,12.86,04-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Feb-2020 - 00:00,735.53,79.39,31.91,94.75,1.19,3.54,0.14,0.59,0.26,0.53,13.95,4.25,22.55,26.8,74.72,16.76,05-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Feb-2020 - 00:00,736.15,93.41,34.51,121.84,1.45,3.33,0.82,3.06,1.54,0.98,24.32,8.69,42.86,51.55,67.35,14.82,06-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Feb-2020 - 00:00,735.41,104.67,39.38,110.63,1.49,3.85,0.87,3.22,1.56,0.95,30.12,10.79,54.0,64.79,55.11,15.56,07-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Feb-2020 - 00:00,737.29,86.55,35.98,114.45,1.69,2.67,0.58,2.16,0.89,0.83,22.3,6.48,40.27,46.75,66.4,13.11,08-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Feb-2020 - 00:00,739.3,74.21,30.09,83.7,1.69,2.04,0.42,1.76,0.75,0.82,23.63,6.38,44.77,51.14,65.95,15.11,09-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Feb-2020 - 00:00,739.71,108.82,41.63,139.06,1.24,4.95,0.78,3.07,1.5,1.03,32.9,15.62,57.1,72.71,53.08,11.96,10-Feb-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
