from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,24.88,759.32,51.53,80.83,0.0,69.0,198.34,28.59,0.08,104.9,4.04,1.21,,0.13,0.54,4.2,0.95,9.14,1.84,17.89,11.02,70.35,8.56,02-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Jan-2020 - 00:00,24.34,760.0,40.14,66.62,0.0,69.18,183.17,28.44,0.09,92.04,4.01,1.13,,0.17,0.55,5.18,0.9,8.49,1.65,17.87,10.86,80.67,11.41,03-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Jan-2020 - 00:00,25.12,757.82,38.55,67.11,0.0,70.29,184.16,28.56,0.06,119.38,3.19,1.28,,0.17,0.61,4.5,0.88,8.07,1.7,17.87,10.89,67.45,9.39,04-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Jan-2020 - 00:00,24.67,756.22,22.35,39.33,0.04,76.65,173.81,28.48,0.06,118.54,2.64,1.14,,0.17,0.63,4.86,0.83,8.81,1.89,17.37,10.78,53.93,6.41,05-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Jan-2020 - 00:00,24.48,757.04,27.21,50.96,0.0,75.64,169.27,28.45,0.05,114.72,2.83,1.33,,0.18,0.66,6.93,0.85,10.33,2.02,19.92,12.24,45.25,9.86,06-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Jan-2020 - 00:00,24.52,759.56,45.01,72.52,0.0,68.77,185.36,28.47,0.08,102.02,4.03,1.03,,0.15,0.58,4.14,0.83,12.87,1.91,17.6,10.91,65.23,10.6,07-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Jan-2020 - 00:00,24.0,758.95,58.71,86.19,0.0,67.91,186.96,28.64,0.09,99.26,4.06,1.09,,0.15,0.55,3.76,0.84,11.49,1.72,16.52,10.2,82.52,12.26,08-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Jan-2020 - 00:00,24.09,757.77,61.91,94.88,0.0,69.1,187.54,28.47,0.09,103.44,3.01,1.27,,0.23,0.84,5.42,0.75,5.95,1.69,19.04,11.51,79.75,10.46,09-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Jan-2020 - 00:00,24.15,757.23,54.39,100.08,0.0,71.47,164.3,28.4,0.01,193.93,1.81,1.58,,0.25,1.06,5.74,0.79,5.3,2.6,28.81,17.43,54.95,7.93,10-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Jan-2020 - 00:00,24.17,757.85,62.61,109.33,0.0,74.03,182.02,28.41,0.03,132.8,2.16,1.69,,0.24,1.01,6.44,0.75,13.92,2.35,25.96,15.72,54.47,10.06,11-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Jan-2020 - 00:00,23.63,758.83,64.61,104.74,0.0,71.96,183.03,28.53,0.01,168.29,2.38,1.27,,0.19,0.66,4.35,0.73,15.72,2.01,19.91,12.23,60.9,8.47,12-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Jan-2020 - 00:00,22.97,757.62,88.58,135.54,0.0,71.08,188.08,28.39,0.02,158.07,2.39,1.64,,0.18,0.65,4.95,0.84,13.93,2.02,20.94,12.77,74.31,9.37,13-Jan-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
