from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,8.97,986.9,460.72,367.38,79.31,174.46,349.07,124.07,0.84,3.67,5.77,60.71,68.81,54.65,109.8,60.06,10.66,02-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Jan-2020 - 00:00,9.92,982.02,472.6,361.69,76.68,170.22,188.12,166.35,0.61,4.16,5.93,52.05,98.65,61.22,137.43,63.83,21.35,03-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Jan-2020 - 00:00,10.45,895.17,492.54,389.3,75.58,225.7,197.12,125.08,0.92,2.9,8.84,55.98,75.03,46.58,134.5,66.7,21.35,04-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Jan-2020 - 00:00,11.15,931.04,361.17,209.88,64.32,213.19,157.69,253.71,0.67,0.92,5.32,56.1,85.01,90.28,119.86,63.19,5.06,05-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Jan-2020 - 00:00,10.4,919.54,315.02,189.56,70.22,166.41,98.31,233.42,0.77,1.96,2.14,45.24,95.93,68.64,127.24,62.93,11.09,06-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Jan-2020 - 00:00,10.14,947.23,289.72,170.26,73.29,141.49,117.59,211.32,0.46,2.34,2.73,45.13,107.19,62.24,122.24,67.08,17.82,07-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Jan-2020 - 00:00,10.22,959.59,217.66,142.56,80.31,146.83,98.7,87.16,1.45,1.68,3.09,37.16,29.39,41.79,47.2,63.68,16.09,08-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Jan-2020 - 00:00,9.74,980.11,168.07,145.7,91.4,88.5,93.13,152.14,0.74,1.82,2.63,31.91,74.56,37.43,81.07,62.43,11.75,09-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Jan-2020 - 00:00,9.04,966.99,230.26,111.38,80.01,228.37,72.51,267.09,1.24,2.11,1.86,18.74,99.55,44.38,100.2,63.99,7.97,10-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Jan-2020 - 00:00,9.07,954.52,323.3,148.54,79.83,174.9,61.97,264.77,1.03,2.22,2.32,16.85,89.01,53.81,121.99,64.56,10.51,11-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Jan-2020 - 00:00,14.74,984.03,344.48,164.28,70.2,166.05,54.23,250.82,0.64,2.67,3.15,23.32,114.56,70.58,136.36,63.86,12.11,12-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Jan-2020 - 00:00,18.9,986.9,,260.68,73.32,169.14,58.3,233.1,0.47,3.86,4.83,47.12,127.75,73.67,186.45,64.42,11.66,13-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Jan-2020 - 00:00,19.13,986.94,328.16,259.22,77.62,160.91,54.67,121.87,1.32,2.65,3.52,70.22,68.3,54.47,102.88,59.45,3.77,14-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Jan-2020 - 00:00,18.36,986.9,213.71,143.28,83.14,162.22,56.98,252.7,0.79,1.96,2.21,61.06,60.5,38.74,71.53,61.34,7.66,15-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Jan-2020 - 00:00,18.52,986.9,199.33,118.79,79.69,175.26,59.69,247.83,0.57,1.26,2.61,50.93,59.98,46.55,73.67,60.22,8.83,16-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Jan-2020 - 00:00,17.83,986.9,205.18,163.94,84.91,148.65,46.9,230.62,0.44,1.88,3.11,48.48,60.82,37.57,70.3,62.73,9.29,17-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Jan-2020 - 00:00,18.44,987.88,153.88,106.42,88.04,162.27,42.16,250.77,0.63,1.54,2.22,39.09,87.99,38.81,93.18,64.8,6.28,18-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Jan-2020 - 00:00,18.48,948.64,340.52,171.87,81.4,230.44,61.12,244.22,0.54,2.07,5.29,40.56,119.16,72.96,146.05,34.84,4.44,19-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Jan-2020 - 00:00,13.82,919.94,261.58,153.73,82.13,175.28,49.01,259.07,1.17,1.65,2.66,44.62,110.6,54.86,119.29,12.15,3.89,20-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Jan-2020 - 00:00,12.63,918.59,314.54,181.78,84.54,163.25,40.12,245.99,0.69,5.15,3.18,42.92,99.1,63.04,124.46,12.09,7.59,21-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Jan-2020 - 00:00,13.39,891.05,403.34,243.08,83.62,165.73,45.72,121.55,0.89,1.47,4.05,67.9,78.74,61.82,99.02,11.9,4.28,22-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Jan-2020 - 00:00,13.02,902.48,359.52,235.97,84.38,175.35,47.32,242.44,0.92,1.75,6.46,36.3,135.16,59.43,147.84,12.03,4.37,23-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
23-Jan-2020 - 00:00,14.65,901.95,175.2,74.64,65.22,216.06,41.32,264.59,2.16,2.12,2.04,28.14,81.06,51.89,93.75,12.27,5.0,24-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Jan-2020 - 00:00,18.11,923.57,256.97,91.35,54.98,251.48,38.13,250.38,1.79,4.23,2.25,11.71,113.59,81.66,142.13,13.64,12.54,25-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Jan-2020 - 00:00,18.32,923.12,354.67,159.07,60.1,215.88,34.12,238.67,0.66,2.94,3.18,13.62,112.95,91.07,147.59,13.3,9.37,26-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Jan-2020 - 00:00,16.91,923.7,519.9,292.98,75.04,173.01,39.65,223.76,0.62,2.28,6.05,28.37,93.46,85.09,146.73,18.26,10.45,27-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Jan-2020 - 00:00,17.56,924.97,447.77,238.67,72.54,158.88,56.02,140.17,0.88,3.97,8.2,41.51,63.87,92.79,112.31,19.7,11.21,28-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Jan-2020 - 00:00,17.57,922.9,152.98,105.43,78.27,169.33,45.6,108.97,1.93,2.4,3.23,34.09,43.48,52.52,59.68,21.38,11.63,29-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Jan-2020 - 00:00,17.57,922.44,171.68,82.7,74.09,192.68,42.94,238.5,0.59,3.36,3.27,22.97,107.8,56.76,116.87,18.66,5.82,30-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Jan-2020 - 00:00,17.26,920.53,183.79,81.83,72.83,181.51,44.04,267.06,1.25,2.58,3.07,15.58,83.71,56.26,99.93,22.39,8.21,31-Jan-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
31-Jan-2020 - 00:00,16.51,920.07,230.54,91.3,71.04,182.48,26.98,244.58,0.92,2.25,2.8,17.61,101.6,72.35,119.24,20.89,7.46,01-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Feb-2020 - 00:00,15.46,921.93,269.45,130.43,81.94,112.01,7.36,212.0,0.47,2.1,3.45,31.41,90.74,68.57,117.82,20.55,8.28,02-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Feb-2020 - 00:00,16.52,923.33,234.81,125.08,75.69,185.96,6.97,262.34,0.97,1.29,2.84,36.2,117.18,78.81,144.58,23.64,7.32,03-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Feb-2020 - 00:00,17.03,922.92,339.19,154.68,68.93,194.43,19.12,220.74,0.57,3.12,4.71,43.17,115.39,89.99,146.89,24.2,10.28,04-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Feb-2020 - 00:00,14.87,920.95,407.02,208.78,66.34,256.16,37.45,152.48,0.9,1.21,7.48,48.58,43.65,79.37,128.35,49.09,13.5,05-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Feb-2020 - 00:00,11.01,972.79,301.53,133.15,61.87,257.51,13.0,260.89,1.14,3.1,3.13,41.1,93.21,81.74,117.23,26.45,12.28,06-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Feb-2020 - 00:00,10.06,989.19,277.74,132.27,68.88,184.28,11.01,218.19,0.63,2.08,3.53,39.93,89.29,77.61,134.89,25.83,8.86,07-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Feb-2020 - 00:00,9.94,982.62,276.3,163.25,71.32,181.39,15.24,213.1,0.62,2.29,4.05,34.2,63.78,89.88,120.21,47.97,12.17,08-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Feb-2020 - 00:00,10.43,988.19,290.78,145.22,68.37,180.12,9.88,262.61,0.93,2.21,3.38,36.25,77.47,74.68,112.96,29.26,3.11,09-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Feb-2020 - 00:00,10.53,985.3,293.99,150.05,67.56,179.33,8.07,248.63,0.55,2.48,3.12,32.25,47.58,90.22,90.3,27.03,11.55,10-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Feb-2020 - 00:00,10.27,985.84,383.42,178.18,70.63,179.8,13.21,233.12,0.68,2.43,4.24,31.34,11.25,59.47,40.55,26.85,7.86,11-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Feb-2020 - 00:00,10.31,967.34,389.11,184.85,71.06,170.69,19.64,223.79,0.56,2.2,5.63,28.42,52.91,102.15,93.38,26.26,7.94,12-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Feb-2020 - 00:00,11.17,977.3,356.52,173.61,67.73,180.05,9.66,249.62,1.4,2.26,3.31,29.19,66.63,87.78,81.9,26.02,7.84,13-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Feb-2020 - 00:00,12.15,968.65,229.39,100.43,59.97,197.44,7.52,258.8,2.0,2.1,2.28,37.69,67.96,71.75,96.39,29.82,9.53,14-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Feb-2020 - 00:00,11.4,956.72,196.7,85.24,64.89,208.51,5.51,265.61,2.81,1.56,1.41,36.23,71.73,53.26,86.6,37.37,6.42,15-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Feb-2020 - 00:00,12.51,940.25,244.94,85.67,48.85,255.8,4.0,258.22,2.02,1.32,1.98,30.75,115.69,89.17,147.38,40.28,5.94,16-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Feb-2020 - 00:00,11.55,950.32,300.07,137.48,61.88,183.64,8.52,244.67,0.74,1.81,2.72,38.9,103.58,90.91,151.59,29.86,3.97,17-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Feb-2020 - 00:00,11.55,954.72,380.0,188.72,64.55,193.71,17.66,244.76,1.05,2.39,5.3,39.22,73.94,99.03,115.0,24.76,2.49,18-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Feb-2020 - 00:00,11.81,945.89,306.91,130.99,54.49,182.99,13.67,242.57,1.23,2.92,3.69,42.31,117.86,110.65,154.87,27.34,9.92,19-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Feb-2020 - 00:00,11.59,970.8,378.56,150.86,64.0,189.38,50.5,109.85,1.99,2.45,6.38,51.92,15.85,74.05,44.3,33.93,8.5,20-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Feb-2020 - 00:00,12.36,996.84,233.05,102.93,60.83,187.47,5.93,87.06,3.35,1.47,1.22,33.5,10.0,36.7,27.68,15.08,7.77,21-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Feb-2020 - 00:00,10.82,998.46,98.11,54.28,78.34,164.47,20.2,132.49,2.13,1.02,1.97,26.92,25.06,38.19,40.74,14.96,7.07,22-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Feb-2020 - 00:00,11.54,983.72,167.26,74.28,73.27,186.82,15.38,152.3,0.81,2.52,2.48,25.05,53.9,45.98,76.08,15.22,12.28,23-Feb-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
