from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,48.88,20.83,42.95,70.33,8.48,0.56,1.9,74.46,277.51,3.21,6.5,14.55,0.32,199.03,59.71,742.06,51.15,0.0,02-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
02-Jan-2020 - 00:00,64.2,19.13,49.71,75.29,8.29,0.5,1.38,65.28,250.68,3.36,6.14,18.51,0.31,193.29,57.78,742.05,52.43,0.0,03-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
03-Jan-2020 - 00:00,65.74,25.93,56.05,62.66,10.96,0.48,1.43,40.39,152.95,2.25,3.85,19.96,0.36,238.9,58.75,742.0,57.14,0.0,04-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
04-Jan-2020 - 00:00,79.1,52.75,84.96,71.1,5.71,0.5,1.43,87.03,253.95,2.86,7.55,18.03,0.31,274.02,62.71,742.0,46.59,0.0,05-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
05-Jan-2020 - 00:00,79.62,16.71,55.94,55.79,9.16,0.46,1.54,56.27,227.91,1.76,4.84,17.1,0.45,300.55,59.26,741.97,50.45,0.0,06-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
06-Jan-2020 - 00:00,76.44,20.09,57.0,69.41,8.84,0.49,1.48,77.74,220.95,2.13,6.94,16.27,0.31,251.29,64.1,742.0,18.99,0.0,07-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
07-Jan-2020 - 00:00,63.02,17.3,47.59,73.95,6.93,0.51,1.52,49.23,135.88,1.86,2.94,17.59,0.32,244.74,69.09,741.95,25.19,0.01,08-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
08-Jan-2020 - 00:00,54.77,19.68,45.13,67.06,8.8,0.46,1.62,49.72,128.05,1.62,2.94,16.15,0.33,229.86,77.39,741.29,8.78,0.29,09-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
09-Jan-2020 - 00:00,45.7,9.15,31.75,47.16,7.74,0.5,1.51,35.95,100.42,0.89,2.83,13.03,0.58,273.08,70.52,741.99,52.9,0.0,10-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
10-Jan-2020 - 00:00,56.83,10.48,38.75,43.03,8.59,0.47,1.52,48.78,132.83,1.37,4.05,13.22,0.55,288.2,67.81,742.0,62.39,0.0,11-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
11-Jan-2020 - 00:00,65.01,11.3,43.77,43.96,8.64,0.48,1.45,51.28,144.9,1.9,6.65,14.7,0.36,295.38,60.51,742.0,67.04,0.0,12-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
12-Jan-2020 - 00:00,73.05,20.26,55.33,46.27,9.25,0.47,1.36,60.49,161.46,2.88,8.9,15.83,0.3,302.76,64.55,741.7,55.27,0.0,13-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
13-Jan-2020 - 00:00,62.5,17.32,47.33,62.15,10.47,0.46,1.41,62.91,141.92,3.03,3.9,14.22,0.7,266.72,73.93,741.0,40.64,0.0,14-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
14-Jan-2020 - 00:00,58.56,19.23,46.78,61.72,7.47,0.47,1.51,55.51,159.44,2.43,3.68,14.94,0.32,228.62,75.75,741.52,24.68,0.0,15-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
15-Jan-2020 - 00:00,60.08,16.37,45.26,55.63,6.88,0.79,15.66,47.26,160.86,2.15,3.61,14.36,0.33,218.83,72.18,741.71,40.8,0.0,16-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
16-Jan-2020 - 00:00,50.92,14.63,38.98,56.09,9.81,0.91,2.71,56.43,118.82,1.72,3.52,15.61,0.35,210.09,74.44,741.44,28.41,0.15,17-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
17-Jan-2020 - 00:00,52.75,13.29,38.86,47.79,6.99,0.77,1.76,25.97,58.48,1.2,2.68,16.85,0.33,205.75,72.08,741.75,39.92,0.1,18-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
18-Jan-2020 - 00:00,53.28,18.77,43.61,42.61,9.18,0.96,1.72,39.36,95.7,1.59,2.84,13.92,0.3,213.31,78.0,742.0,24.26,0.01,19-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
19-Jan-2020 - 00:00,61.59,17.46,46.95,36.87,6.91,0.93,1.75,42.66,141.05,1.42,3.79,12.18,0.5,287.72,74.68,742.0,47.89,0.0,20-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
20-Jan-2020 - 00:00,59.69,11.34,40.97,42.14,11.35,1.02,1.76,58.55,142.42,1.59,4.51,14.16,0.39,284.42,73.59,742.0,38.43,0.0,21-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
21-Jan-2020 - 00:00,55.64,26.31,50.99,48.19,6.85,1.18,1.78,69.49,164.03,2.39,5.98,14.64,0.31,249.54,75.9,742.0,40.27,0.0,22-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
22-Jan-2020 - 00:00,59.72,20.05,48.06,42.72,10.1,1.14,1.7,52.19,117.49,2.4,8.08,13.35,0.41,263.26,75.34,742.0,44.17,0.0,23-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
23-Jan-2020 - 00:00,52.27,8.16,34.43,33.61,12.05,0.75,1.88,28.2,75.78,0.8,4.23,15.45,1.57,308.05,58.07,742.0,70.73,0.0,24-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
24-Jan-2020 - 00:00,56.84,8.3,36.98,34.97,8.35,0.82,1.85,32.7,83.26,0.89,4.45,16.13,1.34,323.3,53.43,741.73,70.56,0.0,25-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
25-Jan-2020 - 00:00,70.89,23.7,56.98,45.31,7.22,1.17,1.81,85.31,180.78,2.5,10.05,16.01,0.31,266.89,58.3,741.83,59.57,0.0,26-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
26-Jan-2020 - 00:00,77.01,25.49,61.69,45.12,6.5,1.23,1.73,82.75,189.72,2.52,5.07,16.32,0.37,312.59,63.09,741.35,58.42,0.0,27-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
27-Jan-2020 - 00:00,75.65,29.37,64.13,43.95,8.39,1.23,1.8,76.7,160.54,2.52,4.56,17.59,0.33,242.6,63.86,741.07,37.26,0.0,28-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
28-Jan-2020 - 00:00,54.74,8.75,36.23,52.76,6.66,0.92,1.77,50.69,87.39,1.23,1.57,18.5,0.84,247.14,67.91,741.0,36.95,0.14,29-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
29-Jan-2020 - 00:00,50.29,14.55,38.57,41.65,7.73,0.88,1.75,34.09,55.44,0.91,3.27,17.83,0.36,225.55,67.32,741.73,53.67,0.07,30-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
30-Jan-2020 - 00:00,52.99,12.79,38.59,37.42,8.53,0.75,1.74,32.02,62.19,0.97,1.37,16.55,0.85,293.76,63.36,741.97,71.52,0.0,31-Jan-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
31-Jan-2020 - 00:00,64.66,13.82,45.63,39.3,10.11,0.89,1.81,36.26,75.27,1.17,3.33,14.03,0.39,286.01,64.1,741.41,68.16,0.0,01-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
01-Feb-2020 - 00:00,59.0,23.05,50.12,38.75,7.45,1.02,1.8,45.22,100.48,1.81,3.33,14.21,0.38,240.14,66.47,741.71,68.27,0.0,02-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
02-Feb-2020 - 00:00,62.91,14.23,45.03,35.69,6.98,0.9,1.72,39.8,71.2,1.39,3.4,14.39,0.55,313.65,67.2,742.0,68.16,0.0,03-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
03-Feb-2020 - 00:00,60.01,12.33,41.95,38.96,7.54,0.97,1.84,53.14,117.7,1.39,5.49,16.4,0.38,320.03,58.82,742.0,73.42,0.0,04-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
04-Feb-2020 - 00:00,66.5,44.67,71.7,41.61,6.64,1.21,1.82,72.8,217.74,2.39,4.81,16.59,0.3,243.47,60.06,741.85,65.53,0.0,05-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
05-Feb-2020 - 00:00,66.96,16.7,49.19,37.1,7.33,0.96,1.75,52.58,158.19,1.47,3.17,16.78,0.65,307.76,59.04,741.97,66.29,0.0,06-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
06-Feb-2020 - 00:00,58.63,11.48,40.52,36.63,9.59,0.98,1.76,52.27,113.45,1.33,4.03,15.7,0.33,274.55,58.73,741.69,70.81,0.0,07-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
