from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
01-Jan-2020 - 00:00,274.89,,76.24,-1.33,732.58,58.18,15.57,0.76,188.71,17.72,28.57,59.95,21.52,30.89,8.03,9.93,15.94,02-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Jan-2020 - 00:00,183.81,,74.59,-3.82,732.68,58.61,19.66,1.1,144.22,18.48,24.3,55.05,19.91,28.74,8.12,11.53,17.4,03-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Jan-2020 - 00:00,109.22,,77.36,-1.79,735.12,74.4,21.77,1.91,177.29,18.07,31.01,47.05,8.06,18.63,5.05,8.12,11.09,04-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Jan-2020 - 00:00,82.93,,81.58,-0.87,736.12,42.7,18.32,1.67,220.56,15.2,18.61,42.98,8.06,17.49,4.05,6.66,9.37,05-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Jan-2020 - 00:00,79.97,,82.44,-0.87,735.33,42.72,15.61,0.81,212.55,15.12,17.01,46.13,9.75,19.49,4.67,7.82,10.99,06-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Jan-2020 - 00:00,121.46,,73.39,-0.84,733.49,85.08,18.59,0.65,214.99,18.42,30.7,48.3,27.47,31.41,6.4,13.73,16.41,07-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Jan-2020 - 00:00,187.72,,70.5,-0.82,735.41,73.21,20.71,1.0,171.26,18.14,32.79,52.95,24.51,31.18,8.29,19.05,22.73,08-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Jan-2020 - 00:00,113.95,,84.01,-0.78,738.28,32.67,16.86,2.31,107.52,16.97,28.08,40.87,6.52,15.87,4.85,5.8,9.46,09-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Jan-2020 - 00:00,103.0,,82.27,-0.83,736.66,34.15,17.74,1.36,207.26,16.31,21.99,42.26,7.94,17.21,4.46,4.94,9.19,10-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Jan-2020 - 00:00,77.09,,73.02,-0.87,734.15,61.22,14.67,1.2,239.39,16.25,27.29,43.93,8.1,17.7,4.13,4.95,10.21,11-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Jan-2020 - 00:00,133.07,,69.14,-0.83,733.7,96.85,13.79,1.2,236.18,16.44,40.28,44.52,6.56,16.81,4.09,4.21,10.72,12-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Jan-2020 - 00:00,204.09,,73.96,-0.88,736.31,83.65,14.6,0.83,220.38,16.4,29.87,49.14,13.49,22.82,5.27,5.41,11.24,13-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Jan-2020 - 00:00,201.45,,76.46,-0.75,739.18,83.53,16.16,1.32,118.49,19.51,47.81,51.03,21.4,28.55,6.78,8.32,14.76,14-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Jan-2020 - 00:00,115.97,,81.18,-0.66,738.67,55.27,14.87,1.06,140.66,15.46,38.83,44.03,6.11,16.5,5.28,4.34,9.57,15-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Jan-2020 - 00:00,166.66,,77.14,-0.68,737.39,59.6,19.51,0.89,185.03,16.31,35.11,51.33,8.76,20.32,6.09,6.01,12.35,16-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Jan-2020 - 00:00,106.24,,69.52,-0.66,738.18,83.26,21.8,2.54,130.97,11.91,50.79,45.97,6.76,17.47,4.86,4.37,9.14,17-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Jan-2020 - 00:00,88.07,,78.18,-0.68,737.16,54.09,21.26,1.36,199.24,14.26,27.4,44.65,7.9,17.76,4.25,5.9,9.03,18-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Jan-2020 - 00:00,93.92,,81.51,-0.68,735.61,51.95,19.8,1.6,258.27,17.84,20.96,46.05,11.11,20.37,4.64,6.61,10.06,19-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Jan-2020 - 00:00,66.46,,73.77,-0.72,734.97,70.57,17.41,2.37,244.78,13.2,38.54,42.07,6.9,16.47,1.03,0.88,1.95,20-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Jan-2020 - 00:00,89.76,,67.62,-0.72,734.5,94.71,17.09,1.07,221.41,19.85,38.98,50.26,8.29,19.7,2.07,3.27,4.96,21-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Jan-2020 - 00:00,126.29,,68.16,-0.69,733.77,87.45,17.49,1.05,168.44,17.32,54.49,49.29,10.29,20.74,3.64,3.72,7.42,22-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Jan-2020 - 00:00,137.17,,71.89,-0.8,733.73,88.14,18.03,0.98,194.03,14.29,40.75,50.62,8.76,20.11,3.04,4.09,6.63,23-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Jan-2020 - 00:00,99.21,,63.83,-1.13,735.2,93.46,18.67,0.95,218.99,16.62,42.18,42.43,6.18,15.94,5.02,7.15,12.12,24-Jan-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
