from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,RH,WS,WD,VWS,RF,SR,BP,to date,station
01-Jan-2020 - 00:00,62.12,16.96,79.07,57.55,11.98,1.17,30.27,113.47,183.68,5.34,74.99,0.8,61.11,0.05,0.0,57.23,,02-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
02-Jan-2020 - 00:00,44.53,11.95,56.49,55.18,11.12,0.84,26.41,83.49,129.49,4.61,78.64,0.9,79.51,0.05,0.0,80.16,,03-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
03-Jan-2020 - 00:00,31.8,5.26,37.07,42.95,14.68,0.66,18.98,47.29,74.77,7.33,89.09,0.72,169.76,0.06,0.15,78.22,,04-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
04-Jan-2020 - 00:00,32.62,6.15,38.76,36.52,10.56,0.79,25.16,52.23,91.59,8.64,87.73,0.76,169.18,0.05,0.0,96.66,999.12,05-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
05-Jan-2020 - 00:00,35.41,7.57,42.97,33.12,10.33,0.55,33.17,46.72,78.84,2.87,75.83,0.89,88.39,0.04,0.0,132.1,999.74,06-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
06-Jan-2020 - 00:00,43.91,6.76,50.67,37.53,11.79,0.86,32.16,74.98,131.75,4.3,73.91,0.81,148.66,0.05,0.0,138.31,,07-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
07-Jan-2020 - 00:00,49.44,5.95,55.39,53.25,10.88,1.12,31.59,116.63,196.5,6.45,79.6,0.68,171.4,0.05,0.0,96.93,999.61,08-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
08-Jan-2020 - 00:00,50.12,18.34,68.46,66.05,12.04,1.28,33.07,138.99,223.39,6.9,77.01,0.64,157.88,0.04,0.0,100.52,999.32,09-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
09-Jan-2020 - 00:00,43.19,8.39,51.6,55.09,14.03,0.95,25.95,109.25,169.14,7.8,89.41,0.66,172.46,0.03,0.08,77.65,999.75,10-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
10-Jan-2020 - 00:00,29.34,4.86,34.2,39.51,11.63,0.47,42.13,80.74,137.16,2.66,72.37,0.89,23.12,0.03,0.0,130.28,,11-Jan-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
