from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,to date,station
01-Jan-2020 - 00:00,402.03,341.49,22.56,8.63,31.19,3.66,,34.17,5.43,02-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
02-Jan-2020 - 00:00,227.78,185.56,14.2,8.64,22.83,2.51,,40.86,3.07,03-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
03-Jan-2020 - 00:00,274.14,193.76,23.02,8.91,31.87,2.99,,28.38,3.03,04-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
04-Jan-2020 - 00:00,237.7,166.03,7.72,6.22,13.89,1.74,,37.47,2.04,05-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
05-Jan-2020 - 00:00,220.23,135.37,5.6,4.74,10.25,1.49,,40.07,1.51,06-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
06-Jan-2020 - 00:00,204.89,118.81,8.06,6.07,14.13,1.58,,32.43,1.6,07-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
07-Jan-2020 - 00:00,142.32,94.13,5.73,2.47,8.2,1.42,,32.61,1.46,08-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
08-Jan-2020 - 00:00,133.07,96.65,6.94,2.02,8.89,1.48,,28.21,1.05,09-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
09-Jan-2020 - 00:00,98.59,62.96,4.22,0.76,4.68,1.21,,36.64,0.76,10-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
10-Jan-2020 - 00:00,150.8,93.75,4.48,3.26,7.65,1.37,6.4,34.19,2.36,11-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
11-Jan-2020 - 00:00,170.23,104.17,5.67,5.68,11.35,1.47,,36.65,0.98,12-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
12-Jan-2020 - 00:00,254.35,166.47,9.15,8.99,18.14,2.01,,27.35,1.19,13-Jan-2020 - 00:00,"Aya Nagar, Delhi - IMD"
