from date,BP,Benzene,MP-Xylene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,VWS,WD,WS,to date,station
01-Jan-2020 - 00:00,999.91,1.27,,0.3,1.59,0.91,0.6,24.76,5.29,15.23,17.2,28.18,85.01,326.97,5.12,0.04,40.58,1.68,02-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Jan-2020 - 00:00,,1.28,,0.3,1.6,0.8,0.6,43.35,5.27,20.93,25.69,19.24,79.31,329.7,6.34,0.02,40.81,1.68,03-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Jan-2020 - 00:00,999.35,1.28,,0.3,1.6,0.83,0.6,18.82,4.14,18.06,21.94,22.75,72.7,324.4,5.3,0.01,41.42,1.67,04-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Jan-2020 - 00:00,999.51,1.27,,0.3,1.59,0.99,0.6,33.2,6.99,12.72,18.09,17.68,69.46,322.88,9.46,-0.05,41.36,1.67,05-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Jan-2020 - 00:00,999.01,1.29,,0.3,1.61,0.8,0.6,22.23,52.37,76.33,59.42,27.17,72.18,321.61,8.46,-0.02,40.51,1.67,06-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Jan-2020 - 00:00,999.68,1.28,,0.3,1.6,0.65,0.6,12.17,1.33,3.13,2.23,22.64,81.89,326.47,5.67,0.03,41.57,1.68,07-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Jan-2020 - 00:00,,1.28,,0.3,1.6,0.69,0.6,13.79,136.68,16.3,6.98,24.36,74.2,339.46,4.45,0.01,39.49,1.7,08-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Jan-2020 - 00:00,,1.34,,0.3,1.67,0.73,0.55,18.61,3.27,29.02,32.28,37.25,66.66,352.95,4.52,-0.03,42.01,1.72,09-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Jan-2020 - 00:00,,1.05,,0.24,1.31,0.78,0.46,17.15,3.66,24.81,28.26,40.86,65.46,361.69,5.55,-0.04,48.03,1.72,10-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.81,0.5,21.93,3.94,25.8,29.64,40.96,63.91,361.91,7.7,-0.07,57.26,1.72,11-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.67,0.5,13.58,3.94,20.37,24.27,40.68,64.39,373.33,5.28,-0.07,56.72,1.74,12-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.63,0.5,12.4,3.93,28.59,32.16,29.34,68.72,361.99,7.1,-0.15,57.22,1.7,13-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.66,0.5,24.87,10.67,40.84,49.67,30.98,70.35,357.49,2.65,-0.19,58.24,1.69,14-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Jan-2020 - 00:00,,0.73,,0.2,0.91,0.7,0.49,37.27,11.85,48.3,53.54,40.16,61.11,362.19,4.62,-0.09,57.45,1.73,15-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.73,0.51,24.91,36.59,57.24,76.63,46.79,57.52,427.72,5.14,-0.11,56.86,1.83,16-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.61,0.5,21.73,5.22,31.86,37.03,45.34,61.77,416.61,6.33,-0.09,56.92,1.82,17-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.67,0.5,23.2,10.18,38.34,48.0,32.96,58.46,415.78,5.85,-0.09,57.78,1.81,18-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.67,0.5,16.79,4.19,19.78,27.48,22.72,81.04,405.11,5.84,0.02,53.09,1.8,19-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.64,0.5,47.86,3.97,18.24,22.15,27.75,69.47,406.05,7.47,-0.01,33.04,1.82,20-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Jan-2020 - 00:00,,0.72,,0.2,0.91,0.6,0.5,17.98,6.77,36.75,40.86,34.57,63.32,411.54,5.42,-0.08,31.4,1.83,21-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.6,0.5,24.59,7.65,34.2,37.75,35.91,60.06,387.7,7.63,-0.2,50.74,1.76,22-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Jan-2020 - 00:00,,0.72,,0.2,0.9,0.69,0.51,15.59,5.43,23.34,28.2,33.03,68.62,362.66,3.5,-0.08,39.88,1.74,23-Jan-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
