from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
01-Jan-2020 - 00:00,116.5,237.14,47.96,56.56,105.09,45.15,12.3,1.54,31.28,20.48,17.35,5.26,18.29,2.96,18.59,67.26,0.31,273.75,0.04,,65.15,02-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
02-Jan-2020 - 00:00,125.05,194.05,37.4,39.11,76.87,40.29,9.38,1.26,26.43,22.18,20.22,5.68,19.89,3.3,19.76,69.96,0.37,256.13,0.04,,65.58,03-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
03-Jan-2020 - 00:00,52.27,83.25,21.66,16.16,38.14,34.86,4.98,0.47,17.8,13.4,12.78,2.42,8.74,1.34,17.01,93.92,0.54,235.16,0.02,,43.05,04-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
04-Jan-2020 - 00:00,43.77,75.07,23.43,59.34,83.1,34.4,3.56,1.15,9.15,16.39,16.02,4.25,13.26,1.82,16.89,94.99,0.2,242.94,0.04,,50.04,05-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
05-Jan-2020 - 00:00,86.68,123.85,22.79,79.52,102.62,35.85,3.24,1.21,10.19,18.42,15.98,4.94,16.61,2.25,16.75,93.74,0.38,273.35,0.04,,56.13,06-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
06-Jan-2020 - 00:00,76.93,161.58,32.52,72.79,105.66,34.97,4.81,1.28,24.52,25.1,19.96,5.64,19.43,2.58,16.95,76.07,0.36,272.08,0.04,,72.28,07-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
07-Jan-2020 - 00:00,111.19,185.15,33.98,24.03,58.35,33.11,6.93,1.08,36.77,23.22,16.89,6.58,25.38,4.51,16.25,79.01,0.45,290.58,0.04,,68.36,08-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
08-Jan-2020 - 00:00,131.12,190.55,35.2,36.57,72.12,37.25,4.41,1.11,32.29,24.5,20.06,5.51,18.85,2.74,18.22,74.85,0.24,251.99,0.04,,70.6,09-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
09-Jan-2020 - 00:00,95.19,131.86,32.71,27.33,60.37,37.31,5.5,0.92,22.5,17.64,14.65,3.97,13.73,1.82,18.32,81.48,0.25,209.76,0.04,,56.52,10-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
10-Jan-2020 - 00:00,89.16,125.02,32.81,19.95,53.09,33.52,12.42,0.83,22.34,17.11,11.2,4.32,16.86,3.51,18.13,71.3,0.7,326.06,0.05,,68.66,11-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
11-Jan-2020 - 00:00,120.88,137.29,31.48,31.87,63.63,30.24,11.37,1.1,34.59,16.37,13.78,3.52,12.97,2.58,16.14,74.3,0.61,305.85,0.04,,68.78,12-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
12-Jan-2020 - 00:00,72.79,115.6,32.72,21.4,54.44,29.18,9.64,0.77,39.94,12.24,9.32,2.43,9.07,1.44,16.76,69.3,0.56,299.23,0.04,,71.27,13-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
13-Jan-2020 - 00:00,98.46,147.86,46.18,72.64,84.88,37.44,9.37,1.74,41.69,26.74,17.75,7.99,24.17,4.02,17.13,63.32,0.43,280.57,0.04,,69.85,14-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
14-Jan-2020 - 00:00,191.92,267.06,58.74,195.21,180.08,57.26,8.98,2.58,36.3,53.89,44.85,12.85,47.52,7.91,17.87,67.79,0.24,222.92,0.04,,68.81,15-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
15-Jan-2020 - 00:00,225.42,290.85,71.79,165.1,237.29,56.93,9.91,2.16,28.61,44.56,41.07,13.74,49.14,8.08,18.98,71.31,0.21,212.14,0.05,,63.83,16-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
16-Jan-2020 - 00:00,145.72,221.02,46.34,67.52,114.2,42.46,10.33,1.35,42.13,33.83,32.27,8.93,35.07,5.22,20.58,69.42,0.26,168.74,0.04,,69.13,17-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
17-Jan-2020 - 00:00,118.11,184.33,47.69,83.55,131.39,34.67,9.31,1.43,33.14,20.58,18.42,6.9,23.36,3.34,21.05,71.4,0.21,180.78,0.05,,68.87,18-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
18-Jan-2020 - 00:00,83.92,138.79,45.84,31.73,77.93,20.95,12.53,1.04,31.75,14.01,12.08,4.08,13.74,2.07,21.21,64.94,0.2,232.35,0.04,,69.1,19-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
19-Jan-2020 - 00:00,84.83,153.81,35.35,21.37,57.06,20.48,11.09,0.89,32.64,12.78,11.44,3.81,13.69,2.18,21.21,68.31,0.41,307.47,0.05,,69.19,20-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
20-Jan-2020 - 00:00,74.44,124.86,29.98,15.59,45.89,19.25,10.22,0.85,38.8,12.4,9.79,2.96,10.44,1.85,18.74,70.41,0.64,301.79,0.05,,65.92,21-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
21-Jan-2020 - 00:00,86.59,153.72,46.17,44.3,90.82,18.73,10.59,1.12,40.1,19.78,17.23,4.44,15.41,2.3,18.39,65.66,0.29,258.38,0.04,,68.69,22-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
22-Jan-2020 - 00:00,105.22,182.51,54.57,48.64,103.59,20.68,9.92,1.22,,21.77,18.92,5.42,19.4,3.0,19.0,69.75,0.28,193.99,0.04,,65.91,23-Jan-2020 - 00:00,"Ballygunge, Kolkata - WBPCB"
