from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
01-Jan-2020 - 00:00,54.93,769.83,24.22,113.58,65.42,0.0,0.09,125.63,129.59,0.7,12.32,33.71,67.71,33.99,2.54,0.0,35.1,02-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
02-Jan-2020 - 00:00,59.22,771.42,25.07,112.69,71.28,0.0,0.08,109.09,114.41,0.67,14.1,17.77,45.81,28.03,2.38,0.0,23.03,03-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
03-Jan-2020 - 00:00,55.46,770.81,24.37,106.72,68.63,0.0,0.12,125.27,97.48,0.67,13.21,20.97,46.57,25.6,2.22,0.0,35.88,04-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
04-Jan-2020 - 00:00,33.84,769.49,23.54,110.91,64.35,0.0,0.1,112.22,50.88,0.62,4.24,16.63,40.13,23.49,2.03,0.01,37.1,05-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
05-Jan-2020 - 00:00,43.46,768.45,25.54,105.97,64.6,0.0,0.26,126.92,58.44,0.7,3.89,25.57,55.94,30.37,2.44,0.0,27.41,06-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
06-Jan-2020 - 00:00,45.54,769.36,27.64,116.32,62.9,0.0,0.27,115.73,76.2,0.72,7.7,24.34,58.44,34.11,2.5,0.0,27.52,07-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
07-Jan-2020 - 00:00,52.53,768.96,27.76,102.73,70.95,0.0,0.08,164.28,103.16,0.7,11.62,32.83,66.54,33.72,2.75,0.01,25.59,08-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
08-Jan-2020 - 00:00,42.79,768.89,27.06,113.17,69.19,0.0,0.1,146.28,79.08,0.57,20.94,15.4,44.57,29.16,2.24,0.0,32.41,09-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
09-Jan-2020 - 00:00,43.05,769.27,24.75,103.3,61.65,0.0,0.37,136.61,85.11,0.83,21.21,15.03,51.78,37.44,2.45,0.0,33.45,10-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
10-Jan-2020 - 00:00,51.37,768.61,26.43,112.17,58.73,0.0,0.82,130.06,105.39,0.98,28.16,18.83,60.95,42.57,2.62,0.0,30.77,11-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
11-Jan-2020 - 00:00,53.45,769.33,28.35,115.65,62.33,0.0,0.39,123.81,118.12,0.93,34.97,22.49,69.43,46.93,3.06,0.0,29.14,12-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
12-Jan-2020 - 00:00,86.99,769.04,28.08,107.75,69.3,0.0,0.19,163.13,446.69,0.9,33.24,28.74,74.72,45.96,3.86,0.01,36.19,13-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
13-Jan-2020 - 00:00,27.08,768.41,27.53,95.15,77.64,0.0,0.14,124.78,,0.92,28.09,7.01,36.49,29.47,2.4,0.0,40.32,14-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
14-Jan-2020 - 00:00,30.33,768.29,26.14,99.46,69.24,0.0,0.29,149.17,,0.88,24.1,6.97,31.7,24.72,2.1,0.0,37.55,15-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
15-Jan-2020 - 00:00,,768.83,24.2,115.99,58.47,0.0,0.16,145.46,,0.9,18.89,10.45,34.82,24.36,2.13,0.0,33.96,16-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
16-Jan-2020 - 00:00,,769.9,22.46,100.57,61.72,0.0,0.27,110.18,,0.89,14.65,13.07,41.46,28.38,2.27,0.0,28.32,17-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
17-Jan-2020 - 00:00,,769.94,21.18,135.94,56.91,0.0,0.38,86.26,,0.92,9.84,11.37,41.34,29.95,2.39,0.0,31.94,18-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
18-Jan-2020 - 00:00,,768.4,22.54,75.96,64.31,0.0,0.21,65.64,,0.9,11.72,18.83,55.5,36.65,2.85,0.0,32.19,19-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
19-Jan-2020 - 00:00,,768.45,24.98,114.05,69.09,0.0,0.29,68.59,,0.89,16.66,8.86,46.41,37.54,2.9,0.0,35.49,20-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
20-Jan-2020 - 00:00,,768.74,26.55,128.03,69.25,0.0,0.17,87.0,,0.9,23.34,9.11,47.68,38.58,3.82,0.01,30.32,21-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
21-Jan-2020 - 00:00,,769.71,26.23,114.29,70.38,0.0,0.15,139.93,,0.87,25.52,22.71,66.51,43.8,4.22,0.13,29.2,22-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
22-Jan-2020 - 00:00,,770.34,26.88,113.45,64.6,0.0,0.16,190.89,,0.89,27.76,43.17,89.63,46.45,4.61,0.05,31.59,23-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
23-Jan-2020 - 00:00,,769.56,28.07,137.84,63.88,0.0,0.32,103.27,,0.89,28.4,9.32,44.59,35.29,3.86,0.0,30.08,24-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
24-Jan-2020 - 00:00,,769.11,28.46,138.02,62.31,0.0,0.22,126.7,,0.88,27.42,19.3,57.83,38.55,3.61,0.01,29.05,25-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
25-Jan-2020 - 00:00,,769.09,28.08,121.38,65.69,0.0,0.21,124.15,,0.9,27.6,10.22,42.77,32.54,3.59,0.0,43.08,26-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
26-Jan-2020 - 00:00,,767.73,27.52,105.79,69.83,0.0,0.13,104.1,,0.9,26.78,13.19,52.48,39.29,3.77,0.01,48.68,27-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
27-Jan-2020 - 00:00,,767.96,26.46,124.05,74.02,0.0,0.19,109.95,,0.86,21.93,2.31,16.49,14.18,2.44,0.0,46.25,28-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
28-Jan-2020 - 00:00,,768.6,26.07,136.65,70.77,0.0,0.35,155.26,,0.88,11.59,1.42,2.89,3.78,2.41,1.22,16.81,29-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
