from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WD,RH,BP,to date,station
01-Jan-2020 - 00:00,8.31,40.11,2.38,39.32,22.14,0.7,42.78,30.25,64.25,3.08,173.45,27.98,269.71,74.04,724.51,02-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Jan-2020 - 00:00,8.36,34.19,1.86,28.58,12.77,0.55,47.7,18.67,50.25,2.95,178.88,29.84,242.39,69.51,725.31,03-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Jan-2020 - 00:00,8.43,32.05,2.36,24.26,8.87,0.5,52.9,23.12,59.04,3.24,194.16,32.02,222.83,65.69,723.98,04-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Jan-2020 - 00:00,8.39,41.3,3.86,48.61,33.29,1.01,66.68,46.25,103.42,6.62,231.68,34.34,168.97,62.89,722.31,05-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Jan-2020 - 00:00,8.49,30.11,3.31,19.41,4.11,0.47,90.31,45.02,84.16,3.96,256.65,36.79,198.23,63.85,721.76,06-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Jan-2020 - 00:00,9.52,50.17,2.84,53.13,32.52,0.52,20.96,22.9,65.73,3.59,115.47,23.95,268.27,68.37,724.6,07-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Jan-2020 - 00:00,8.26,40.64,1.99,44.06,27.58,0.62,38.47,17.56,56.42,2.53,100.02,24.08,266.2,64.98,724.28,08-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Jan-2020 - 00:00,8.97,48.01,2.54,37.11,14.23,0.62,63.88,29.36,75.45,2.52,95.67,24.02,246.47,60.41,723.48,09-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Jan-2020 - 00:00,8.52,51.13,3.03,42.7,19.07,0.8,79.57,36.33,91.16,2.85,96.24,24.17,247.76,59.04,723.34,10-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Jan-2020 - 00:00,8.43,56.33,4.17,49.6,24.15,0.86,60.74,37.33,94.19,2.73,99.99,25.59,269.69,57.31,723.26,11-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Jan-2020 - 00:00,7.63,46.9,2.86,43.76,23.14,0.59,64.15,29.64,75.06,2.43,107.39,28.6,269.56,59.12,724.32,12-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Jan-2020 - 00:00,8.55,45.96,3.32,41.04,20.41,0.65,59.06,36.45,81.1,2.68,104.9,28.56,269.18,61.66,723.51,13-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Jan-2020 - 00:00,8.85,60.76,3.42,55.78,28.86,1.06,80.65,54.67,115.65,4.24,106.67,28.63,243.08,60.32,722.06,14-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Jan-2020 - 00:00,8.04,62.81,4.15,54.37,25.78,0.84,76.87,62.56,124.77,4.19,107.08,29.0,246.03,56.45,721.86,15-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Jan-2020 - 00:00,8.51,45.67,3.46,35.38,13.63,0.54,102.83,44.26,87.31,2.78,71.32,28.89,262.81,54.72,722.22,16-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Jan-2020 - 00:00,8.55,55.77,3.29,40.92,13.84,0.73,80.99,40.22,90.08,0.53,0.15,29.79,240.2,57.6,722.42,17-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Jan-2020 - 00:00,8.01,50.76,2.97,45.75,23.05,0.83,76.81,32.38,80.24,0.44,10.89,30.95,255.75,55.28,722.68,18-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Jan-2020 - 00:00,8.04,35.59,2.85,39.59,25.43,0.53,42.07,32.06,65.92,0.2,9.25,29.45,261.46,75.25,723.29,19-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Jan-2020 - 00:00,5.2,,,,,,39.47,29.0,84.0,,,25.7,285.0,42.0,727.0,22-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Jan-2020 - 00:00,,,,,,,,,,,,,,,,23-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Jan-2020 - 00:00,,,,,,,,,,,,,,,,24-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Jan-2020 - 00:00,,,,,,,,,,,,,,,,25-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Jan-2020 - 00:00,,,,,,,,,,,,,,,,26-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Jan-2020 - 00:00,,,,,,,,,,,,,,,,27-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Jan-2020 - 00:00,,,,,,,,,,,,,,,,28-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Jan-2020 - 00:00,10.16,67.95,3.09,40.61,5.48,2.2,44.44,,90.1,0.62,0.1,28.86,278.06,45.06,724.81,29-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Jan-2020 - 00:00,8.8,49.49,3.22,35.8,11.66,0.49,83.93,34.02,89.7,1.49,2.35,26.5,153.25,47.9,723.7,30-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Jan-2020 - 00:00,8.99,55.67,3.67,41.18,14.22,0.69,45.05,39.67,105.54,2.4,3.81,23.82,172.61,44.74,722.97,31-Jan-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Jan-2020 - 00:00,9.86,42.67,3.86,26.95,5.23,0.5,66.99,41.74,94.27,1.74,32.85,23.9,195.35,47.22,721.74,01-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Feb-2020 - 00:00,10.13,40.12,4.45,28.59,8.91,0.52,54.62,45.67,96.7,1.42,10.2,24.66,255.45,56.74,722.51,02-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Feb-2020 - 00:00,8.55,33.12,3.21,24.79,8.82,0.39,48.47,29.35,70.63,0.97,15.35,24.87,262.45,58.3,724.29,03-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Feb-2020 - 00:00,8.86,51.95,4.15,49.71,27.14,0.72,30.73,32.93,84.7,0.93,7.84,24.65,256.1,51.86,724.29,04-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Feb-2020 - 00:00,8.79,39.73,4.73,32.94,14.51,0.53,34.53,24.55,68.34,1.23,31.84,24.63,259.11,52.52,723.14,05-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Feb-2020 - 00:00,8.73,38.26,5.26,29.2,10.87,0.58,41.49,26.01,68.11,1.02,40.87,24.59,244.08,56.51,723.23,06-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Feb-2020 - 00:00,8.34,39.37,6.85,26.01,6.23,0.47,46.11,29.35,72.72,0.19,4.3,25.58,218.19,53.65,723.11,07-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Feb-2020 - 00:00,8.85,33.06,7.79,21.61,4.95,0.58,51.25,41.26,82.47,0.17,9.1,24.35,202.78,56.54,723.69,08-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Feb-2020 - 00:00,8.69,36.43,6.96,24.92,6.82,0.67,42.34,40.82,90.21,0.21,10.52,24.56,143.49,51.34,723.53,09-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Feb-2020 - 00:00,9.92,37.02,7.94,26.65,8.55,0.51,35.21,36.22,82.78,0.19,1.87,26.35,253.59,54.31,723.54,10-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Feb-2020 - 00:00,8.23,35.74,7.18,27.35,10.24,0.53,38.59,28.45,70.07,0.2,6.29,25.54,267.16,59.09,723.55,11-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Feb-2020 - 00:00,8.19,40.59,7.71,35.92,17.62,0.48,36.43,30.88,75.78,0.95,9.44,24.98,267.66,59.08,724.04,12-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
