from date,NH3,NO2,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,RH,RF,SR,WD,WS,Temp,to date,station
01-Jan-2020 - 00:00,37.96,18.09,1.78,11.07,0.89,26.62,13.67,0.93,0.51,8.63,106.95,141.73,20.94,84.11,0.0,38.08,104.08,3.08,28.69,02-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
02-Jan-2020 - 00:00,34.76,16.48,3.1,11.28,0.9,22.1,10.88,0.89,0.46,7.44,57.11,90.41,20.26,96.21,0.0,13.15,78.16,2.81,28.54,03-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
03-Jan-2020 - 00:00,37.96,21.32,5.05,15.44,1.26,30.98,9.6,0.98,0.6,6.38,92.12,141.06,20.9,84.66,0.0,27.86,69.23,2.12,29.65,04-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
04-Jan-2020 - 00:00,36.01,19.63,2.76,12.68,0.84,22.45,3.36,0.73,0.48,7.37,69.08,109.08,20.16,81.79,0.0,53.94,85.52,2.73,28.48,05-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
05-Jan-2020 - 00:00,33.19,17.02,2.28,10.9,0.87,23.66,6.55,0.53,0.42,8.51,42.22,71.19,20.16,74.71,0.01,59.7,96.45,3.07,28.59,06-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
06-Jan-2020 - 00:00,31.85,17.36,3.7,12.23,0.77,36.51,6.42,0.48,0.38,7.0,35.44,60.9,21.73,56.1,0.0,61.31,129.99,2.53,28.7,07-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
07-Jan-2020 - 00:00,31.6,17.08,1.58,10.36,0.68,68.88,4.64,0.57,0.44,4.48,45.62,94.2,23.66,55.77,0.0,52.27,207.56,2.38,28.79,08-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
08-Jan-2020 - 00:00,29.85,17.89,1.58,10.79,0.63,44.02,4.8,0.77,0.94,9.58,75.2,135.55,23.09,70.14,0.0,47.57,215.55,3.26,28.65,09-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
09-Jan-2020 - 00:00,29.77,15.97,2.19,10.27,0.64,13.18,4.55,0.65,0.46,6.36,66.46,119.66,19.57,67.17,0.0,63.36,67.89,4.06,28.35,10-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
10-Jan-2020 - 00:00,26.84,17.5,2.78,11.55,0.64,17.46,5.06,0.56,0.39,7.15,53.32,102.29,18.71,66.64,0.0,64.29,88.41,3.54,28.28,11-Jan-2020 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
