from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
01-Jan-2020 - 00:00,29.72,0.49,31.58,0.57,17.07,9.37,18.56,1.87,41.03,61.16,0.15,0.77,0.01,23.54,40.86,0.88,127.6,73.89,765.31,02-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Jan-2020 - 00:00,29.73,0.46,25.6,1.66,20.96,12.26,18.36,1.9,30.16,58.88,0.15,1.32,0.03,24.47,41.51,0.82,125.64,68.0,789.61,03-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Jan-2020 - 00:00,29.99,0.46,25.41,1.72,19.41,11.29,19.12,4.71,31.99,60.05,0.28,1.24,0.01,23.17,41.25,1.07,140.49,70.56,795.53,04-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Jan-2020 - 00:00,29.9,0.45,32.31,1.49,19.0,10.74,20.02,4.18,52.74,85.06,0.24,1.04,0.0,20.96,40.18,0.83,96.45,85.64,765.5,05-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Jan-2020 - 00:00,29.89,0.42,32.01,2.24,24.31,14.14,18.92,20.72,62.31,93.57,0.11,0.31,0.0,18.62,37.62,1.73,58.98,91.27,741.07,06-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Jan-2020 - 00:00,29.88,0.51,30.36,1.51,30.18,17.02,15.72,9.84,53.1,91.53,0.15,0.73,0.02,19.57,37.47,1.41,94.46,84.01,741.99,07-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Jan-2020 - 00:00,29.87,0.55,29.49,1.86,26.57,15.38,17.56,2.45,55.17,92.9,0.18,0.91,0.02,21.84,40.23,0.78,118.82,72.07,736.75,08-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Jan-2020 - 00:00,29.83,0.48,26.24,2.11,24.6,14.54,16.62,6.21,41.95,89.6,0.14,0.69,0.03,22.53,38.98,1.43,141.38,88.23,752.98,09-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Jan-2020 - 00:00,29.96,0.5,21.93,2.46,24.93,14.93,32.42,4.83,49.59,88.54,0.32,1.96,0.02,20.54,41.67,1.35,143.12,57.8,750.16,10-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Jan-2020 - 00:00,29.85,0.48,32.16,0.86,20.16,11.2,26.65,7.25,74.92,117.14,0.12,0.88,0.04,19.91,40.15,1.19,75.56,83.1,755.38,11-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Jan-2020 - 00:00,29.53,0.54,32.59,1.79,32.79,18.57,19.72,15.44,73.8,127.07,0.16,0.88,0.02,19.28,35.78,0.78,79.77,96.61,751.18,12-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Jan-2020 - 00:00,29.62,0.53,38.83,0.94,30.26,16.42,18.09,18.8,64.2,115.75,0.17,1.11,0.0,20.68,31.1,0.95,79.06,101.29,746.26,13-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Jan-2020 - 00:00,30.16,0.66,37.28,6.85,43.18,27.81,19.99,16.28,66.83,133.78,0.41,2.2,0.03,22.75,27.4,0.91,118.83,98.95,735.25,14-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Jan-2020 - 00:00,30.2,0.75,47.52,3.2,37.62,22.07,31.49,8.05,76.42,130.47,0.49,2.78,0.02,22.75,32.91,0.76,99.64,93.03,730.18,15-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Jan-2020 - 00:00,29.95,0.4,37.85,0.58,15.11,8.15,25.16,4.32,53.2,74.6,0.14,0.81,0.0,20.75,35.1,1.07,87.58,105.59,723.59,16-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Jan-2020 - 00:00,29.88,0.37,34.66,0.58,17.86,9.7,20.24,4.79,37.79,59.5,0.1,0.75,0.0,20.86,34.88,1.04,101.12,103.0,723.86,17-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Jan-2020 - 00:00,29.91,0.36,28.86,1.02,20.61,11.49,17.8,4.36,32.24,64.59,0.11,0.93,0.01,21.22,36.15,0.87,95.93,91.83,723.58,18-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Jan-2020 - 00:00,30.06,0.37,29.69,0.97,19.39,10.91,18.94,4.34,32.7,62.68,0.11,0.95,0.0,22.04,37.31,0.95,82.92,93.72,725.2,19-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Jan-2020 - 00:00,29.8,0.44,29.99,1.49,22.28,12.63,18.55,5.95,35.94,72.74,0.15,1.15,0.0,24.16,35.36,0.59,92.69,99.49,730.04,20-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Jan-2020 - 00:00,30.32,0.42,30.83,1.88,24.25,14.08,21.42,4.86,42.35,85.75,0.14,0.96,0.0,24.04,36.02,0.64,79.73,99.0,743.26,21-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Jan-2020 - 00:00,30.24,0.4,31.51,1.53,24.57,14.17,20.22,4.76,38.24,89.69,0.12,1.6,0.03,23.58,33.99,0.87,77.71,100.64,744.9,22-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Jan-2020 - 00:00,29.99,0.48,30.19,0.99,26.04,14.54,21.29,5.88,43.72,82.57,0.18,1.71,0.04,22.56,35.0,0.75,79.75,95.27,744.11,23-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Jan-2020 - 00:00,30.25,0.53,27.39,3.3,38.8,23.1,21.82,6.19,58.23,114.32,0.22,3.5,0.07,23.26,33.2,0.49,72.85,103.89,745.08,24-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Jan-2020 - 00:00,30.34,0.56,28.47,2.74,40.2,23.54,25.21,9.29,60.7,128.19,0.39,6.02,0.07,24.32,30.58,0.6,60.08,105.53,745.29,25-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Jan-2020 - 00:00,30.43,0.6,31.96,1.56,37.33,20.9,28.55,12.28,64.08,136.09,0.26,6.44,0.05,25.02,31.1,0.5,57.96,99.69,747.58,26-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Jan-2020 - 00:00,30.48,0.59,32.51,5.55,41.45,25.68,27.54,9.33,63.19,132.43,0.27,2.54,0.07,25.9,30.02,0.9,114.28,98.2,741.77,27-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Jan-2020 - 00:00,30.32,0.6,38.05,20.61,38.18,35.74,28.25,10.44,58.92,126.18,0.22,1.78,0.04,26.66,29.24,0.89,70.76,102.3,737.52,28-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Jan-2020 - 00:00,30.27,0.52,32.31,1.44,34.78,19.54,37.92,16.32,56.73,132.93,0.31,1.89,0.05,24.97,29.97,1.79,151.91,95.5,727.92,29-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Jan-2020 - 00:00,30.25,0.6,29.59,4.52,40.36,24.5,43.64,25.73,64.36,150.57,0.51,12.09,0.09,22.37,30.19,1.08,138.48,89.86,711.03,30-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Jan-2020 - 00:00,30.32,0.56,36.42,2.48,26.38,15.5,35.5,13.24,68.84,136.04,0.22,2.23,0.0,20.59,33.1,1.09,86.78,96.92,711.01,31-Jan-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
31-Jan-2020 - 00:00,29.65,0.43,26.03,1.88,31.7,18.38,25.6,16.57,65.18,123.37,0.14,0.84,0.0,13.68,36.61,1.34,54.47,40.76,710.55,01-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Feb-2020 - 00:00,29.9,0.09,32.78,2.3,18.0,11.45,25.5,1.35,53.67,131.0,0.08,1.07,0.0,25.18,30.83,2.37,113.67,338.33,711.33,02-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Feb-2020 - 00:00,30.69,0.33,26.29,3.2,23.61,15.09,19.32,3.93,33.1,89.23,0.12,1.38,0.03,24.08,31.6,1.28,82.83,123.37,711.77,04-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Feb-2020 - 00:00,30.13,0.27,17.58,0.6,23.57,12.52,21.35,3.52,29.0,58.5,0.1,1.13,0.0,17.12,39.5,1.47,77.83,17.0,711.67,05-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Feb-2020 - 00:00,30.42,0.39,26.75,3.29,32.05,19.72,18.35,6.46,35.37,122.27,0.15,1.31,0.13,26.48,27.38,0.97,99.15,110.52,710.35,06-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Feb-2020 - 00:00,30.6,0.39,22.55,2.93,28.62,17.51,19.33,5.5,32.53,102.45,0.17,1.37,0.04,22.97,30.0,1.56,101.17,102.3,710.34,07-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Feb-2020 - 00:00,30.31,0.31,24.1,1.71,23.7,13.95,20.91,5.67,30.94,109.68,0.12,0.77,0.02,21.95,33.33,2.04,99.34,102.1,710.54,08-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Feb-2020 - 00:00,30.29,0.43,21.04,2.55,23.69,14.33,23.06,6.11,37.23,90.08,0.13,1.02,0.02,19.67,38.86,1.39,80.05,69.38,711.24,09-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Feb-2020 - 00:00,29.89,0.41,17.86,1.35,17.98,10.58,20.71,5.91,34.2,53.15,0.14,1.28,0.01,13.46,43.24,1.51,68.67,51.97,712.92,10-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Feb-2020 - 00:00,30.12,0.37,23.13,2.17,19.35,11.98,18.86,4.69,35.39,67.16,0.15,1.72,0.0,16.71,40.48,1.15,93.1,87.3,712.68,11-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Feb-2020 - 00:00,30.17,0.44,27.27,2.46,20.87,12.6,19.27,5.1,41.69,78.04,0.14,1.2,0.02,18.8,38.55,1.1,90.88,90.26,712.9,12-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
