from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,79.46,132.74,1.53,1.93,3.47,13.89,8.96,0.67,13.68,0.17,10.27,0.43,19.07,79.28,,256.25,0.42,157.76,02-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
02-Jan-2020 - 00:00,87.05,126.28,1.36,2.65,3.99,13.0,9.08,0.67,14.09,0.1,11.47,0.45,20.71,82.06,,248.26,0.43,171.4,03-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
03-Jan-2020 - 00:00,78.82,116.13,1.36,2.76,4.0,12.11,8.98,0.67,14.69,0.13,11.92,0.17,19.8,82.26,,224.38,0.46,178.51,04-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
04-Jan-2020 - 00:00,85.62,133.88,2.22,3.18,5.27,12.86,9.17,0.67,15.26,0.25,5.45,0.16,18.87,80.72,,239.7,0.48,179.33,05-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
05-Jan-2020 - 00:00,67.08,127.94,1.1,3.08,3.97,13.74,9.12,0.68,15.92,0.05,7.9,0.49,21.55,75.72,,257.01,0.45,160.95,06-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
06-Jan-2020 - 00:00,64.13,118.24,3.49,2.13,5.62,13.5,9.08,0.66,17.87,0.03,7.01,0.28,24.95,68.2,,246.28,0.55,144.92,07-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
07-Jan-2020 - 00:00,64.8,93.28,5.83,3.4,7.58,11.19,6.99,0.47,12.7,0.63,6.37,0.26,23.7,80.46,,212.64,0.39,161.09,08-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
08-Jan-2020 - 00:00,53.01,76.64,1.69,3.86,4.98,11.09,3.65,0.15,12.06,1.46,4.97,0.14,23.19,80.62,,210.62,0.47,177.83,09-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
09-Jan-2020 - 00:00,50.07,83.02,1.68,3.87,5.35,12.24,3.79,0.21,15.07,0.79,4.14,0.36,20.14,78.22,,258.27,0.49,165.67,10-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
10-Jan-2020 - 00:00,54.09,95.07,2.06,2.86,4.93,11.0,3.73,0.27,15.06,1.18,4.39,0.44,22.12,74.9,,226.83,0.49,157.16,11-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
11-Jan-2020 - 00:00,65.81,115.86,2.63,2.64,5.27,11.97,4.26,0.33,13.94,2.36,6.99,0.15,25.55,67.98,,242.74,0.56,138.15,12-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
12-Jan-2020 - 00:00,60.75,109.81,1.95,3.84,5.36,11.41,4.48,0.39,14.16,0.69,11.99,0.53,23.8,78.66,,228.53,0.4,139.73,13-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
13-Jan-2020 - 00:00,43.46,61.74,1.83,3.84,4.51,10.21,4.09,0.43,14.71,0.1,11.66,0.34,23.64,84.25,,219.19,0.42,176.91,14-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
14-Jan-2020 - 00:00,27.49,62.23,1.83,3.68,4.36,8.7,4.14,0.46,14.75,0.01,11.0,0.58,21.88,79.11,,237.5,0.58,178.64,15-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
15-Jan-2020 - 00:00,24.79,57.41,1.32,2.68,3.95,8.27,4.1,0.49,14.92,0.05,6.96,0.34,19.72,74.97,,259.43,0.52,173.64,16-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
16-Jan-2020 - 00:00,23.29,52.0,1.5,2.36,3.86,9.07,3.78,0.53,15.4,0.13,4.62,0.22,17.87,76.26,,296.38,0.58,169.22,17-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
17-Jan-2020 - 00:00,39.33,100.04,3.01,2.38,5.39,11.4,3.7,0.55,15.86,0.06,1.95,0.12,15.95,75.81,,297.92,0.56,177.91,18-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
18-Jan-2020 - 00:00,57.11,100.83,2.35,3.64,5.99,12.0,3.73,0.58,16.86,0.16,4.21,0.14,19.3,75.11,,265.88,0.45,155.37,19-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
19-Jan-2020 - 00:00,68.44,124.54,1.92,5.29,7.1,11.63,4.21,0.61,16.48,0.03,7.93,0.42,21.4,77.35,,255.9,0.45,151.62,20-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
20-Jan-2020 - 00:00,55.35,76.34,2.24,3.75,5.57,11.43,4.09,0.65,17.36,0.41,9.3,0.45,22.74,76.82,,244.37,0.49,152.64,21-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
21-Jan-2020 - 00:00,60.98,116.69,4.0,3.37,7.28,11.48,4.23,0.67,19.29,0.32,9.07,0.25,21.89,79.61,,244.18,0.43,157.57,22-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
22-Jan-2020 - 00:00,46.32,84.85,1.74,4.06,5.55,9.86,4.26,0.68,19.63,0.23,9.98,0.25,22.96,76.49,,245.69,0.51,160.88,23-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
23-Jan-2020 - 00:00,62.63,110.96,1.71,3.54,5.24,10.87,4.46,0.69,20.56,0.2,13.5,0.39,23.67,76.11,,271.51,0.62,172.42,24-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
24-Jan-2020 - 00:00,56.11,94.12,3.44,3.31,6.48,9.77,4.0,0.56,28.36,0.53,8.25,0.22,24.09,75.86,,243.94,0.62,180.77,25-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
25-Jan-2020 - 00:00,61.36,108.79,3.28,4.01,7.11,7.6,4.05,0.5,15.22,0.95,4.05,0.27,23.81,77.25,,249.75,0.55,165.32,26-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
26-Jan-2020 - 00:00,69.88,192.16,2.87,4.1,6.74,8.57,4.32,0.72,5.32,0.18,11.44,0.28,23.58,77.1,,230.38,0.5,152.07,27-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
27-Jan-2020 - 00:00,37.57,68.26,1.17,3.35,4.51,8.38,4.28,0.51,5.08,0.02,13.62,0.44,22.2,77.59,,282.89,0.47,159.78,28-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
28-Jan-2020 - 00:00,12.54,45.88,1.44,3.75,4.5,8.36,4.23,0.31,5.03,0.02,11.37,0.12,22.76,76.72,,276.81,0.59,179.13,29-Jan-2020 - 00:00,"Borivali East, Mumbai - MPCB"
