from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
01-Jan-2020 - 00:00,542.39,400.86,115.92,74.6,190.53,4.81,,12.84,02-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Jan-2020 - 00:00,514.19,348.46,117.46,78.62,196.08,5.57,,12.59,03-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Jan-2020 - 00:00,343.75,207.8,86.74,59.7,146.44,3.76,,12.53,04-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Jan-2020 - 00:00,353.64,204.45,80.29,62.94,143.24,2.29,,13.51,05-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Jan-2020 - 00:00,278.18,164.62,58.58,48.37,106.95,0.31,,9.0,06-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Jan-2020 - 00:00,248.82,146.27,72.25,62.49,116.98,0.23,0.0,15.97,07-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Jan-2020 - 00:00,154.65,107.9,27.93,46.05,73.98,0.07,,9.94,08-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Jan-2020 - 00:00,177.01,119.32,40.36,56.1,96.45,0.26,,8.82,09-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Jan-2020 - 00:00,174.68,91.64,49.39,68.36,117.75,0.29,,7.9,10-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Jan-2020 - 00:00,257.19,138.9,74.51,90.23,164.74,0.65,,8.61,11-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Jan-2020 - 00:00,296.75,155.88,122.33,116.7,237.05,0.98,,9.3,12-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Jan-2020 - 00:00,409.76,219.95,246.34,151.27,342.2,2.04,,9.01,13-Jan-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
