from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
01-Jan-2020 - 00:00,28.43,60.72,73.64,93.15,26.26,705.62,124.0,0.0,2.03,0.02,0.69,27.01,23.85,3.71,15.71,20.19,2.72,0.03,0.03,0.0,02-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
02-Jan-2020 - 00:00,17.17,46.97,75.25,95.68,26.23,705.39,121.33,0.0,1.84,0.04,0.61,19.31,28.31,4.31,18.57,19.86,1.97,0.06,0.1,0.0,03-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
03-Jan-2020 - 00:00,17.96,48.58,72.59,91.45,26.85,705.04,161.72,0.0,1.57,0.0,0.57,21.31,22.23,4.16,15.23,19.86,2.54,0.02,0.05,0.0,04-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
04-Jan-2020 - 00:00,44.42,90.43,71.9,98.23,26.56,705.28,93.96,0.0,1.05,0.0,0.76,27.61,27.69,4.4,18.3,20.49,2.38,0.08,0.23,0.0,05-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
05-Jan-2020 - 00:00,54.12,101.65,65.99,115.74,26.59,706.06,70.4,0.0,1.25,0.0,0.35,28.81,30.32,7.61,20.35,19.48,9.1,0.01,0.26,0.0,06-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
06-Jan-2020 - 00:00,42.03,86.22,67.14,88.03,26.4,706.12,100.75,0.0,1.52,0.0,1.57,26.65,29.92,3.87,18.96,20.11,5.59,0.04,0.19,0.0,07-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
07-Jan-2020 - 00:00,39.17,83.05,72.01,86.47,26.63,705.22,124.72,0.0,1.56,0.0,0.12,26.71,27.89,3.97,18.07,20.1,1.97,0.05,0.04,0.0,08-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
08-Jan-2020 - 00:00,27.26,71.9,70.95,110.46,26.72,705.4,164.24,0.0,1.57,0.0,0.0,23.12,25.39,8.21,20.16,16.89,2.7,0.07,0.09,0.0,09-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
09-Jan-2020 - 00:00,34.55,80.6,74.94,69.52,27.33,705.81,156.53,0.0,0.84,0.0,0.0,17.86,29.69,6.05,20.71,17.53,2.65,0.08,0.16,0.0,10-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
10-Jan-2020 - 00:00,63.85,117.21,71.62,104.01,26.72,705.96,94.02,0.0,1.23,0.0,0.0,29.48,31.38,4.46,20.32,18.91,3.15,0.02,0.11,0.0,11-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
11-Jan-2020 - 00:00,66.66,127.41,65.35,133.31,26.57,706.35,85.88,0.0,0.89,0.0,0.0,27.76,41.24,4.5,25.6,20.2,5.39,0.23,0.51,0.0,12-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
12-Jan-2020 - 00:00,58.46,129.03,57.06,141.59,26.61,706.02,121.09,0.0,0.59,0.0,0.0,31.79,41.06,4.38,25.4,23.78,5.08,0.16,1.1,0.0,13-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
13-Jan-2020 - 00:00,54.58,126.02,53.02,143.94,26.56,706.04,122.4,0.0,0.59,0.0,0.0,29.18,51.04,4.84,31.06,24.61,6.03,0.13,0.26,0.0,14-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
14-Jan-2020 - 00:00,61.72,122.91,60.97,138.68,26.18,705.56,120.48,0.0,0.94,0.0,0.0,42.57,34.15,4.14,21.55,29.51,1.68,0.04,0.04,0.0,15-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
15-Jan-2020 - 00:00,33.94,70.54,62.77,151.68,26.27,705.97,119.81,0.0,1.78,0.0,0.0,36.14,20.41,4.06,14.14,26.5,2.67,0.0,0.02,0.0,16-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
16-Jan-2020 - 00:00,21.32,59.12,63.26,150.89,26.25,705.9,133.42,0.0,1.39,0.0,0.0,29.69,21.47,4.08,14.74,22.55,2.6,0.0,0.04,0.0,17-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
17-Jan-2020 - 00:00,17.18,52.85,64.27,137.04,26.29,705.47,130.21,0.0,1.31,0.0,0.0,23.87,25.92,4.25,17.24,21.09,2.34,0.0,0.02,0.0,18-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
18-Jan-2020 - 00:00,21.22,60.31,66.99,140.0,26.3,705.25,114.22,0.0,1.74,0.0,0.0,25.11,27.91,5.31,18.65,22.43,1.81,0.0,0.02,0.0,19-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
19-Jan-2020 - 00:00,19.77,58.81,63.44,130.49,26.31,704.84,119.92,0.0,1.22,0.0,0.0,27.36,23.6,4.2,15.73,21.74,1.63,0.0,0.01,0.0,20-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
20-Jan-2020 - 00:00,24.99,73.05,65.3,121.99,26.6,707.4,113.5,0.0,1.48,0.0,0.0,25.3,28.94,4.08,18.66,22.82,2.69,0.0,0.03,0.0,21-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
21-Jan-2020 - 00:00,23.14,74.84,60.1,144.58,26.75,710.16,113.9,0.0,1.85,0.0,0.0,27.84,30.64,5.93,21.34,30.43,3.48,0.0,0.02,0.0,22-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
22-Jan-2020 - 00:00,24.98,71.02,63.29,148.74,26.91,717.48,115.09,0.0,1.54,0.0,0.0,26.98,31.23,4.15,19.98,31.9,1.8,0.06,0.09,0.0,23-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
23-Jan-2020 - 00:00,39.59,98.17,61.93,151.9,26.87,722.24,113.94,0.0,0.88,0.0,0.0,22.12,45.03,5.03,27.98,26.15,2.55,0.13,0.39,0.0,24-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
24-Jan-2020 - 00:00,45.38,113.71,56.64,156.95,26.84,725.99,101.83,0.0,0.75,0.0,0.0,21.08,56.2,9.27,37.32,24.75,2.51,0.21,0.43,0.0,25-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
25-Jan-2020 - 00:00,55.74,132.82,58.77,143.77,26.88,724.07,123.12,0.0,0.61,0.0,0.0,24.9,51.7,6.14,32.47,26.71,3.76,0.16,0.33,0.0,26-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
26-Jan-2020 - 00:00,46.71,123.33,56.33,143.9,26.63,715.8,128.85,0.0,0.66,0.0,0.0,29.05,38.13,5.03,24.33,24.79,3.23,0.11,0.22,0.0,27-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
