from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WD,RH,BP,Toluene,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Jan-2020 - 00:00,10.26,6.73,6.8,10.69,14.53,0.84,33.55,10.92,43.03,0.12,24.05,270.11,63.61,717.11,52.36,07-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Jan-2020 - 00:00,10.31,6.68,6.92,10.78,10.95,0.85,40.22,17.61,42.01,0.13,23.76,271.29,61.0,716.81,55.74,08-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Jan-2020 - 00:00,11.86,6.6,7.03,11.69,11.97,0.86,52.32,33.53,67.91,0.15,23.84,243.14,55.72,716.03,51.7,09-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Jan-2020 - 00:00,11.85,7.01,6.86,11.56,12.21,0.85,57.74,28.51,62.91,0.15,23.75,237.52,53.28,715.81,49.35,10-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Jan-2020 - 00:00,12.53,6.27,6.99,12.03,12.18,0.86,52.96,26.12,79.51,0.15,23.51,218.0,53.47,715.99,52.73,11-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Jan-2020 - 00:00,10.85,6.7,7.0,11.13,13.02,0.86,50.72,20.19,61.97,0.11,24.19,244.35,54.73,717.21,55.62,12-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Jan-2020 - 00:00,13.91,5.44,7.13,12.87,9.04,0.87,40.11,34.48,72.05,0.23,25.03,233.54,58.19,716.36,56.71,13-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Jan-2020 - 00:00,16.28,5.8,7.23,14.24,13.41,0.82,46.5,46.21,96.76,0.21,24.06,217.61,52.45,714.96,60.96,14-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Jan-2020 - 00:00,11.41,11.62,6.9,11.36,14.04,0.73,57.5,51.07,107.39,0.2,23.3,213.72,51.21,714.68,41.66,15-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Jan-2020 - 00:00,10.27,12.02,6.82,10.68,10.83,0.73,60.94,34.07,57.56,0.16,24.09,243.67,49.36,715.12,47.62,16-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Jan-2020 - 00:00,12.52,11.1,7.05,12.06,12.85,0.75,56.26,30.65,75.01,0.18,25.09,141.72,51.09,715.29,49.64,17-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Jan-2020 - 00:00,16.68,10.65,8.99,15.85,9.57,0.93,50.01,43.24,100.54,0.34,26.58,6.47,52.04,715.49,58.76,18-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Jan-2020 - 00:00,9.09,12.16,7.11,10.3,7.48,0.76,37.93,17.66,46.98,0.12,25.69,7.39,64.52,715.68,67.38,19-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Jan-2020 - 00:00,9.81,11.91,6.99,10.58,13.61,0.75,36.64,27.77,87.29,0.19,23.32,6.05,53.67,716.12,38.96,20-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Jan-2020 - 00:00,11.52,11.36,6.99,11.49,15.98,0.74,45.87,27.68,78.83,0.17,23.6,8.42,51.24,716.93,40.17,21-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Jan-2020 - 00:00,12.19,11.28,7.23,12.03,14.68,0.77,49.93,27.3,88.69,0.12,23.88,5.7,46.96,717.9,39.07,22-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Jan-2020 - 00:00,10.14,11.92,6.91,10.69,15.01,0.74,44.73,18.38,50.4,0.11,25.11,8.84,58.31,718.35,48.67,23-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Jan-2020 - 00:00,9.37,12.15,6.91,10.28,13.81,0.74,44.15,37.12,80.52,0.16,24.81,5.77,52.62,717.54,42.98,24-Jan-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
