from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,08-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,09-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
