from date,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
01-Jan-2020 - 00:00,1.04,12.68,14.87,23.52,39.04,18.13,187.63,109.01,485.75,9.62,177.99,0.38,9.25,02-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Jan-2020 - 00:00,0.74,15.33,11.11,18.84,29.95,11.47,155.56,90.56,658.38,13.1,196.35,0.32,10.72,03-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Jan-2020 - 00:00,0.98,14.91,10.68,17.71,28.39,19.13,146.24,84.63,624.7,14.01,229.5,0.44,6.8,04-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Jan-2020 - 00:00,1.4,19.83,11.23,24.83,36.06,18.36,189.37,110.1,566.7,14.56,169.92,0.43,5.87,05-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Jan-2020 - 00:00,0.81,18.69,4.0,15.41,19.42,18.64,105.23,61.02,618.31,14.19,210.07,0.53,5.26,06-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Jan-2020 - 00:00,0.8,18.49,4.88,14.36,19.1,12.76,101.38,58.67,762.87,12.81,231.57,0.56,6.71,07-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Jan-2020 - 00:00,0.76,20.76,8.25,18.34,26.59,11.18,92.65,52.96,774.39,13.03,133.58,0.35,7.67,08-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Jan-2020 - 00:00,0.51,18.14,3.92,12.0,15.95,16.42,65.07,38.58,694.72,12.97,267.73,0.63,5.74,09-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Jan-2020 - 00:00,0.83,14.78,7.1,15.2,22.3,18.43,110.33,64.14,542.36,10.87,220.27,0.51,7.45,10-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Jan-2020 - 00:00,0.97,13.74,6.78,19.08,25.86,21.41,142.17,81.1,450.79,11.81,251.88,0.55,7.08,11-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Jan-2020 - 00:00,0.66,15.36,3.71,18.18,21.93,22.69,101.48,59.0,345.85,13.33,269.07,0.67,9.47,12-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Jan-2020 - 00:00,0.63,17.74,4.43,18.49,22.91,17.69,86.96,50.27,375.77,15.29,198.09,0.63,9.11,13-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Jan-2020 - 00:00,0.75,18.07,3.75,15.01,18.76,10.8,138.07,80.28,575.21,13.06,140.15,0.7,8.54,14-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Jan-2020 - 00:00,0.66,21.91,3.19,14.2,17.41,16.68,75.26,43.76,548.47,13.06,268.81,0.62,6.79,15-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Jan-2020 - 00:00,0.77,19.92,3.91,27.81,31.72,12.39,132.62,77.1,556.37,11.52,250.57,0.57,10.46,16-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Jan-2020 - 00:00,0.68,17.47,5.22,33.38,38.61,11.33,104.91,60.99,556.09,10.95,232.17,0.51,8.55,17-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Jan-2020 - 00:00,0.77,19.68,8.34,42.07,50.4,7.73,104.33,59.06,561.54,12.42,178.79,0.43,5.95,18-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Jan-2020 - 00:00,0.78,14.29,6.92,29.07,35.49,14.16,119.72,62.15,544.13,13.7,186.92,0.51,10.93,19-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Jan-2020 - 00:00,0.64,11.96,10.4,50.06,60.46,17.52,94.63,49.52,452.7,14.12,261.85,0.6,10.23,20-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Jan-2020 - 00:00,0.78,11.86,7.85,43.13,51.29,17.47,129.42,69.42,312.03,15.04,210.08,0.51,9.53,21-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Jan-2020 - 00:00,0.7,12.23,4.31,42.57,46.91,13.02,92.59,53.83,373.23,15.88,180.32,0.62,7.03,22-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Jan-2020 - 00:00,0.58,11.18,4.94,41.85,46.42,18.94,85.49,49.7,317.54,15.15,290.64,0.88,7.36,23-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Jan-2020 - 00:00,0.64,9.4,5.04,19.42,21.4,27.22,91.51,53.2,331.14,13.97,285.43,0.79,7.18,24-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Jan-2020 - 00:00,0.99,9.19,10.54,17.07,28.47,14.54,106.0,61.63,381.42,13.09,224.91,0.54,7.48,25-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Jan-2020 - 00:00,0.56,7.06,19.91,17.84,38.0,23.56,113.21,65.82,340.78,14.94,179.06,0.45,10.5,26-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Jan-2020 - 00:00,0.8,8.12,25.51,30.81,57.72,24.32,152.47,88.64,366.79,15.22,210.69,0.45,15.04,27-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Jan-2020 - 00:00,0.7,8.0,19.32,27.2,46.51,23.55,79.87,46.43,483.2,14.62,131.22,0.56,8.39,28-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Jan-2020 - 00:00,0.86,8.76,13.97,21.71,35.87,26.21,72.48,42.14,541.99,15.59,101.18,0.77,20.25,29-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Jan-2020 - 00:00,1.05,9.8,19.68,24.91,44.59,27.17,88.41,51.4,494.01,15.55,185.1,0.74,7.19,30-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Jan-2020 - 00:00,0.87,10.52,14.63,17.37,32.75,27.05,98.41,57.22,464.69,14.56,284.93,0.82,7.79,31-Jan-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Jan-2020 - 00:00,0.75,8.98,15.65,15.52,31.17,18.73,96.41,56.05,530.48,12.52,216.07,0.6,8.99,01-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Feb-2020 - 00:00,0.93,9.69,21.62,21.09,42.7,17.97,121.23,70.48,533.01,12.72,181.16,0.49,9.53,02-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Feb-2020 - 00:00,0.68,10.19,20.49,15.91,36.4,31.64,109.93,63.92,449.31,13.65,231.44,0.52,10.62,03-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Feb-2020 - 00:00,0.66,11.46,20.21,14.04,34.46,24.29,94.23,54.78,406.62,14.05,190.96,0.43,14.12,04-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Feb-2020 - 00:00,0.99,10.24,17.99,13.6,31.59,21.07,93.64,54.45,395.53,13.68,146.08,0.48,6.92,05-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Feb-2020 - 00:00,0.77,9.88,15.36,12.93,28.29,23.61,93.33,54.26,409.38,13.95,276.37,0.71,7.45,06-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Feb-2020 - 00:00,0.76,9.45,15.21,16.93,32.14,23.72,90.16,53.24,417.27,14.03,161.23,0.44,6.6,07-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Feb-2020 - 00:00,0.93,7.62,15.78,22.62,38.4,19.03,129.86,75.51,549.04,14.64,181.63,0.49,7.23,08-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Feb-2020 - 00:00,1.11,6.82,14.68,22.88,37.45,20.57,114.08,66.24,537.28,14.63,176.34,0.52,7.51,09-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Feb-2020 - 00:00,1.04,11.13,17.7,28.25,45.96,23.08,143.68,83.53,520.13,15.72,203.57,0.43,3.93,10-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Feb-2020 - 00:00,1.03,8.42,17.62,27.94,45.56,21.93,115.71,67.27,546.35,15.91,232.75,0.55,5.38,11-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
