from date,Benzene,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,1.2,4.11,5.36,722.55,95.75,154.65,0.0,64.39,12.94,112.42,2.55,0.51,33.58,3.19,18.9,22.09,70.43,8.69,02-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Jan-2020 - 00:00,2.46,9.81,8.17,723.25,90.35,180.35,0.0,74.32,13.74,108.71,2.14,0.97,36.43,20.81,30.05,50.86,37.87,9.33,03-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Jan-2020 - 00:00,2.18,14.81,8.07,722.2,57.2,109.96,0.0,68.25,14.81,184.61,2.06,1.01,41.31,29.89,36.65,66.54,35.39,7.97,04-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Jan-2020 - 00:00,2.93,11.18,7.54,721.64,77.4,136.81,0.0,81.74,14.3,168.95,2.08,0.93,43.84,20.08,30.59,50.67,33.18,8.12,05-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Jan-2020 - 00:00,2.14,9.16,6.33,721.88,64.02,114.75,0.0,71.45,15.14,164.86,1.7,0.77,42.64,13.61,29.72,43.33,37.48,7.71,06-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Jan-2020 - 00:00,1.61,14.28,6.57,721.8,49.04,103.0,0.0,59.13,17.14,179.03,2.34,0.99,45.62,40.46,41.08,81.53,35.36,8.49,07-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Jan-2020 - 00:00,2.5,8.73,5.1,719.86,42.28,87.59,0.0,61.96,17.49,231.08,1.66,0.58,34.92,5.24,27.31,32.55,38.45,5.04,08-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Jan-2020 - 00:00,0.69,4.72,3.27,719.73,32.18,69.01,0.0,74.82,13.7,221.23,2.19,0.61,31.17,4.44,16.16,20.59,37.62,2.47,09-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Jan-2020 - 00:00,0.94,3.85,2.83,723.48,24.57,58.1,0.0,56.92,11.95,128.92,1.89,0.81,24.27,7.63,22.52,30.14,25.69,3.53,10-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Jan-2020 - 00:00,2.71,0.4,4.57,724.05,32.31,65.87,0.0,53.98,11.86,105.72,1.82,0.81,26.27,9.96,24.57,34.51,48.4,5.42,11-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Jan-2020 - 00:00,3.31,0.31,5.08,723.23,32.57,83.85,0.0,52.25,13.6,146.39,1.65,0.74,29.95,6.68,34.2,40.88,47.8,5.51,12-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Jan-2020 - 00:00,3.51,0.44,6.7,721.22,34.25,85.2,0.0,58.04,15.81,169.82,1.79,0.68,34.99,8.08,32.24,40.32,47.74,5.36,13-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Jan-2020 - 00:00,1.86,0.14,2.77,717.82,30.71,67.02,0.0,69.33,16.37,209.27,2.2,0.35,40.22,4.0,24.27,28.27,44.62,4.97,14-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Jan-2020 - 00:00,2.71,0.28,4.74,720.39,35.65,59.81,0.0,65.8,13.72,168.72,1.34,0.32,29.62,8.4,24.41,32.81,40.69,5.14,15-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Jan-2020 - 00:00,1.95,0.08,2.07,720.71,48.28,68.54,0.0,70.4,14.48,61.65,1.72,0.26,33.36,3.46,19.05,22.51,60.8,5.27,16-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Jan-2020 - 00:00,2.28,0.13,2.82,720.2,44.28,74.73,0.0,65.02,14.71,103.4,1.83,0.4,33.37,3.46,19.92,23.38,52.74,4.44,17-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Jan-2020 - 00:00,3.57,0.34,5.68,721.53,41.35,69.08,0.0,59.55,13.5,183.2,1.59,0.92,31.68,10.03,28.91,38.97,39.47,5.28,18-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Jan-2020 - 00:00,3.78,0.28,5.26,722.32,44.18,83.29,0.0,62.16,14.16,200.01,1.77,0.52,37.59,9.2,28.92,38.12,44.41,5.02,19-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Jan-2020 - 00:00,4.58,0.35,5.37,723.48,59.0,98.17,0.0,63.04,13.47,107.44,2.09,0.62,37.56,12.34,28.21,40.55,42.45,4.68,20-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Jan-2020 - 00:00,3.65,0.26,5.46,722.34,41.4,82.62,0.0,56.54,13.66,191.71,1.63,0.47,36.65,7.15,30.16,37.31,47.12,5.47,21-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Jan-2020 - 00:00,5.78,0.99,10.0,722.11,50.55,99.73,0.0,64.24,15.11,160.63,1.65,0.77,44.89,15.31,37.06,52.37,37.67,5.3,22-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Jan-2020 - 00:00,2.99,0.22,4.12,724.53,44.52,76.44,0.0,62.82,15.86,185.31,2.5,0.45,42.42,3.89,20.55,24.43,58.16,4.8,23-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Jan-2020 - 00:00,4.06,0.57,6.51,724.6,37.05,77.06,0.0,49.58,14.69,148.91,2.26,0.81,36.39,19.08,24.05,43.13,43.27,5.04,24-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Jan-2020 - 00:00,5.03,0.77,8.63,722.67,36.54,87.8,0.0,43.41,14.43,240.88,2.08,0.84,37.81,20.43,29.62,50.05,40.47,4.92,25-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Jan-2020 - 00:00,6.61,1.2,11.38,721.73,45.97,114.07,0.0,45.37,15.72,164.4,1.35,0.81,43.9,29.47,36.19,65.66,38.66,5.47,26-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Jan-2020 - 00:00,4.52,0.62,8.92,720.25,37.64,100.32,0.0,45.55,17.9,166.79,0.5,0.69,45.4,11.46,39.25,50.71,34.93,5.42,27-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Jan-2020 - 00:00,3.04,0.51,6.3,717.35,34.25,75.26,0.0,48.0,19.72,182.57,0.73,0.79,45.68,9.42,35.54,44.92,38.93,6.59,28-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
