from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,96.02,163.3,51.92,23.78,75.7,8.62,17.02,0.77,66.0,5.76,8.29,2.08,21.89,66.37,,227.14,29.75,126.34,02-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
02-Jan-2020 - 00:00,113.97,162.92,39.35,5.98,45.33,9.53,10.74,0.71,93.23,3.02,9.84,2.74,22.5,72.67,,262.56,28.57,135.04,03-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
03-Jan-2020 - 00:00,94.76,147.92,45.24,6.36,51.6,9.1,10.62,0.69,80.75,2.42,6.76,1.66,22.41,66.96,,263.53,16.98,92.1,04-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
04-Jan-2020 - 00:00,85.26,147.17,37.78,7.83,45.61,7.58,3.48,0.69,83.72,1.75,3.32,1.49,21.48,63.98,,273.68,2.22,126.94,05-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
05-Jan-2020 - 00:00,96.68,156.59,48.92,15.76,64.67,10.12,9.84,0.72,64.33,2.25,5.4,1.59,22.86,67.94,,274.24,2.15,140.03,06-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
06-Jan-2020 - 00:00,72.32,119.92,37.56,9.95,47.51,11.07,11.84,0.65,63.44,2.1,3.69,1.56,24.6,68.29,,249.73,1.9,154.0,07-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
07-Jan-2020 - 00:00,98.73,168.51,43.63,33.78,77.41,12.86,19.38,0.64,25.6,9.64,10.91,2.01,24.53,77.18,,202.96,1.91,187.25,08-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
08-Jan-2020 - 00:00,67.76,112.26,23.77,9.54,33.31,11.68,10.31,0.51,38.65,1.48,4.47,1.29,24.45,71.97,,251.59,1.93,147.45,09-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
09-Jan-2020 - 00:00,66.81,128.87,46.06,7.49,53.56,10.17,17.52,0.65,31.26,1.23,8.09,4.3,22.62,63.86,,256.02,2.18,144.7,10-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
10-Jan-2020 - 00:00,71.82,146.1,51.09,12.79,63.88,10.01,15.49,0.6,32.94,8.49,27.8,10.0,23.58,65.12,,267.0,2.27,166.25,11-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
11-Jan-2020 - 00:00,78.32,133.66,43.67,22.44,66.11,10.67,8.02,0.59,49.3,14.48,36.36,16.41,25.1,70.15,,245.97,1.89,185.79,12-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
12-Jan-2020 - 00:00,94.41,159.53,30.18,26.96,57.13,9.2,10.95,0.66,36.85,35.87,72.73,12.13,24.74,77.59,,223.24,1.9,203.57,13-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
13-Jan-2020 - 00:00,71.86,120.18,32.1,13.08,45.18,7.56,6.01,0.49,25.18,9.92,35.61,16.75,24.24,80.05,,214.47,1.92,153.2,14-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
14-Jan-2020 - 00:00,39.62,87.5,21.45,5.35,26.8,5.3,0.99,0.22,22.57,2.03,30.6,10.56,22.66,85.49,,,1.94,107.71,15-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
15-Jan-2020 - 00:00,28.74,73.08,20.2,3.42,23.62,7.54,4.37,0.25,81.73,3.44,15.5,5.64,22.53,60.19,,279.72,2.48,163.45,16-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
16-Jan-2020 - 00:00,34.86,74.62,33.43,8.67,42.1,5.81,7.34,0.34,52.45,3.29,25.28,13.52,20.22,64.54,,227.6,2.69,183.7,17-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
17-Jan-2020 - 00:00,46.5,93.82,42.46,6.49,48.95,6.35,7.63,0.44,60.23,5.07,10.59,8.9,19.63,54.55,,274.6,2.67,215.85,18-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
18-Jan-2020 - 00:00,84.26,140.13,58.64,9.66,68.3,11.31,14.99,0.7,31.64,5.65,68.27,42.93,21.3,63.4,,234.94,2.21,139.89,19-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
19-Jan-2020 - 00:00,92.04,156.55,51.54,23.82,75.36,15.08,10.11,0.69,13.81,12.81,71.27,42.22,22.63,72.0,,238.37,2.34,177.42,20-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
20-Jan-2020 - 00:00,97.1,156.75,52.3,21.84,74.15,15.38,17.92,0.73,35.03,19.82,68.13,25.28,23.89,75.08,,243.56,1.99,157.74,21-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
