from date,AT,Benzene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,RF,RH,SO2,SR,Toluene,VWS,WD,WS,Xylene,to date,station
01-Jan-2020 - 00:00,16.14,2.09,752.18,1.05,14.36,7.56,15.68,60.95,237.45,0.0,85.73,14.94,27.31,4.41,-0.01,102.31,0.37,2.4,02-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
02-Jan-2020 - 00:00,17.98,1.4,752.18,0.74,8.53,5.06,9.52,67.23,109.12,0.0,83.94,14.38,53.38,3.17,-0.01,72.65,0.34,1.61,03-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
03-Jan-2020 - 00:00,19.04,0.87,752.0,0.83,6.24,4.81,7.24,60.11,53.61,0.0,82.47,14.56,47.79,2.22,-0.01,90.61,0.55,1.3,04-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
04-Jan-2020 - 00:00,16.95,0.89,752.0,0.78,8.02,3.39,8.29,45.09,64.17,0.0,89.49,14.65,16.69,2.2,-0.01,139.44,0.68,1.35,05-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
05-Jan-2020 - 00:00,17.89,0.7,752.0,0.76,4.95,5.76,6.94,44.11,56.19,0.0,81.28,14.5,57.89,1.69,-0.01,123.55,1.18,0.94,06-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
06-Jan-2020 - 00:00,17.77,1.26,752.0,0.98,17.03,9.85,19.08,44.36,77.78,0.0,76.28,14.37,85.51,4.05,-0.01,102.64,0.56,2.89,07-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
07-Jan-2020 - 00:00,18.12,1.17,752.0,0.94,9.79,9.43,12.88,58.44,90.2,0.0,76.27,14.31,76.72,3.4,-0.01,130.71,0.47,2.34,08-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
08-Jan-2020 - 00:00,18.64,0.93,751.84,0.74,3.78,7.04,6.8,62.09,82.39,0.0,77.8,13.91,70.06,2.11,-0.01,84.41,0.49,1.17,09-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
09-Jan-2020 - 00:00,18.38,0.9,751.97,0.8,4.76,5.52,6.67,71.22,75.92,0.0,84.42,14.07,35.41,1.67,-0.01,102.02,1.16,0.94,10-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
10-Jan-2020 - 00:00,16.95,0.73,752.0,0.78,5.51,5.63,7.46,48.68,59.08,0.0,80.9,14.35,56.4,1.8,-0.01,99.29,1.42,0.94,11-Jan-2020 - 00:00,"Collectorate, Gaya - BSPCB"
