from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
01-Jan-2020 - 00:00,233.51,17.2,0.31,32.13,40.42,46.79,0.69,1.28,101.88,25.49,243.37,119.05,0.15,0.36,0.0,0.0,0.07,725.0,51.6,5.81,02-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
02-Jan-2020 - 00:00,120.4,17.75,0.29,43.73,25.04,48.99,0.56,1.33,93.49,16.93,242.64,154.98,0.17,0.62,0.01,0.01,0.12,723.4,56.81,7.21,03-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
03-Jan-2020 - 00:00,140.5,19.21,0.28,35.47,21.89,40.66,0.59,0.81,72.01,21.65,176.37,94.17,0.17,0.38,0.0,0.0,0.05,724.29,48.75,7.14,04-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
04-Jan-2020 - 00:00,131.1,19.16,0.25,58.85,22.23,59.69,0.35,1.16,108.97,14.35,195.45,86.48,0.67,2.19,0.19,0.11,0.72,725.33,48.08,8.19,05-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
05-Jan-2020 - 00:00,127.45,19.52,0.29,85.35,24.69,82.41,0.28,1.15,143.22,19.02,243.78,117.87,1.12,2.87,0.26,0.16,1.17,725.48,50.51,8.71,06-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
06-Jan-2020 - 00:00,111.95,20.43,0.29,57.32,24.36,59.41,0.53,1.15,111.48,21.96,180.29,83.98,0.34,1.1,0.09,0.01,0.4,725.61,47.85,7.41,07-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
07-Jan-2020 - 00:00,125.87,18.64,0.3,37.88,17.3,39.67,1.08,1.27,52.69,26.66,182.92,93.76,0.08,0.18,0.0,0.0,0.01,726.82,57.42,9.07,08-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
08-Jan-2020 - 00:00,137.84,17.17,0.26,33.71,16.01,35.77,0.99,1.08,52.64,28.41,105.52,43.71,0.02,0.09,0.0,0.0,0.0,726.56,56.63,10.06,09-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
09-Jan-2020 - 00:00,176.8,16.56,0.27,38.52,17.85,40.27,0.62,1.68,106.33,26.18,115.01,47.4,0.01,0.24,0.0,0.0,0.0,723.46,49.3,10.0,10-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
10-Jan-2020 - 00:00,169.52,16.59,0.28,39.31,20.13,42.49,0.75,1.33,108.35,26.42,123.75,56.69,0.05,0.38,0.0,0.0,0.05,723.14,45.08,10.04,11-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
11-Jan-2020 - 00:00,151.32,19.0,0.25,39.56,20.21,42.61,0.6,1.33,115.48,24.93,141.67,69.41,0.06,0.44,0.01,0.01,0.09,724.94,41.31,9.3,12-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
12-Jan-2020 - 00:00,127.32,20.9,0.24,63.2,22.58,63.03,0.39,0.93,152.1,35.47,195.07,94.27,2.06,6.77,1.01,0.61,2.49,727.55,49.61,13.76,13-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
13-Jan-2020 - 00:00,76.55,17.67,0.29,52.45,16.64,51.14,0.66,0.68,226.21,17.23,162.06,84.06,0.72,3.38,0.32,0.39,1.17,729.97,61.81,8.03,14-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
14-Jan-2020 - 00:00,155.61,17.0,0.28,32.2,20.77,37.16,0.7,0.63,87.37,23.77,89.9,43.4,0.02,0.21,0.0,0.0,0.0,726.96,56.99,9.73,15-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
15-Jan-2020 - 00:00,142.27,17.46,0.32,40.03,16.62,41.5,0.98,0.49,74.32,19.51,94.22,55.78,0.01,0.07,0.0,0.0,0.02,726.88,54.86,8.27,16-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
16-Jan-2020 - 00:00,90.56,16.44,0.26,33.83,15.25,35.24,0.93,0.78,61.05,20.74,111.23,60.67,0.0,0.16,0.0,0.0,0.0,726.88,54.6,7.08,17-Jan-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
