from date,PM10,PM2.5,SO2,CO,NOx,NO2,NO,to date,station
01-Jan-2020 - 00:00,,,,,,,,02-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-Jan-2020 - 00:00,,,,,,,,03-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Jan-2020 - 00:00,,,,,,,,04-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Jan-2020 - 00:00,,,,,,,,05-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-Jan-2020 - 00:00,,,,,,,,06-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Jan-2020 - 00:00,,,,,,,,07-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Jan-2020 - 00:00,,,,,,,,08-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Jan-2020 - 00:00,,,,,,,,09-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Jan-2020 - 00:00,,,,,,,,10-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Jan-2020 - 00:00,,,,,,,,11-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Jan-2020 - 00:00,,,,,,,,12-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Jan-2020 - 00:00,,,,,,,,13-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Jan-2020 - 00:00,,,,,,,,14-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Jan-2020 - 00:00,,,,,,,,15-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Jan-2020 - 00:00,,,,,,,,16-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-Jan-2020 - 00:00,,,,,,,,17-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-Jan-2020 - 00:00,,,,,,,,18-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-Jan-2020 - 00:00,,,,,,,,19-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-Jan-2020 - 00:00,,,,,,,,20-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-Jan-2020 - 00:00,,,,,,,,21-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-Jan-2020 - 00:00,102.54,36.75,1.45,0.98,20.73,19.79,1.0,22-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-Jan-2020 - 00:00,64.26,34.12,1.65,0.95,21.21,20.19,1.02,23-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-Jan-2020 - 00:00,46.14,21.09,1.9,0.75,22.64,21.57,1.07,24-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-Jan-2020 - 00:00,83.22,22.46,1.87,0.98,29.94,28.9,1.04,25-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Jan-2020 - 00:00,106.52,26.81,1.82,1.2,32.92,31.85,1.06,26-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Jan-2020 - 00:00,97.87,24.93,1.93,1.09,32.36,31.11,1.25,27-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Jan-2020 - 00:00,79.2,18.19,1.85,0.97,23.31,22.34,0.99,28-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Jan-2020 - 00:00,83.14,22.18,1.85,0.9,22.18,21.22,0.97,29-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Jan-2020 - 00:00,75.04,16.73,1.86,0.79,20.94,19.95,1.01,30-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
