from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
01-Jan-2020 - 00:00,7.61,993.69,71.4,67.96,114.03,0.75,446.05,358.84,11.91,73.48,33.22,87.74,101.22,55.86,18.78,4.32,3.21,02-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Jan-2020 - 00:00,8.7,993.48,68.36,61.81,194.88,0.6,487.26,378.74,14.9,94.24,35.06,109.86,120.8,59.02,26.92,4.25,3.94,03-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Jan-2020 - 00:00,9.26,991.32,67.17,62.92,173.54,0.78,286.78,203.61,9.71,96.69,27.01,66.97,77.24,42.6,13.88,1.62,2.28,04-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Jan-2020 - 00:00,9.03,990.33,68.3,59.29,290.67,1.0,293.75,203.93,8.07,56.62,24.32,43.41,63.73,53.34,18.98,1.57,1.99,05-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Jan-2020 - 00:00,8.84,990.8,64.22,70.32,284.79,1.28,249.58,168.58,4.74,40.03,18.93,18.14,40.53,48.45,14.12,1.83,1.22,06-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Jan-2020 - 00:00,8.95,991.68,63.05,41.62,170.67,0.93,208.59,140.66,3.94,32.12,15.93,9.82,31.29,43.76,18.74,1.38,1.06,07-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Jan-2020 - 00:00,8.98,989.53,72.86,39.52,107.07,1.11,149.16,117.6,3.31,17.28,17.02,3.99,16.5,25.62,16.7,2.05,0.84,08-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Jan-2020 - 00:00,8.52,987.5,80.54,14.84,182.33,1.01,159.49,137.14,3.9,21.29,18.69,14.69,26.67,27.51,15.13,1.15,1.08,09-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Jan-2020 - 00:00,7.62,992.22,74.57,68.83,308.38,1.8,133.81,101.47,2.87,16.73,14.72,9.45,21.71,26.42,10.35,1.51,0.77,10-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Jan-2020 - 00:00,7.73,992.45,71.32,75.49,297.28,1.78,210.41,144.69,4.44,23.69,15.91,17.9,37.54,43.17,13.07,2.07,1.26,11-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
