from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
01-Jan-2020 - 00:00,,67.1,993.09,77.33,30.16,80.33,35.14,12.51,376.67,,27.15,3.8,141.37,10.39,02-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Jan-2020 - 00:00,,64.27,992.74,76.6,29.9,82.32,38.58,15.51,342.5,,28.23,4.17,160.9,11.61,03-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Jan-2020 - 00:00,,66.36,990.5,82.43,32.29,74.58,32.46,16.65,465.42,,17.86,5.81,127.21,11.54,04-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Jan-2020 - 00:00,,67.55,989.51,69.1,38.92,84.86,27.95,16.19,470.83,,13.09,7.25,107.71,9.84,05-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Jan-2020 - 00:00,,61.93,989.98,71.45,31.75,64.15,27.08,15.41,437.5,,10.52,2.87,51.86,7.25,06-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Jan-2020 - 00:00,,68.46,990.91,36.54,32.55,71.11,19.91,14.77,390.83,,12.7,3.48,57.56,8.32,07-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Jan-2020 - 00:00,,79.65,988.73,42.04,31.79,59.31,15.62,14.92,381.3,,30.39,4.31,53.9,7.14,08-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Jan-2020 - 00:00,,90.45,986.65,13.87,34.88,54.66,12.28,13.62,124.5,,7.08,0.71,44.48,13.57,09-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Jan-2020 - 00:00,,82.98,991.48,81.26,33.07,43.34,19.2,10.82,535.42,,3.37,3.12,40.4,8.18,10-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Jan-2020 - 00:00,,75.63,991.69,99.98,29.36,67.89,22.14,11.69,473.75,,4.85,5.06,47.89,13.59,11-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Jan-2020 - 00:00,,60.58,991.41,95.98,26.9,86.22,25.8,13.68,455.83,,10.8,5.03,68.99,9.91,12-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Jan-2020 - 00:00,,60.59,988.45,60.16,28.46,96.01,27.33,15.79,411.25,,9.63,1.24,94.58,12.78,13-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Jan-2020 - 00:00,,71.9,984.01,40.34,27.85,73.87,22.47,15.51,322.17,,12.3,3.68,60.51,12.06,14-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Jan-2020 - 00:00,,82.86,987.55,56.16,27.85,41.96,21.09,13.52,479.17,,4.0,2.84,37.04,13.88,15-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Jan-2020 - 00:00,,78.84,988.63,75.78,28.04,51.06,25.74,13.63,572.92,,11.74,4.24,37.76,7.87,16-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Jan-2020 - 00:00,252.37,84.12,987.42,41.33,34.45,53.3,17.22,12.59,375.83,2.06,8.91,2.35,49.98,9.05,17-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Jan-2020 - 00:00,261.87,88.58,988.65,89.85,32.23,51.9,17.96,13.55,443.75,2.08,2.54,3.13,43.43,8.17,18-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Jan-2020 - 00:00,250.64,87.56,990.44,84.07,33.33,61.24,20.46,12.39,427.08,1.68,3.93,3.16,52.93,12.52,19-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Jan-2020 - 00:00,244.08,82.05,991.19,119.42,30.14,49.11,21.61,11.16,523.75,2.95,3.01,2.81,36.17,7.71,20-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Jan-2020 - 00:00,230.62,84.99,990.19,73.69,30.63,66.64,19.8,12.12,372.5,1.91,2.53,3.67,60.84,9.78,21-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Jan-2020 - 00:00,126.67,82.56,990.87,102.11,32.8,66.69,22.95,13.84,438.75,1.46,8.24,2.36,70.72,8.61,22-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Jan-2020 - 00:00,257.36,83.83,992.55,112.87,32.34,66.1,21.17,13.28,476.67,2.29,6.71,3.47,62.7,7.19,23-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Jan-2020 - 00:00,253.65,58.92,990.88,136.29,31.29,53.38,26.77,14.28,541.67,4.37,3.92,2.04,30.05,6.85,24-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Jan-2020 - 00:00,247.04,50.78,988.39,137.24,31.98,67.08,27.85,14.96,505.83,3.92,11.56,4.66,44.99,7.25,25-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Jan-2020 - 00:00,247.08,57.14,988.7,122.52,33.03,87.07,25.22,15.18,567.92,1.82,20.69,6.22,69.52,6.32,26-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
