from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
01-Jan-2020 - 00:00,2.59,5.06,6.58,4.03,7.51,1.29,1.3,2.53,1.18,189.07,5.43,0.0,29.05,0.98,30.5,57.36,131.16,02-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Jan-2020 - 00:00,2.61,5.21,6.73,3.88,5.01,1.87,1.45,2.71,1.39,185.29,4.69,0.0,36.88,0.71,38.75,54.54,127.05,04-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Jan-2020 - 00:00,2.72,4.81,6.26,4.7,8.08,2.59,2.95,4.65,2.43,187.03,5.06,0.0,36.71,1.02,29.42,67.74,151.6,05-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Jan-2020 - 00:00,2.63,4.95,6.41,4.07,,,,0.0,0.0,187.52,5.16,0.0,40.28,0.86,26.11,64.44,152.97,06-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Jan-2020 - 00:00,2.71,5.0,6.42,4.05,3.66,1.53,1.1,1.29,0.52,188.0,5.32,0.05,41.03,0.66,12.57,44.98,100.76,07-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Jan-2020 - 00:00,2.51,4.94,6.37,3.85,4.39,1.69,1.51,3.34,1.66,187.35,5.2,0.0,39.9,0.57,11.78,30.27,62.03,08-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Jan-2020 - 00:00,2.63,4.96,6.42,4.07,4.09,7.4,3.57,5.09,3.57,188.2,5.43,0.0,29.1,0.52,19.89,27.36,64.07,09-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Jan-2020 - 00:00,2.74,5.04,6.46,4.02,4.0,0.96,1.05,2.2,0.93,189.05,5.58,0.0,10.54,0.58,21.56,25.18,65.24,10-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Jan-2020 - 00:00,2.7,5.02,6.45,4.04,4.51,0.93,1.33,3.09,1.53,188.09,5.38,0.0,12.07,0.63,25.64,37.09,90.21,11-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Jan-2020 - 00:00,2.68,5.0,6.44,4.05,4.12,0.93,1.14,2.81,1.18,186.87,5.09,0.0,20.39,0.57,25.78,36.86,89.76,12-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
