from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
06-Jan-2020 - 00:00,94.61,202.9,11.31,59.18,72.03,109.89,69.05,1.78,24.13,,,,,,62.3,7.6,2.44,175.23,0.0,07-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
07-Jan-2020 - 00:00,76.85,122.4,16.37,33.02,17.15,75.41,27.97,0.94,43.98,11.96,119.96,1.99,1.21,0.96,66.28,74.77,2.95,212.11,0.0,08-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
08-Jan-2020 - 00:00,71.28,119.84,16.26,31.7,15.55,49.26,27.59,0.51,33.55,11.98,119.76,2.0,1.26,1.0,68.56,71.26,1.83,266.05,0.0,09-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
09-Jan-2020 - 00:00,53.8,100.59,14.47,30.06,15.61,44.69,,0.7,31.46,11.98,119.59,1.99,1.26,1.0,66.19,151.77,2.42,100.03,0.0,10-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
10-Jan-2020 - 00:00,59.34,136.97,18.39,38.73,21.47,53.54,,0.86,29.87,11.98,119.85,2.0,1.26,1.0,62.88,180.31,3.4,115.45,0.0,11-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
11-Jan-2020 - 00:00,73.09,150.99,20.21,42.82,22.69,63.41,,0.97,30.41,12.01,119.93,2.0,1.26,1.0,62.09,86.15,3.43,132.98,0.0,12-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
12-Jan-2020 - 00:00,79.07,131.12,20.91,33.25,12.34,75.95,,1.06,48.07,12.01,119.91,2.0,1.26,1.0,65.75,83.04,3.27,192.2,0.0,13-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
13-Jan-2020 - 00:00,83.0,141.41,16.88,34.04,17.26,61.92,,1.11,25.58,12.02,120.07,2.0,1.26,1.0,78.21,76.01,2.7,245.97,0.0,14-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
14-Jan-2020 - 00:00,49.27,87.4,15.89,27.11,11.22,43.49,,0.69,40.67,11.98,120.31,2.0,1.26,1.0,65.56,92.38,1.47,132.35,0.0,15-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
15-Jan-2020 - 00:00,43.99,75.73,19.39,34.56,15.35,42.52,,0.87,27.98,11.99,119.55,2.0,1.25,1.0,65.18,46.04,1.89,175.95,0.0,16-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
16-Jan-2020 - 00:00,28.81,59.75,16.02,30.3,14.36,38.08,17.0,0.68,35.5,11.99,120.08,2.0,1.26,1.0,61.92,92.53,2.03,269.62,0.0,17-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
