from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
01-Jan-2020 - 00:00,19.48,42.24,33.56,85.57,10.36,1.53,17.07,164.66,191.59,10.61,0.25,1.45,1.32,2.55,90.45,3.46,198.33,,0.0,02-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
02-Jan-2020 - 00:00,18.02,31.81,23.45,73.81,13.19,1.36,26.62,112.88,178.67,8.8,0.2,0.86,1.13,2.23,83.39,3.23,184.05,,0.0,03-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
03-Jan-2020 - 00:00,24.1,33.77,22.18,78.52,10.43,1.26,24.23,85.68,157.69,6.69,0.29,0.91,2.13,2.97,85.41,3.36,231.72,,0.0,04-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
04-Jan-2020 - 00:00,19.02,37.81,29.18,76.39,9.55,1.33,23.08,86.43,152.66,7.67,0.26,1.32,1.26,2.31,87.04,3.62,150.78,,0.0,05-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
05-Jan-2020 - 00:00,17.74,27.64,19.23,63.06,10.45,1.03,30.32,101.48,171.18,6.36,0.21,0.84,1.21,2.12,78.99,3.84,140.56,,0.0,06-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
06-Jan-2020 - 00:00,19.49,25.73,16.28,60.13,10.24,1.0,22.3,92.04,185.72,4.98,0.19,0.63,0.98,1.78,81.72,3.26,209.16,,0.0,07-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
07-Jan-2020 - 00:00,13.19,17.33,10.93,51.24,9.68,0.91,22.53,100.66,208.33,6.01,0.14,0.46,0.66,1.3,88.78,3.56,173.28,,0.0,08-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
08-Jan-2020 - 00:00,8.23,12.45,8.54,37.97,8.27,0.54,14.75,71.8,148.12,4.83,0.15,0.6,0.85,1.42,99.08,3.84,274.07,,0.0,09-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
09-Jan-2020 - 00:00,5.82,10.07,7.36,26.74,7.96,0.64,17.84,47.83,104.47,2.3,0.07,0.22,0.59,0.85,89.17,3.07,285.25,,0.0,10-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
10-Jan-2020 - 00:00,2.56,7.33,6.28,13.99,9.99,1.92,18.93,48.07,113.5,3.02,0.08,0.71,0.74,0.87,78.4,2.3,273.16,,0.0,11-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
11-Jan-2020 - 00:00,6.73,10.19,6.98,20.3,8.79,2.06,28.47,69.01,159.86,3.91,3.63,0.66,1.3,1.52,68.16,5.09,252.76,,0.0,12-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
12-Jan-2020 - 00:00,11.52,13.66,8.0,28.19,6.27,3.08,27.47,97.14,220.86,6.39,11.21,0.93,1.38,2.09,73.78,5.37,181.69,,0.0,13-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
13-Jan-2020 - 00:00,10.54,12.94,7.78,25.63,6.25,1.6,23.5,102.97,256.19,6.8,10.77,0.86,0.96,2.05,86.34,5.7,201.99,,0.0,14-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
14-Jan-2020 - 00:00,7.3,10.49,6.99,20.15,6.73,2.01,26.25,42.68,88.79,2.65,9.51,0.35,0.86,1.0,92.06,6.66,305.1,,0.0,15-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
15-Jan-2020 - 00:00,6.28,9.72,6.74,17.69,5.88,1.05,22.1,63.15,132.76,3.69,11.03,0.53,1.69,1.77,90.62,5.32,270.57,,0.0,16-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
16-Jan-2020 - 00:00,6.52,9.87,6.77,17.43,5.67,1.03,16.98,64.82,131.42,4.64,14.65,0.66,3.1,3.11,98.27,3.93,276.27,,0.0,17-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
17-Jan-2020 - 00:00,9.41,12.18,7.49,25.79,5.34,1.26,23.57,64.16,101.65,3.4,9.89,0.42,1.34,1.65,94.8,4.5,260.37,98.67,0.0,18-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
18-Jan-2020 - 00:00,18.5,17.54,8.25,37.93,5.14,1.79,19.33,80.58,111.4,6.31,15.97,0.78,3.28,3.54,98.94,0.33,158.49,121.19,0.0,19-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
19-Jan-2020 - 00:00,11.26,12.55,6.98,24.97,4.87,1.88,29.18,80.73,113.93,3.81,10.29,0.3,0.98,1.2,90.35,0.96,275.96,138.88,0.0,20-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
20-Jan-2020 - 00:00,11.31,12.54,6.94,23.38,5.33,2.1,23.67,63.18,90.27,4.38,8.02,0.36,0.61,1.04,95.67,0.44,235.6,120.7,0.0,21-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
21-Jan-2020 - 00:00,12.83,13.47,7.09,24.66,5.02,1.02,15.19,88.01,138.99,7.76,12.15,0.69,1.02,1.99,97.11,0.24,172.34,117.59,0.0,22-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
22-Jan-2020 - 00:00,11.98,12.9,6.95,23.12,5.35,2.12,35.38,91.07,136.64,7.13,11.01,0.57,1.25,1.83,87.83,0.84,231.62,140.82,0.0,23-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
23-Jan-2020 - 00:00,8.28,10.47,6.43,18.0,5.46,0.95,47.96,37.81,79.92,1.66,6.96,0.16,0.51,0.67,69.48,1.45,278.37,151.61,0.0,24-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
24-Jan-2020 - 00:00,7.26,9.77,6.26,16.34,4.91,1.06,51.72,30.89,66.54,1.52,6.65,0.14,0.39,0.49,55.32,1.89,240.98,147.33,0.0,25-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
25-Jan-2020 - 00:00,10.63,12.03,6.78,20.75,5.73,3.65,40.4,61.1,112.31,4.07,8.82,0.45,0.95,1.44,64.17,0.84,218.96,149.08,0.0,26-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
26-Jan-2020 - 00:00,13.2,13.73,7.15,24.06,5.89,2.1,40.65,72.33,143.42,4.7,11.59,0.5,0.68,1.38,75.24,0.64,191.11,145.49,0.0,27-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
27-Jan-2020 - 00:00,10.78,12.11,6.78,20.9,5.77,1.29,40.18,86.03,156.83,4.78,11.07,0.46,0.56,1.25,82.49,0.56,178.32,135.51,0.0,28-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
28-Jan-2020 - 00:00,13.37,14.29,7.35,25.06,5.48,3.4,28.72,93.88,155.08,5.29,10.46,0.4,0.69,1.15,90.95,0.55,198.53,121.78,0.0,29-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
29-Jan-2020 - 00:00,49.91,39.04,13.57,61.56,5.03,0.88,38.09,40.43,83.13,2.46,7.02,0.35,0.48,0.65,67.24,,,122.69,0.0,30-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
30-Jan-2020 - 00:00,106.67,77.02,22.29,127.17,5.23,1.06,27.09,42.91,74.52,2.28,8.95,0.53,1.3,1.47,77.53,1.45,237.56,147.66,0.0,31-Jan-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
31-Jan-2020 - 00:00,70.77,52.66,16.42,96.35,6.4,1.12,39.22,44.89,81.0,2.54,7.59,0.36,0.55,0.83,80.39,1.46,277.58,115.02,0.0,01-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
01-Feb-2020 - 00:00,9.77,11.63,6.83,19.11,5.81,1.25,40.63,72.72,135.95,4.79,11.66,0.57,1.52,2.34,79.42,1.47,274.39,88.47,0.0,02-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
02-Feb-2020 - 00:00,7.15,9.84,6.4,15.73,5.39,1.01,40.72,50.17,103.26,3.05,10.02,0.26,0.79,1.15,77.62,1.48,225.37,99.34,0.0,03-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
03-Feb-2020 - 00:00,7.73,10.25,6.53,16.83,5.58,1.28,35.29,82.89,155.44,5.29,6.66,0.72,0.57,1.27,69.36,0.87,168.16,96.19,0.0,04-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
04-Feb-2020 - 00:00,9.43,11.45,6.83,19.41,5.88,1.26,33.09,93.7,179.83,5.78,7.2,0.57,0.65,1.55,77.02,0.74,154.19,88.7,0.0,05-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
05-Feb-2020 - 00:00,7.13,9.9,6.46,16.38,6.67,1.0,40.79,91.78,176.3,5.6,12.29,0.62,1.1,1.79,74.36,1.16,220.59,88.39,0.0,06-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
06-Feb-2020 - 00:00,5.44,8.78,6.22,13.99,5.71,1.07,36.43,64.26,123.08,3.78,8.24,0.38,0.95,1.35,71.21,0.93,215.3,93.73,0.0,07-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
07-Feb-2020 - 00:00,5.9,9.24,6.45,14.77,6.46,1.11,44.46,78.17,161.32,5.1,11.18,0.56,1.19,1.77,71.59,0.76,191.76,83.11,0.0,08-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
08-Feb-2020 - 00:00,4.34,8.02,6.02,12.22,6.26,1.12,42.94,64.13,121.13,3.44,6.75,0.3,1.15,1.51,70.76,1.41,235.22,94.62,0.0,09-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
09-Feb-2020 - 00:00,6.66,10.0,6.83,15.59,5.94,1.31,38.39,85.81,151.65,4.87,10.45,0.5,0.85,1.58,71.92,0.91,181.83,95.2,0.0,10-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
10-Feb-2020 - 00:00,6.11,9.55,6.65,14.0,6.08,1.11,35.83,84.76,181.88,4.91,7.32,0.43,0.59,1.21,71.3,1.03,195.16,99.12,0.0,11-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
11-Feb-2020 - 00:00,7.11,10.66,7.27,14.56,6.47,1.28,40.42,86.57,197.38,5.23,8.79,0.51,0.76,1.48,70.98,0.93,190.84,97.57,0.0,12-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
12-Feb-2020 - 00:00,3.35,7.35,5.86,9.89,8.53,1.33,50.05,80.76,158.31,4.32,7.74,0.23,1.03,1.26,65.91,1.59,234.84,98.16,0.0,13-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
13-Feb-2020 - 00:00,1.74,6.25,5.6,7.98,7.31,1.09,62.26,42.64,101.56,2.24,11.2,0.21,0.9,0.9,43.67,4.03,278.08,104.85,0.0,14-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
14-Feb-2020 - 00:00,1.16,9.11,8.7,28.15,6.46,1.26,52.1,49.13,128.89,1.97,7.67,0.17,0.47,0.53,55.79,4.67,270.77,108.76,0.0,15-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
15-Feb-2020 - 00:00,5.27,21.62,19.89,59.2,7.0,0.81,43.89,35.61,106.61,2.26,8.57,0.23,0.36,0.67,42.61,2.85,215.18,112.84,0.0,16-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
16-Feb-2020 - 00:00,5.14,24.47,22.88,53.5,8.82,0.59,45.38,41.72,105.33,2.78,11.66,0.29,0.43,0.82,39.92,2.61,236.42,115.71,0.0,17-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
17-Feb-2020 - 00:00,3.15,27.11,27.59,54.2,7.43,0.43,49.2,55.08,131.17,3.45,9.18,0.35,0.39,0.91,52.11,2.84,221.25,111.73,0.0,18-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
18-Feb-2020 - 00:00,10.5,20.78,19.01,45.87,12.12,0.52,54.4,41.56,109.95,2.94,9.84,0.29,0.75,1.52,42.23,2.74,233.75,113.94,0.0,19-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
19-Feb-2020 - 00:00,11.32,32.52,27.91,59.26,9.29,0.6,68.86,52.25,183.5,5.16,9.33,0.48,0.64,1.39,64.81,2.12,157.96,103.8,0.0,20-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
20-Feb-2020 - 00:00,4.03,22.2,21.33,45.03,9.33,0.62,71.71,52.25,183.49,7.27,12.28,0.58,0.47,0.92,72.26,2.75,165.64,96.26,0.0,21-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
21-Feb-2020 - 00:00,3.68,12.5,13.14,24.73,12.31,0.56,47.95,31.57,81.55,2.69,9.26,0.47,0.4,0.64,88.03,3.48,152.17,95.0,0.0,22-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
22-Feb-2020 - 00:00,3.17,8.68,10.61,16.61,12.02,0.56,41.12,41.35,85.31,3.5,11.85,0.61,1.29,1.97,88.28,2.69,193.53,132.51,0.0,23-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
23-Feb-2020 - 00:00,2.72,12.11,15.54,18.36,13.25,0.52,63.49,56.37,107.14,3.65,16.16,0.8,1.28,1.7,79.3,3.26,221.72,151.58,0.0,24-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
24-Feb-2020 - 00:00,2.74,7.06,10.11,11.79,9.4,0.6,69.86,45.85,107.57,3.25,14.03,0.69,1.28,1.65,79.29,3.78,253.96,154.38,0.0,25-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
25-Feb-2020 - 00:00,8.32,8.61,9.87,12.39,8.87,0.78,75.16,59.94,125.7,3.67,12.35,0.73,0.99,1.35,73.55,5.28,219.95,150.8,0.0,26-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
26-Feb-2020 - 00:00,11.51,16.25,16.19,18.55,10.05,0.65,73.46,62.34,146.73,4.16,14.14,0.86,0.98,1.6,68.06,5.1,194.39,156.32,0.0,27-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
27-Feb-2020 - 00:00,9.54,11.61,12.41,12.7,8.62,0.91,55.55,60.47,149.81,7.24,16.31,0.95,1.43,2.23,86.65,4.94,186.02,137.94,0.0,28-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
28-Feb-2020 - 00:00,9.39,9.91,10.83,11.04,7.22,0.75,55.56,62.8,155.5,6.12,13.11,0.83,0.3,0.59,82.02,4.55,152.13,146.46,0.0,29-Feb-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
29-Feb-2020 - 00:00,8.43,8.17,9.47,9.08,9.03,0.59,61.53,55.03,133.84,3.2,12.33,0.81,0.15,0.29,79.3,3.29,166.48,162.82,0.0,01-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
