from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,WS,WD,RH,SR,RF,to date,station
01-Jan-2020 - 00:00,164.82,288.87,40.11,72.27,64.15,22.78,15.75,1.76,12.71,17.84,72.1,9.35,9.75,18.08,1.37,141.52,72.48,259.79,0.0,02-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Jan-2020 - 00:00,135.7,247.88,41.14,50.68,36.44,25.13,18.4,1.35,7.33,11.08,53.79,6.95,6.2,12.02,1.06,176.14,75.42,230.67,0.0,03-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Jan-2020 - 00:00,89.89,154.91,32.23,31.77,18.64,32.22,16.22,0.87,22.16,9.72,62.74,5.06,4.39,7.92,1.56,191.77,71.49,267.53,0.0,04-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Jan-2020 - 00:00,124.05,194.0,34.09,31.02,16.48,36.59,13.1,0.99,25.57,9.96,59.08,4.3,4.66,6.58,1.51,216.34,83.48,244.84,0.0,05-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Jan-2020 - 00:00,105.41,167.71,27.76,19.05,5.67,32.74,14.88,0.65,27.42,6.45,52.54,2.71,3.26,4.2,2.21,265.38,75.53,270.9,0.0,06-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-Jan-2020 - 00:00,66.02,96.39,29.64,24.81,11.63,33.2,13.17,0.62,13.53,5.36,58.58,2.33,2.59,3.71,1.59,206.07,84.31,63.26,0.06,07-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Jan-2020 - 00:00,55.3,71.89,33.46,36.15,23.67,23.26,8.57,0.82,9.76,6.05,36.36,2.58,2.72,5.04,1.68,76.74,99.13,35.43,0.05,08-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Jan-2020 - 00:00,52.55,66.21,30.28,26.64,13.5,19.79,9.98,0.62,14.33,4.79,14.53,1.69,1.5,3.24,1.41,153.76,99.13,11.9,0.49,09-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-Jan-2020 - 00:00,49.22,62.81,13.16,10.16,4.06,15.39,11.75,0.42,38.92,3.02,10.03,1.03,1.24,1.59,2.44,269.62,95.04,231.99,0.0,10-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
10-Jan-2020 - 00:00,67.11,103.58,22.91,17.95,7.45,15.11,18.15,0.6,34.7,5.64,12.65,1.62,2.17,2.62,1.97,265.76,88.25,269.76,0.0,11-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-Jan-2020 - 00:00,94.11,141.78,29.17,20.04,6.0,19.68,25.43,0.69,47.07,6.51,13.49,1.82,2.75,3.29,1.57,262.29,84.47,269.87,0.0,12-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-Jan-2020 - 00:00,144.44,223.89,24.62,18.62,7.29,29.4,0.72,1.16,47.9,4.12,8.37,1.06,1.43,1.88,1.5,225.22,99.11,452.5,0.0,13-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-Jan-2020 - 00:00,138.17,198.12,34.81,33.07,19.5,27.74,7.37,1.23,16.78,9.66,15.9,2.0,2.34,3.88,2.35,122.17,96.3,90.85,0.16,14-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-Jan-2020 - 00:00,83.76,103.94,21.62,16.1,5.99,20.47,6.89,0.7,67.18,3.37,7.76,1.93,1.7,2.32,1.97,269.49,99.13,164.66,0.0,15-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-Jan-2020 - 00:00,88.53,143.24,37.81,33.59,17.26,19.75,13.9,0.94,72.91,8.62,21.35,3.68,4.92,6.97,1.41,245.37,98.01,167.79,0.0,16-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-Jan-2020 - 00:00,136.04,214.16,40.31,44.42,29.03,21.34,17.98,1.64,70.06,14.3,23.44,4.18,5.86,8.46,1.37,201.44,99.05,110.93,0.0,17-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Jan-2020 - 00:00,91.44,121.02,17.2,19.01,12.5,21.57,17.27,0.83,64.47,7.7,15.66,2.32,3.17,4.18,1.61,242.67,99.13,152.66,0.0,18-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Jan-2020 - 00:00,101.3,169.88,23.85,18.61,7.92,15.75,25.01,0.76,18.35,6.36,12.65,1.4,2.11,2.41,1.36,208.63,95.8,181.68,0.0,19-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-Jan-2020 - 00:00,66.93,95.95,16.42,12.42,4.81,19.6,18.74,0.56,22.22,4.56,12.2,1.05,1.54,1.81,2.32,263.36,97.26,257.8,0.0,20-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
20-Jan-2020 - 00:00,110.08,173.83,26.8,25.54,14.39,20.62,20.94,0.92,19.43,7.16,13.53,1.88,2.23,3.77,1.66,215.22,97.91,161.44,0.0,21-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-Jan-2020 - 00:00,193.59,319.44,46.61,55.48,38.88,24.43,21.14,1.84,9.66,16.58,20.78,4.33,5.63,8.95,1.05,183.58,94.18,223.9,0.0,22-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-Jan-2020 - 00:00,64.39,106.09,25.21,16.3,3.9,18.58,10.63,0.57,18.21,5.46,12.0,2.69,2.73,3.48,2.53,269.68,94.68,274.96,0.0,23-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Jan-2020 - 00:00,40.79,92.42,21.91,13.82,2.96,18.37,10.35,0.35,36.85,2.3,8.71,0.67,0.63,0.97,3.64,269.88,76.81,368.63,0.0,24-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Jan-2020 - 00:00,60.46,104.75,28.97,17.6,3.07,18.86,15.08,0.44,38.99,3.76,10.25,0.81,1.04,1.34,2.98,266.53,80.03,345.34,0.0,25-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Jan-2020 - 00:00,108.88,180.67,44.14,37.37,17.85,17.9,11.21,0.93,12.39,7.93,17.05,2.15,2.82,3.91,1.48,183.34,98.96,107.53,0.0,26-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-Jan-2020 - 00:00,120.61,186.03,44.63,48.26,31.1,20.78,8.44,1.25,16.56,10.27,21.91,4.23,4.61,7.22,1.47,245.6,95.1,227.32,0.0,27-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Jan-2020 - 00:00,223.9,315.02,65.32,72.42,48.29,19.29,20.37,2.08,6.07,16.48,28.12,6.09,7.02,11.86,1.08,149.92,96.62,108.2,0.01,28-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Jan-2020 - 00:00,96.9,119.67,42.3,54.32,39.87,15.02,10.43,1.2,8.02,7.42,18.43,3.28,3.71,6.97,2.11,109.19,97.28,96.29,0.1,29-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Jan-2020 - 00:00,43.28,81.69,27.75,19.33,6.5,10.85,12.76,0.55,31.15,2.7,9.74,1.43,1.55,2.6,2.31,175.86,84.48,346.37,0.0,30-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Jan-2020 - 00:00,55.46,92.46,17.87,12.48,4.8,9.86,16.71,0.46,26.29,3.78,11.95,1.33,1.81,2.09,2.65,272.24,85.8,279.06,0.0,31-Jan-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
