from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,70.2,79.62,55.87,5.76,34.4,65.26,6.48,0.67,30.0,15.83,0.86,106.68,83.01,729.83,162.24,0.16,02-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
02-Jan-2020 - 00:00,67.37,86.19,57.65,11.64,40.12,66.64,5.76,0.87,19.23,17.24,0.45,109.42,85.02,729.57,182.3,0.02,03-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
03-Jan-2020 - 00:00,59.21,89.04,48.22,8.59,32.64,71.41,6.6,0.6,22.5,19.11,0.51,186.38,79.62,727.91,234.38,0.0,04-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
04-Jan-2020 - 00:00,66.52,116.22,49.31,9.44,33.9,70.6,4.03,0.66,25.95,18.09,0.39,192.95,74.19,727.54,253.71,0.0,05-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
05-Jan-2020 - 00:00,106.49,154.15,51.14,21.06,44.33,62.17,6.29,0.89,34.23,16.34,0.34,170.1,74.77,729.43,231.95,0.0,06-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
06-Jan-2020 - 00:00,111.23,200.91,74.58,59.22,87.81,61.15,19.66,1.26,30.68,17.77,0.42,152.12,64.26,730.14,274.18,0.0,07-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
07-Jan-2020 - 00:00,64.99,131.07,64.28,10.07,42.37,57.58,12.48,0.67,42.01,19.49,0.38,138.43,59.62,727.56,259.23,0.0,08-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
08-Jan-2020 - 00:00,83.82,131.38,60.59,9.55,39.99,64.47,15.7,0.75,37.42,19.86,0.45,173.75,73.43,724.29,212.91,0.05,09-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
09-Jan-2020 - 00:00,86.29,126.65,47.3,7.46,31.23,69.18,4.63,0.54,45.09,17.27,0.54,194.34,70.14,728.44,278.76,0.0,10-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
10-Jan-2020 - 00:00,74.56,127.79,52.86,9.55,35.88,60.75,7.25,0.51,49.16,14.21,0.39,193.15,64.91,730.55,285.24,0.0,11-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
11-Jan-2020 - 00:00,109.69,201.46,80.88,32.01,69.04,63.97,10.35,1.15,38.26,14.73,0.34,209.64,63.26,730.35,292.79,0.0,12-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
12-Jan-2020 - 00:00,154.03,209.32,80.81,49.05,82.85,66.54,19.96,1.4,42.38,16.7,0.33,209.67,62.33,728.03,284.91,0.0,13-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
13-Jan-2020 - 00:00,129.4,258.39,83.07,71.22,102.08,61.76,34.67,1.71,32.48,19.66,0.44,215.39,61.53,724.43,274.98,0.0,14-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
