from date,PM2.5,NO2,NO,NOx,SO2,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
01-Jan-2020 - 00:00,142.4,52.42,36.96,57.9,14.53,12.34,60.08,2.28,-0.36,207.12,736.0,70.11,0.0,8.46,14.81,14.55,02-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Jan-2020 - 00:00,129.71,44.48,5.52,28.12,14.67,15.11,58.34,2.89,-0.49,204.39,736.0,87.67,0.0,5.96,10.16,18.85,03-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Jan-2020 - 00:00,115.69,30.63,3.54,18.9,14.05,14.23,70.28,2.8,-0.53,202.71,736.0,49.31,0.0,3.86,6.98,13.93,04-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Jan-2020 - 00:00,57.71,40.09,14.61,33.21,16.37,12.88,67.46,1.65,-0.24,190.32,736.0,75.59,0.0,4.77,9.82,10.55,05-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Jan-2020 - 00:00,83.74,43.88,10.15,31.6,17.13,13.01,64.0,2.39,-0.12,195.96,736.0,93.35,0.0,3.48,8.08,14.69,06-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Jan-2020 - 00:00,86.44,42.49,9.4,30.25,16.09,13.74,59.38,2.2,-0.19,197.08,736.0,145.85,0.0,3.68,8.73,14.92,07-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Jan-2020 - 00:00,147.48,47.51,4.62,29.02,19.77,15.55,63.87,2.43,-0.18,206.22,736.0,77.48,0.0,5.31,9.38,15.8,08-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Jan-2020 - 00:00,125.68,34.07,3.3,20.81,16.71,13.73,71.9,4.21,-0.13,180.1,736.0,11.01,0.11,4.3,7.04,11.93,09-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Jan-2020 - 00:00,74.86,33.26,11.21,26.8,19.39,14.16,69.01,2.01,-0.19,199.19,736.0,40.07,0.0,3.99,9.69,11.66,10-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Jan-2020 - 00:00,73.26,31.59,17.43,30.98,19.68,12.73,67.7,2.53,-0.18,210.69,736.0,114.36,0.0,4.22,11.1,11.89,11-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Jan-2020 - 00:00,127.77,44.03,22.12,41.41,23.25,12.88,67.9,1.01,-0.18,201.56,736.0,76.93,0.0,5.4,11.03,13.45,12-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Jan-2020 - 00:00,177.56,49.94,43.44,61.88,22.15,13.77,65.79,1.03,-0.19,200.85,736.0,94.2,0.0,7.76,15.5,14.27,13-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Jan-2020 - 00:00,137.35,29.76,10.28,24.18,15.52,12.08,72.52,2.56,-0.15,189.8,736.0,48.85,0.0,6.24,10.09,7.23,14-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Jan-2020 - 00:00,132.0,49.69,12.43,36.54,20.27,14.99,64.03,1.61,-0.17,186.76,736.0,101.78,0.0,5.76,10.27,15.09,15-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
