from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,WS,WD,RH,SR,BP,RF,to date,station
01-Jan-2020 - 00:00,14.81,18.25,32.99,2.0,7.43,125.81,71.15,0.43,320.66,70.05,719.95,982.79,,02-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Jan-2020 - 00:00,14.74,18.25,32.96,1.88,7.62,102.45,63.62,0.55,329.82,66.26,742.89,982.72,,03-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Jan-2020 - 00:00,14.84,18.25,33.07,1.84,7.94,99.98,57.62,,,64.03,743.29,981.24,,04-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Jan-2020 - 00:00,14.83,18.24,33.01,1.85,7.75,108.16,60.45,0.25,327.51,66.4,727.78,980.59,,05-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Jan-2020 - 00:00,14.64,18.7,33.34,1.85,6.91,86.82,59.16,0.24,308.96,68.84,727.98,980.86,,06-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Jan-2020 - 00:00,14.4,18.44,32.74,1.79,7.57,58.1,32.66,,,69.99,732.68,981.24,,07-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Jan-2020 - 00:00,15.42,20.07,34.21,1.79,7.45,69.07,42.88,1.58,269.46,70.02,737.68,980.0,,08-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Jan-2020 - 00:00,14.36,17.09,31.45,1.75,7.55,76.76,48.45,3.67,283.42,69.99,734.39,979.57,,09-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Jan-2020 - 00:00,14.64,18.61,33.16,1.87,7.62,139.69,58.14,4.26,276.65,69.05,723.68,981.77,,10-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Jan-2020 - 00:00,14.76,18.26,32.93,1.75,7.4,112.57,82.95,4.44,272.72,65.27,729.05,982.02,,11-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Jan-2020 - 00:00,14.99,18.31,33.24,1.75,7.45,98.38,65.8,4.44,266.61,65.79,735.31,981.58,,12-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Jan-2020 - 00:00,14.09,18.42,32.5,1.91,7.74,153.18,109.72,4.37,215.04,68.06,736.24,979.79,,13-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Jan-2020 - 00:00,14.65,18.11,32.76,1.86,7.48,124.98,83.12,3.59,164.82,69.54,728.15,976.78,,14-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Jan-2020 - 00:00,14.83,18.21,33.04,1.73,7.73,39.52,22.93,4.51,266.57,69.59,729.37,979.85,,15-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Jan-2020 - 00:00,15.02,18.67,33.7,1.74,7.3,30.67,13.74,4.01,260.93,69.72,724.49,980.41,,16-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Jan-2020 - 00:00,14.57,18.02,32.59,1.78,8.08,19.36,10.16,4.06,256.75,69.96,726.71,979.81,,17-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Jan-2020 - 00:00,14.51,18.44,32.96,1.95,8.35,162.94,60.36,4.17,194.06,69.66,715.83,980.17,,18-Jan-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
