from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
01-Jan-2020 - 00:00,17.67,21.02,10.01,0.76,10.81,1.22,50.57,26.72,59.17,0.18,26.67,77.66,716.28,0.99,166.3,02-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Jan-2020 - 00:00,18.45,20.43,10.41,0.76,10.86,1.23,45.91,18.77,59.01,0.23,26.43,69.17,717.19,1.99,208.15,03-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Jan-2020 - 00:00,17.96,21.19,10.12,0.7,10.41,1.13,50.91,28.12,71.43,0.22,26.21,67.45,715.96,2.39,225.73,04-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Jan-2020 - 00:00,20.43,23.15,11.4,0.93,11.56,1.39,52.41,57.06,112.4,0.39,26.49,64.05,714.43,3.51,305.97,05-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Jan-2020 - 00:00,14.84,23.71,8.47,0.72,11.2,1.31,66.51,58.07,102.1,0.23,26.68,65.54,714.16,1.51,161.05,06-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Jan-2020 - 00:00,18.05,20.54,10.21,0.74,10.9,1.24,44.03,19.42,53.53,0.16,26.79,73.86,716.1,1.09,71.96,07-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Jan-2020 - 00:00,19.92,20.16,11.16,0.74,10.69,1.19,44.72,15.39,53.53,0.18,26.81,66.43,715.89,1.24,100.46,08-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Jan-2020 - 00:00,20.65,21.31,11.62,0.79,10.66,1.18,71.28,29.6,79.05,0.19,26.76,61.76,715.23,1.47,124.35,09-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Jan-2020 - 00:00,22.79,22.86,12.74,0.79,10.6,1.17,70.74,37.49,89.06,0.23,26.77,60.79,715.0,1.51,143.82,10-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Jan-2020 - 00:00,23.24,24.25,12.94,0.71,10.38,1.13,66.09,35.91,85.49,0.21,26.85,60.69,715.09,1.54,52.07,11-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Jan-2020 - 00:00,17.89,22.52,10.12,0.74,10.47,1.15,62.25,27.12,67.01,0.16,26.65,53.25,716.19,1.12,51.79,12-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Jan-2020 - 00:00,17.3,22.93,9.73,0.73,10.61,1.18,54.65,39.85,80.2,0.24,26.68,54.34,715.47,1.36,43.39,13-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Jan-2020 - 00:00,23.63,24.02,13.22,0.82,9.75,0.99,69.68,55.59,108.83,0.3,26.77,52.12,714.05,1.73,49.71,14-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Jan-2020 - 00:00,27.12,24.4,15.01,0.77,10.2,1.08,72.79,61.67,118.7,0.29,26.66,49.26,713.8,1.65,114.46,15-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Jan-2020 - 00:00,16.05,23.2,9.14,0.75,10.44,1.14,74.21,43.82,81.28,0.2,26.67,47.53,714.2,1.01,95.29,16-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Jan-2020 - 00:00,24.09,22.55,13.38,0.71,10.73,1.2,82.7,41.08,93.45,0.28,26.61,50.24,714.41,1.72,112.31,17-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Jan-2020 - 00:00,24.91,21.88,13.8,0.82,10.74,1.2,61.72,33.9,91.29,0.3,26.62,48.36,714.65,2.13,100.59,18-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
