from date,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,PM2.5,PM10,RH,WD,WS,SR,RF,to date,station
01-Jan-2020 - 00:00,14.46,21.15,4.17,38.97,8.63,0.8,18.61,5.3,9.34,0.6,0.44,0.84,56.29,112.57,85.14,53.35,2.6,185.71,0.0,02-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Jan-2020 - 00:00,16.8,25.82,4.1,43.14,12.55,0.71,20.67,4.76,10.23,0.8,0.61,1.23,84.52,140.01,83.49,110.95,3.12,322.11,0.0,03-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Jan-2020 - 00:00,24.54,37.8,5.88,44.82,13.21,0.99,18.43,6.64,12.9,1.48,1.66,3.89,79.46,158.91,74.28,274.73,2.51,308.42,0.0,04-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Jan-2020 - 00:00,17.75,26.38,4.99,0.57,10.06,0.72,30.26,7.09,11.42,1.19,1.42,3.32,83.2,166.37,65.88,261.97,1.74,325.28,0.0,05-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Jan-2020 - 00:00,14.99,23.36,3.42,47.07,11.27,0.63,31.41,4.62,7.43,0.77,0.51,1.16,86.53,173.05,81.9,191.35,2.01,165.67,0.0,06-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Jan-2020 - 00:00,13.02,18.17,4.21,62.44,5.01,0.52,14.01,3.38,5.45,0.45,0.41,0.9,59.23,118.46,98.78,129.99,2.62,30.24,0.04,07-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Jan-2020 - 00:00,11.83,17.44,2.83,30.58,5.25,0.53,15.23,3.49,6.49,0.59,0.54,1.16,36.57,73.13,99.13,146.79,2.49,37.95,0.02,08-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Jan-2020 - 00:00,9.59,15.54,1.65,31.75,11.55,0.47,20.06,2.99,6.88,0.56,0.45,1.02,44.4,88.79,97.0,320.24,3.54,92.98,0.0,09-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Jan-2020 - 00:00,11.85,18.61,2.46,23.67,3.92,0.52,20.72,3.48,11.56,3.17,2.78,3.61,35.9,71.81,90.88,316.47,2.58,285.16,0.0,10-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Jan-2020 - 00:00,16.96,26.97,3.3,32.09,7.15,0.6,20.09,4.88,7.83,0.9,0.77,1.98,56.75,113.53,74.21,311.37,3.4,393.53,0.0,11-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Jan-2020 - 00:00,16.24,26.77,2.53,45.01,7.09,0.55,19.18,4.16,8.28,0.67,0.52,1.34,56.68,113.37,66.61,297.19,2.35,385.26,0.0,12-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Jan-2020 - 00:00,17.95,28.87,3.28,64.99,7.08,0.71,17.04,5.57,8.74,0.57,0.44,0.99,70.99,141.97,72.63,214.19,1.96,326.65,0.0,13-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Jan-2020 - 00:00,14.79,22.25,3.71,44.81,7.62,0.67,14.05,4.41,6.92,0.51,0.46,0.99,55.49,110.96,87.23,164.37,3.43,45.5,0.09,14-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
14-Jan-2020 - 00:00,8.72,13.05,2.23,27.01,6.61,0.44,13.45,2.64,6.52,0.45,0.37,0.88,24.3,48.61,93.53,236.32,2.27,300.34,0.0,15-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
15-Jan-2020 - 00:00,11.26,16.37,3.21,30.21,3.29,0.45,11.53,2.69,7.13,0.34,0.34,0.68,33.37,66.72,97.83,199.08,1.95,256.91,0.0,16-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
16-Jan-2020 - 00:00,11.39,17.09,2.9,35.55,4.47,0.51,9.8,3.29,7.42,0.4,0.37,0.81,36.19,72.38,99.13,236.74,2.07,164.68,0.0,17-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
17-Jan-2020 - 00:00,17.5,22.88,6.68,48.32,4.21,0.63,10.86,4.72,8.4,0.54,0.51,1.06,50.54,101.06,95.18,177.57,1.19,258.23,0.0,18-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
18-Jan-2020 - 00:00,10.25,14.92,2.89,41.51,3.51,0.62,9.8,3.93,7.33,0.56,0.45,1.07,42.21,84.59,99.13,184.66,1.5,173.72,0.0,19-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
19-Jan-2020 - 00:00,15.38,22.91,4.02,48.12,1.76,0.71,11.71,4.68,6.92,0.44,0.33,0.73,39.71,79.45,99.13,277.45,1.13,90.4,0.0,20-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
20-Jan-2020 - 00:00,14.8,20.94,4.48,44.4,3.97,0.97,9.4,7.88,10.14,2.71,2.94,3.44,53.72,107.43,99.13,232.65,1.32,123.47,0.0,21-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
21-Jan-2020 - 00:00,14.91,16.51,7.67,46.53,5.85,0.95,10.77,7.54,7.89,0.69,0.65,1.28,61.9,123.79,98.63,101.15,1.24,189.26,0.0,22-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
22-Jan-2020 - 00:00,8.33,10.88,3.19,24.43,7.49,0.64,14.46,5.05,8.33,0.87,0.79,1.81,44.47,88.93,83.93,295.33,2.65,279.09,0.0,23-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
23-Jan-2020 - 00:00,7.23,10.12,2.31,16.87,8.47,0.47,20.79,4.09,7.59,0.6,0.53,1.17,25.67,96.85,73.35,301.6,4.02,436.14,0.0,24-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
24-Jan-2020 - 00:00,6.61,9.24,2.12,14.8,8.33,0.48,21.24,5.37,9.85,0.45,0.48,0.97,24.99,95.45,64.31,290.0,3.76,422.43,0.0,25-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
25-Jan-2020 - 00:00,7.37,10.7,2.11,17.11,10.11,0.78,24.27,6.62,9.22,0.78,0.63,1.35,32.47,119.55,72.21,203.02,1.65,324.8,0.0,26-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
26-Jan-2020 - 00:00,13.65,16.0,6.44,21.33,13.11,1.06,27.08,8.2,16.45,1.19,1.29,2.65,44.66,156.1,68.62,198.33,1.59,352.02,0.0,27-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
27-Jan-2020 - 00:00,6.68,8.85,2.41,16.98,7.94,0.51,17.47,3.31,8.3,0.51,0.59,1.09,29.3,100.14,93.84,87.5,2.59,73.54,0.05,28-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
28-Jan-2020 - 00:00,3.2,3.38,1.75,9.34,7.38,0.36,29.86,1.5,5.28,0.25,0.21,0.41,25.9,56.46,95.14,153.85,4.64,150.87,0.1,29-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
29-Jan-2020 - 00:00,5.21,6.68,2.06,8.65,7.45,0.49,21.26,3.75,12.72,1.3,0.81,1.89,22.58,61.6,81.3,181.51,2.6,433.69,0.0,30-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
30-Jan-2020 - 00:00,6.03,7.73,2.41,10.07,7.14,0.48,20.38,3.0,13.82,0.84,0.57,1.36,23.63,68.93,90.28,262.47,2.73,372.17,0.0,31-Jan-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
31-Jan-2020 - 00:00,5.97,7.79,2.29,12.44,5.74,0.51,18.28,3.26,10.1,0.44,0.39,0.78,22.18,59.78,96.05,203.44,2.01,230.52,0.0,01-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
01-Feb-2020 - 00:00,6.3,7.53,2.86,12.3,7.35,0.56,19.07,2.86,9.76,0.35,0.33,0.61,22.29,65.19,89.18,145.88,1.82,360.43,0.0,02-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Feb-2020 - 00:00,8.19,9.54,3.9,13.63,7.97,0.9,21.65,7.63,14.39,0.93,0.74,1.72,27.5,105.54,78.25,272.99,1.57,495.84,0.0,03-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Feb-2020 - 00:00,6.67,8.98,2.38,14.47,7.25,1.45,29.48,5.73,12.06,0.57,0.58,1.26,30.04,112.35,75.36,195.27,1.84,426.3,0.0,04-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Feb-2020 - 00:00,5.24,7.4,1.63,13.94,10.76,0.52,24.31,2.58,9.02,0.38,0.33,0.57,27.61,94.33,86.9,76.63,2.94,320.79,0.0,05-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Feb-2020 - 00:00,5.41,7.46,1.81,12.39,8.94,0.63,21.82,4.27,11.1,0.6,0.47,0.98,30.47,119.38,86.59,317.33,3.23,471.21,0.0,06-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Feb-2020 - 00:00,5.39,6.89,2.17,10.11,8.57,0.53,24.57,4.2,10.8,0.37,0.41,0.81,27.45,100.25,76.21,206.81,2.01,408.81,0.0,07-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Feb-2020 - 00:00,5.64,7.72,1.92,10.1,12.2,0.5,21.46,3.17,12.24,0.35,0.35,0.66,27.26,92.51,75.87,192.37,2.06,377.71,0.0,08-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Feb-2020 - 00:00,5.41,7.45,1.82,10.59,11.75,0.58,26.44,5.37,17.1,0.77,0.68,1.5,28.5,121.74,75.17,310.55,2.71,418.73,0.0,09-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Feb-2020 - 00:00,6.53,9.12,2.1,11.84,11.2,0.73,24.4,5.74,16.27,0.75,1.0,1.71,28.37,127.69,74.28,252.65,1.69,396.65,0.0,10-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Feb-2020 - 00:00,6.49,7.62,3.05,11.39,12.87,0.71,25.1,5.83,15.77,0.69,0.61,1.33,31.0,129.25,70.87,217.78,1.4,423.18,0.0,11-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Feb-2020 - 00:00,7.14,9.08,2.9,10.69,16.36,0.83,29.27,6.18,13.16,1.21,0.88,2.12,33.55,153.04,69.84,171.38,1.8,372.39,0.0,12-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Feb-2020 - 00:00,12.01,18.19,2.66,35.22,10.57,0.63,15.61,5.86,11.37,0.78,0.78,1.69,33.84,159.22,73.99,302.29,3.59,404.01,0.0,13-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Feb-2020 - 00:00,13.66,21.42,2.85,32.23,14.85,0.51,12.13,3.33,11.56,2.56,3.13,3.42,57.27,112.85,59.09,296.61,4.19,503.52,0.0,14-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
14-Feb-2020 - 00:00,12.21,19.26,2.48,27.89,9.65,0.52,14.8,2.69,7.11,0.39,0.43,0.93,53.64,120.15,53.47,304.71,5.18,579.23,0.0,15-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
15-Feb-2020 - 00:00,11.79,18.87,2.19,26.74,9.8,0.52,13.43,3.89,8.3,0.39,0.4,0.86,48.43,106.87,53.29,286.49,3.86,459.21,0.0,16-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
16-Feb-2020 - 00:00,15.96,24.76,3.49,31.67,10.16,0.71,15.17,5.06,8.55,0.52,0.56,1.35,70.73,115.84,59.98,263.19,2.34,496.39,0.0,17-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
17-Feb-2020 - 00:00,15.87,24.55,3.54,34.22,10.43,0.82,17.01,6.11,8.22,0.59,0.64,1.46,81.12,142.88,63.9,286.17,2.7,486.8,0.0,18-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
18-Feb-2020 - 00:00,12.7,20.32,2.39,29.06,11.72,0.71,17.2,5.05,7.76,0.54,0.54,1.18,63.61,123.24,47.98,265.92,2.59,500.78,0.0,19-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
19-Feb-2020 - 00:00,13.07,21.85,1.86,30.26,18.63,0.59,19.1,3.61,6.33,0.48,0.38,0.66,73.12,148.8,55.91,126.4,5.28,355.29,0.0,20-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
20-Feb-2020 - 00:00,14.48,24.19,2.08,24.97,13.76,0.72,22.7,6.15,14.16,2.24,2.32,2.48,81.18,158.17,70.12,133.91,5.11,403.23,0.0,21-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
21-Feb-2020 - 00:00,7.18,10.64,2.17,21.77,4.62,0.34,20.93,1.33,4.05,0.19,0.14,0.0,39.31,58.65,93.11,112.97,4.16,278.55,0.14,22-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
22-Feb-2020 - 00:00,11.29,16.1,3.66,17.09,7.13,0.61,17.22,3.11,7.95,0.69,0.49,0.93,46.16,65.53,88.72,102.67,2.35,391.08,0.0,23-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
23-Feb-2020 - 00:00,12.86,18.36,4.15,22.69,9.93,0.66,20.26,4.19,10.98,0.87,0.71,1.82,61.83,91.91,86.94,264.78,2.36,397.68,0.0,24-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
24-Feb-2020 - 00:00,12.93,19.33,3.96,24.14,8.72,0.7,25.01,6.78,15.4,0.96,0.77,2.04,77.05,118.0,81.67,310.72,2.42,368.29,0.0,25-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
25-Feb-2020 - 00:00,14.25,21.05,4.48,23.05,9.46,0.7,26.96,4.98,12.31,0.77,0.7,1.74,82.4,131.17,78.77,226.36,1.87,394.02,0.0,26-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
26-Feb-2020 - 00:00,12.21,14.54,6.94,23.01,7.18,0.65,26.8,4.01,8.51,0.38,0.4,0.82,87.48,121.79,76.89,135.9,1.64,401.85,0.0,27-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
27-Feb-2020 - 00:00,10.14,11.16,6.86,21.64,8.48,0.67,26.31,3.56,7.69,0.47,0.37,0.67,70.79,121.74,84.51,99.31,2.73,358.92,0.0,28-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
28-Feb-2020 - 00:00,10.51,10.08,8.69,21.94,8.14,0.59,30.36,3.37,6.96,0.42,0.33,0.53,33.58,119.66,88.25,115.42,5.45,338.85,0.0,29-Feb-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
29-Feb-2020 - 00:00,10.59,7.98,9.92,18.66,7.87,0.5,26.46,2.6,7.55,0.46,0.36,0.58,63.29,87.1,87.7,104.45,4.33,319.78,0.0,01-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
01-Mar-2020 - 00:00,10.46,7.64,10.05,13.99,5.82,0.3,24.38,1.18,4.73,0.18,0.13,0.29,31.99,44.76,85.96,123.74,2.16,402.39,0.0,02-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Mar-2020 - 00:00,12.81,9.77,11.67,14.46,6.41,0.41,29.02,2.91,7.16,0.83,0.14,1.83,42.16,65.6,77.89,137.78,1.87,452.41,0.0,03-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Mar-2020 - 00:00,13.03,9.85,11.85,13.74,8.09,0.44,30.46,7.45,2.6,1.53,0.0,3.75,56.67,87.46,77.11,142.54,1.94,365.5,0.0,04-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Mar-2020 - 00:00,12.49,7.46,12.86,12.62,7.79,0.38,38.15,6.04,2.06,1.24,0.0,2.59,60.15,92.71,69.68,102.12,3.72,343.65,0.02,05-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Mar-2020 - 00:00,16.02,4.28,19.85,11.75,4.51,0.23,39.38,3.23,1.56,0.82,0.46,1.4,22.32,33.42,84.04,126.96,4.46,247.63,0.13,06-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Mar-2020 - 00:00,15.22,5.71,18.93,9.08,2.11,0.22,30.01,2.74,1.24,0.65,0.55,1.02,11.97,26.32,97.46,123.72,4.08,38.84,0.33,07-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Mar-2020 - 00:00,16.25,6.81,18.57,8.69,2.3,0.27,20.68,4.89,1.56,1.5,0.69,2.67,24.61,38.04,91.97,154.51,3.19,154.62,0.0,08-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Mar-2020 - 00:00,14.84,7.43,16.26,8.9,2.96,0.34,25.73,5.84,1.92,1.19,0.77,2.32,28.1,44.29,80.75,200.89,2.23,415.5,0.0,09-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Mar-2020 - 00:00,13.96,7.59,14.77,10.54,6.75,0.39,35.11,5.85,1.95,1.85,0.85,3.62,38.98,74.46,72.9,323.26,4.25,525.8,0.0,10-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Mar-2020 - 00:00,10.62,4.88,12.0,10.61,7.49,0.3,40.55,5.03,1.82,1.06,0.88,2.15,45.95,85.17,64.0,126.53,2.13,505.43,0.0,11-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Mar-2020 - 00:00,9.68,5.27,10.23,10.87,5.87,0.33,32.11,5.01,1.35,0.86,0.8,1.48,47.2,62.42,86.69,125.84,3.28,279.37,0.04,12-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Mar-2020 - 00:00,5.77,4.04,5.37,9.96,5.31,0.27,38.48,3.74,1.27,0.95,0.76,1.71,33.79,76.64,58.87,132.22,4.29,538.89,0.0,13-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Mar-2020 - 00:00,7.73,7.67,5.32,9.84,6.54,0.23,36.5,3.88,1.38,0.97,0.8,1.84,38.26,101.73,74.47,165.81,3.07,442.69,0.0,14-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
14-Mar-2020 - 00:00,9.47,10.07,5.85,11.34,11.11,0.4,31.11,6.26,1.81,2.08,0.89,3.85,59.73,129.46,82.65,247.59,2.57,402.75,0.0,15-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
15-Mar-2020 - 00:00,8.51,10.57,4.1,10.71,11.45,0.38,34.23,5.25,1.74,1.97,0.89,3.47,39.85,58.43,80.47,195.55,1.72,490.69,0.0,16-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
16-Mar-2020 - 00:00,8.92,13.35,2.64,12.42,13.03,0.41,41.97,6.19,2.03,2.03,0.93,4.28,46.64,89.22,71.03,297.58,2.92,507.46,0.0,17-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
17-Mar-2020 - 00:00,10.74,16.67,2.59,15.29,14.49,0.53,46.26,8.5,2.67,2.95,1.08,6.76,60.63,111.31,67.15,317.81,2.61,510.9,0.0,18-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
18-Mar-2020 - 00:00,8.89,13.58,2.27,16.75,14.33,0.51,45.24,9.13,5.85,2.45,1.27,6.54,73.88,108.76,72.18,250.68,2.61,499.45,0.0,19-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
19-Mar-2020 - 00:00,7.68,11.1,2.3,16.53,11.26,0.47,40.23,7.48,5.72,1.55,1.28,3.93,60.09,92.1,76.47,122.27,1.86,486.55,0.0,20-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
20-Mar-2020 - 00:00,7.43,10.96,2.13,15.47,12.91,0.4,37.35,5.6,5.41,1.73,1.18,3.83,55.48,81.88,77.18,80.32,2.62,445.5,0.0,21-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
21-Mar-2020 - 00:00,7.38,10.8,2.15,13.45,13.08,0.38,38.68,6.37,5.42,1.48,1.23,2.84,47.5,81.53,74.09,147.2,2.41,388.79,0.0,22-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
22-Mar-2020 - 00:00,5.93,8.41,1.89,12.61,15.49,0.37,48.86,6.35,7.42,1.68,1.47,2.9,48.24,67.09,68.29,179.68,2.14,483.41,0.0,23-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
23-Mar-2020 - 00:00,5.87,8.34,1.93,13.98,11.69,0.33,47.26,5.7,7.56,1.33,1.59,2.52,43.67,61.14,65.09,125.91,1.84,388.25,0.0,24-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
24-Mar-2020 - 00:00,5.54,7.37,2.06,14.19,12.28,0.27,35.17,4.9,6.08,1.12,1.57,2.12,39.57,64.1,76.27,83.07,2.83,279.88,0.02,25-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
25-Mar-2020 - 00:00,4.8,6.34,1.8,12.87,10.62,0.36,27.72,5.03,7.35,1.14,1.55,2.28,27.87,39.78,81.73,138.98,2.62,380.42,0.0,26-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
26-Mar-2020 - 00:00,4.89,6.32,1.91,14.47,9.84,0.34,31.59,6.44,7.92,1.34,1.72,2.75,37.05,54.18,77.73,266.15,2.23,276.86,0.0,27-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
27-Mar-2020 - 00:00,3.63,4.08,1.86,12.85,8.93,0.22,22.82,3.82,6.47,0.9,1.61,1.7,19.81,27.52,93.69,167.04,2.96,219.35,0.08,28-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
28-Mar-2020 - 00:00,4.0,4.69,1.84,12.07,10.62,0.19,36.06,4.23,8.52,1.08,1.92,2.19,13.15,22.76,77.05,202.52,1.97,458.29,0.0,29-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
29-Mar-2020 - 00:00,4.57,5.63,1.98,13.34,10.57,0.24,50.96,5.21,9.06,1.2,2.06,2.33,30.53,46.22,71.7,295.95,3.51,468.04,0.0,30-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
30-Mar-2020 - 00:00,4.87,6.39,1.85,13.71,12.15,0.26,58.02,5.3,9.52,1.28,2.26,2.52,33.26,48.44,66.11,300.66,3.0,471.45,0.0,31-Mar-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
31-Mar-2020 - 00:00,4.33,5.57,1.78,13.02,11.58,0.26,46.16,5.44,9.26,1.24,2.24,2.39,32.39,51.42,74.21,152.83,2.86,194.35,0.01,01-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
01-Apr-2020 - 00:00,3.97,5.01,1.66,11.18,10.06,0.22,43.48,3.91,7.9,1.04,2.01,1.84,21.41,36.16,73.89,292.5,3.69,471.07,0.0,02-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Apr-2020 - 00:00,4.85,6.52,1.74,12.64,12.04,0.25,58.56,5.24,8.14,1.18,1.93,2.23,30.59,54.77,62.75,324.98,4.1,472.76,0.0,03-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Apr-2020 - 00:00,4.48,5.81,1.75,12.66,11.22,0.26,75.94,5.2,8.42,1.2,2.02,2.2,27.15,44.82,47.93,324.35,3.29,466.74,0.0,04-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Apr-2020 - 00:00,4.79,6.51,1.68,13.69,14.71,0.31,76.73,6.41,8.87,1.19,2.03,2.08,36.16,52.32,49.92,206.39,2.21,471.08,0.0,05-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Apr-2020 - 00:00,4.21,5.32,1.74,12.96,10.5,0.23,66.78,5.25,8.14,1.0,1.95,1.71,33.28,55.16,47.0,156.22,2.0,493.18,0.0,06-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Apr-2020 - 00:00,4.26,5.63,1.6,13.16,11.6,0.28,61.58,5.84,8.37,1.11,1.1,1.13,39.16,71.92,51.81,231.86,3.07,490.02,0.0,07-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Apr-2020 - 00:00,3.67,4.41,1.7,12.39,10.05,0.19,55.38,,,,0.0,0.0,26.24,67.88,58.96,185.36,4.18,405.34,0.0,08-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Apr-2020 - 00:00,3.68,4.44,1.64,10.99,9.87,0.22,69.26,5.78,8.34,1.09,0.08,0.16,24.73,48.8,47.64,328.02,4.56,493.25,0.0,09-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Apr-2020 - 00:00,5.03,6.76,1.8,12.53,12.6,0.28,81.73,5.93,7.6,1.25,1.71,2.24,33.08,59.27,,275.61,2.48,,0.0,10-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Apr-2020 - 00:00,4.32,5.64,1.65,13.47,11.16,0.28,68.79,6.61,7.76,1.19,1.03,1.14,35.95,56.73,,120.15,2.39,,0.0,11-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Apr-2020 - 00:00,4.2,5.64,1.51,12.16,12.35,0.25,64.09,5.75,8.67,1.13,0.81,0.91,27.73,61.23,,204.14,3.65,,0.0,12-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Apr-2020 - 00:00,5.92,8.33,1.88,11.82,17.07,0.35,56.03,,,,0.0,0.0,37.53,71.94,,309.99,2.56,,0.0,13-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Apr-2020 - 00:00,5.38,7.34,1.85,16.47,12.2,0.34,67.71,7.97,8.41,1.4,0.68,1.17,41.46,90.14,29.19,263.25,2.78,525.61,0.0,14-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
14-Apr-2020 - 00:00,5.35,7.9,1.46,14.42,10.27,0.31,65.55,7.41,7.39,1.19,1.18,1.41,47.76,163.08,11.5,161.82,3.19,503.35,0.0,15-Apr-2020 - 00:00,"Huda Sector, Fatehabad - HSPCB"
