from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
01-Jan-2020 - 00:00,32.05,0.48,22.86,30.35,28.19,33.46,4.32,3.69,36.41,63.55,0.0,0.0,0.0,21.4,69.53,2.86,204.19,131.39,712.84,0.0,0.0,02-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Jan-2020 - 00:00,31.9,0.51,15.38,31.79,30.12,35.36,4.42,3.78,27.75,50.47,0.0,0.0,0.0,21.6,71.43,2.36,219.07,97.47,713.27,0.02,0.0,03-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Jan-2020 - 00:00,32.04,0.47,15.39,32.02,32.06,36.54,4.15,8.83,36.17,72.11,0.0,0.0,0.0,21.73,70.98,2.34,322.81,107.06,711.85,0.04,0.0,04-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Jan-2020 - 00:00,31.4,0.62,14.5,39.37,37.59,43.92,1.09,8.96,63.34,131.49,0.0,0.0,0.0,21.25,70.14,1.85,235.61,114.98,711.25,0.0,0.0,05-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Jan-2020 - 00:00,31.55,0.52,17.91,36.4,40.77,43.83,0.68,19.47,67.41,117.84,0.0,0.0,0.0,20.56,65.01,2.44,76.55,144.29,712.02,0.0,0.0,06-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Jan-2020 - 00:00,31.65,0.5,20.75,32.41,38.25,40.06,2.29,11.92,54.49,103.04,0.0,0.0,0.0,20.82,64.75,2.3,156.6,147.41,713.35,0.0,0.0,07-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Jan-2020 - 00:00,31.75,0.48,21.87,30.86,30.95,34.89,2.84,5.12,45.09,83.17,0.0,0.0,0.0,21.78,69.06,2.44,241.09,111.72,712.35,0.0,0.0,08-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Jan-2020 - 00:00,31.84,0.45,21.06,29.78,28.01,32.67,4.07,5.26,36.43,69.98,0.0,0.0,0.0,21.87,68.05,2.94,320.95,153.35,711.34,0.0,0.0,09-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Jan-2020 - 00:00,31.7,0.48,13.76,33.18,33.38,37.92,3.14,10.97,45.12,94.72,0.0,0.0,0.0,21.12,71.92,1.95,293.85,70.92,711.62,0.0,0.0,10-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
10-Jan-2020 - 00:00,31.81,0.56,22.18,36.02,35.22,40.64,0.69,14.59,77.33,141.18,0.0,0.0,0.0,21.32,67.7,2.48,86.24,120.57,712.48,0.0,0.0,11-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
11-Jan-2020 - 00:00,31.71,0.68,22.26,40.36,43.79,47.82,0.3,15.98,74.59,158.31,0.0,0.0,0.0,20.81,61.58,2.01,89.31,160.03,713.39,0.0,0.0,12-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
12-Jan-2020 - 00:00,31.93,0.68,19.04,48.81,47.16,54.74,,32.75,68.28,149.73,0.0,0.0,0.0,21.06,56.25,1.47,198.0,170.54,712.29,0.0,0.0,13-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
13-Jan-2020 - 00:00,32.06,0.61,24.13,42.84,41.95,48.36,,20.36,65.89,134.18,0.0,0.0,0.0,21.26,50.6,1.6,275.6,173.54,710.83,0.0,0.0,14-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
14-Jan-2020 - 00:00,31.59,0.6,24.2,37.88,41.49,45.05,,8.66,82.42,149.83,0.0,0.0,0.0,18.06,67.75,1.89,357.67,4.0,710.5,0.0,0.0,15-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
17-Jan-2020 - 00:00,31.93,0.87,17.99,46.25,30.94,41.6,3.34,4.38,27.92,75.71,0.0,0.0,0.0,23.22,53.98,1.88,287.2,68.7,710.77,0.0,0.0,18-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
18-Jan-2020 - 00:00,31.8,0.55,18.02,41.51,32.23,41.99,1.61,4.58,32.44,82.72,0.0,0.0,0.0,21.84,64.24,2.3,182.64,163.68,711.27,0.0,0.0,19-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
19-Jan-2020 - 00:00,31.89,0.45,16.98,40.44,32.31,41.35,1.1,6.66,30.22,65.43,0.0,0.0,0.0,22.64,60.91,1.83,230.33,161.72,711.75,0.0,0.0,20-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
20-Jan-2020 - 00:00,31.81,0.48,19.09,40.78,32.87,41.89,0.55,4.31,36.36,78.38,0.0,0.0,0.0,22.41,62.85,2.02,185.14,143.71,712.25,0.0,0.0,21-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
21-Jan-2020 - 00:00,32.15,0.47,21.62,38.87,32.79,41.08,0.53,2.99,33.55,90.0,0.0,0.0,0.0,22.55,58.0,2.58,186.15,176.52,713.05,0.0,0.0,22-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
22-Jan-2020 - 00:00,32.2,0.49,21.99,38.94,33.24,40.98,0.92,6.3,36.05,87.46,0.0,0.0,0.0,21.8,60.94,2.52,202.96,180.43,713.83,0.0,0.0,23-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
23-Jan-2020 - 00:00,32.23,0.7,20.93,43.98,38.96,47.46,0.49,4.58,52.76,116.31,0.0,0.0,0.0,21.57,58.85,2.06,209.76,179.69,713.0,0.0,0.0,24-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
24-Jan-2020 - 00:00,31.77,0.78,15.89,52.62,45.27,56.06,,7.77,61.5,139.25,0.0,0.0,0.0,22.14,54.72,2.06,201.6,187.44,712.62,0.0,0.0,25-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Jan-2020 - 00:00,32.12,0.8,14.23,60.02,48.96,62.51,,14.03,66.98,148.39,0.0,0.0,0.0,22.48,54.51,1.52,212.99,173.47,712.21,0.0,0.0,26-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
26-Jan-2020 - 00:00,32.43,0.64,19.66,54.64,44.89,57.08,,15.93,61.06,129.66,0.0,0.0,0.0,22.96,53.16,1.65,274.87,174.09,711.26,0.0,0.0,27-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
