from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
01-Jan-2020 - 00:00,474.44,320.88,230.4,180.29,265.6,3.11,,13.52,02-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Jan-2020 - 00:00,437.41,291.57,255.45,172.24,211.36,3.76,,12.89,03-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Jan-2020 - 00:00,409.65,257.88,239.77,106.96,207.46,3.47,,11.55,04-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Jan-2020 - 00:00,287.38,179.12,143.66,60.5,154.63,1.86,,11.26,05-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Jan-2020 - 00:00,228.53,146.29,92.77,37.18,123.17,1.26,,12.84,06-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Jan-2020 - 00:00,228.08,140.66,87.89,32.56,120.23,1.28,,9.81,07-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Jan-2020 - 00:00,156.23,93.2,48.36,11.75,59.38,0.76,,10.54,08-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Jan-2020 - 00:00,126.07,89.04,56.37,12.46,64.68,0.33,,7.88,09-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Jan-2020 - 00:00,112.33,63.83,29.24,32.67,39.23,0.38,0.0,9.65,10-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Jan-2020 - 00:00,168.64,91.18,29.98,43.92,73.77,0.69,,11.65,11-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Jan-2020 - 00:00,195.91,111.37,58.59,55.0,111.32,0.89,,14.91,12-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Jan-2020 - 00:00,303.41,162.32,155.58,82.85,191.66,1.79,,12.69,13-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Jan-2020 - 00:00,245.02,144.35,41.84,47.01,88.61,1.02,,13.27,14-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Jan-2020 - 00:00,135.77,74.58,54.18,45.57,98.53,0.56,5.67,9.18,15-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Jan-2020 - 00:00,165.21,89.45,86.67,76.73,163.39,0.69,,12.13,16-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Jan-2020 - 00:00,194.95,116.79,102.59,61.3,163.89,0.78,,7.38,17-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Jan-2020 - 00:00,161.76,90.01,103.93,50.92,154.57,0.82,,7.37,18-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Jan-2020 - 00:00,210.58,110.52,139.18,61.52,199.44,1.1,,9.01,19-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Jan-2020 - 00:00,160.31,101.87,39.2,46.99,86.19,0.48,,12.11,20-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Jan-2020 - 00:00,187.12,105.12,104.9,49.65,145.15,0.87,,9.35,21-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Jan-2020 - 00:00,285.65,145.32,137.76,59.56,172.76,1.33,,13.15,22-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Jan-2020 - 00:00,267.52,158.43,84.7,11.87,93.64,1.76,,9.22,23-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Jan-2020 - 00:00,114.0,60.5,4.54,2.75,7.29,0.29,,13.64,24-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Jan-2020 - 00:00,117.06,59.78,3.61,2.78,6.39,0.36,,16.23,25-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Jan-2020 - 00:00,245.46,107.2,3.68,2.74,6.42,1.16,,15.76,26-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Jan-2020 - 00:00,296.16,161.71,6.15,2.53,8.68,1.68,,14.66,27-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Jan-2020 - 00:00,268.06,156.03,3.25,2.76,6.01,1.48,,10.67,28-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Jan-2020 - 00:00,134.09,89.97,3.45,2.78,6.23,0.55,,10.26,29-Jan-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
