from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
01-Jan-2020 - 00:00,30.91,,35.5,10.08,2.59,9.48,8.74,334.24,1.78,4.11,3.74,15.69,83.15,0.31,180.41,35.71,757.45,-0.11,02-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Jan-2020 - 00:00,31.04,,35.74,9.09,4.78,9.93,10.96,301.62,2.38,6.17,5.66,16.58,84.76,0.31,151.94,27.83,757.46,-0.11,03-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Jan-2020 - 00:00,30.55,2.28,33.21,8.1,4.18,8.8,10.8,201.22,1.36,3.47,2.54,17.43,85.88,0.32,145.19,29.73,755.98,-0.11,04-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Jan-2020 - 00:00,30.21,1.14,20.33,6.71,4.02,7.59,11.29,135.18,0.53,1.62,0.79,15.09,92.43,0.3,195.51,19.28,755.4,-0.11,05-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Jan-2020 - 00:00,30.6,0.77,25.48,4.67,4.23,6.06,11.78,109.89,0.35,0.91,0.4,14.76,90.05,0.39,234.84,27.33,755.72,-0.12,06-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Jan-2020 - 00:00,30.74,1.57,47.26,5.96,3.96,6.96,9.13,193.29,0.44,1.4,0.84,14.11,87.72,0.31,191.99,36.3,756.71,-0.14,07-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-Jan-2020 - 00:00,30.76,2.14,41.24,8.98,3.33,9.07,8.17,267.97,0.38,1.15,0.47,15.17,87.08,0.3,176.99,37.58,755.95,-0.14,08-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Jan-2020 - 00:00,30.24,2.24,37.21,8.98,2.98,8.89,7.7,249.9,0.4,1.11,0.44,16.06,86.67,0.35,137.59,31.57,755.04,-0.13,09-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Jan-2020 - 00:00,29.5,1.28,30.03,5.07,3.34,5.91,8.38,145.94,0.14,0.38,0.07,16.78,90.41,0.36,157.67,32.51,755.22,-0.15,10-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Jan-2020 - 00:00,29.65,1.2,24.85,5.05,3.34,5.88,7.91,120.58,0.14,0.42,0.12,14.66,89.25,0.35,238.61,24.75,756.28,-0.15,11-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Jan-2020 - 00:00,29.58,1.32,43.6,4.42,3.37,5.38,7.28,141.59,0.21,0.58,0.2,14.33,77.08,0.33,232.29,80.12,756.74,-0.18,12-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Jan-2020 - 00:00,29.65,1.49,42.68,16.16,9.1,19.83,7.29,192.03,0.39,1.05,0.45,11.73,89.53,0.31,215.45,47.22,755.67,-0.14,13-Jan-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
