from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,399.68,436.14,92.29,82.22,110.1,86.49,17.82,1.86,31.44,,,0.95,177.8,11.8,74.39,741.02,52.64,1.0,02-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Jan-2020 - 00:00,278.39,469.84,91.67,129.69,159.78,86.47,17.31,2.71,19.97,,,0.76,146.49,14.41,72.78,741.4,51.93,2.0,03-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Jan-2020 - 00:00,206.76,341.83,76.6,125.43,142.76,77.79,20.98,2.89,15.99,,,0.81,150.47,15.95,71.78,741.34,55.51,,04-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Jan-2020 - 00:00,290.55,407.5,97.55,105.99,138.13,85.2,19.26,2.64,36.49,,,0.92,185.32,15.59,71.27,741.28,41.69,,05-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Jan-2020 - 00:00,187.38,269.09,81.84,18.4,58.58,66.35,19.23,1.21,38.53,,,1.33,219.51,15.54,62.69,741.28,50.82,,06-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Jan-2020 - 00:00,163.74,248.99,81.83,37.45,74.03,67.31,21.24,1.32,25.84,,,1.43,191.61,15.09,68.28,741.27,29.06,,07-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Jan-2020 - 00:00,140.45,185.84,57.77,12.19,40.71,59.78,10.54,1.11,12.2,,,1.62,101.53,15.35,78.96,741.12,31.55,1.0,08-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Jan-2020 - 00:00,149.52,175.29,47.79,18.16,40.19,63.56,5.93,1.26,11.3,,,1.46,201.75,14.31,88.94,721.59,17.17,2.67,09-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Jan-2020 - 00:00,103.91,145.44,40.97,8.71,28.95,34.45,11.48,0.89,15.91,,,2.3,261.06,11.27,81.57,714.76,48.41,,10-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Jan-2020 - 00:00,145.28,218.17,74.19,18.96,54.97,48.81,7.44,1.48,19.26,,,1.69,252.15,12.1,74.5,728.06,62.78,,11-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Jan-2020 - 00:00,163.51,270.97,85.53,39.67,77.84,54.67,9.99,1.64,28.03,,,1.25,236.33,13.7,61.26,741.29,60.83,,12-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Jan-2020 - 00:00,271.45,418.56,98.29,105.12,139.03,75.79,9.3,,35.92,,,0.77,198.7,15.11,65.8,741.11,60.55,,13-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Jan-2020 - 00:00,238.45,334.56,66.66,32.21,61.73,74.83,8.83,2.09,22.3,,,1.5,171.96,15.61,72.71,740.66,41.64,,14-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Jan-2020 - 00:00,175.1,229.53,53.0,14.7,40.22,61.56,7.98,1.19,13.62,,,2.04,265.98,13.79,82.95,740.88,45.5,,15-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Jan-2020 - 00:00,150.07,218.84,58.52,14.89,43.32,50.34,13.19,1.06,22.64,,,1.91,255.64,13.99,77.68,740.96,55.78,,16-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Jan-2020 - 00:00,166.01,220.62,55.2,17.54,43.72,44.02,13.79,1.13,9.03,,,1.71,226.68,12.97,82.89,732.33,33.3,1.67,17-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Jan-2020 - 00:00,105.1,146.73,50.52,22.7,45.42,43.31,9.02,1.15,15.57,,,1.61,237.82,14.04,88.19,730.69,50.52,3.75,18-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Jan-2020 - 00:00,167.65,259.75,66.04,28.26,58.19,42.08,10.7,1.49,22.04,,,1.41,230.44,12.56,87.53,741.05,46.57,,19-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Jan-2020 - 00:00,153.1,219.43,54.39,14.21,40.56,44.72,7.12,1.11,21.86,,,1.77,254.27,11.61,80.85,741.15,61.68,1.0,20-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Jan-2020 - 00:00,186.04,288.69,72.68,51.31,80.47,53.21,5.79,1.84,17.57,,,1.21,227.15,12.55,84.59,741.06,43.46,,21-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Jan-2020 - 00:00,242.96,369.0,72.31,53.19,81.8,71.74,7.15,1.84,23.71,,,1.12,147.54,14.04,83.75,741.28,54.98,,22-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Jan-2020 - 00:00,214.8,322.81,79.63,46.04,79.88,65.12,6.08,1.82,18.57,,,1.47,249.72,13.43,83.1,741.29,57.08,,23-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Jan-2020 - 00:00,67.68,139.06,55.94,6.35,35.01,45.64,6.98,0.67,32.73,,,2.81,258.84,14.96,54.79,741.31,73.34,,24-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Jan-2020 - 00:00,80.23,157.34,69.48,12.7,47.33,45.22,8.66,0.93,39.54,,,2.29,248.14,15.37,49.04,741.12,71.81,,25-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Jan-2020 - 00:00,174.64,285.93,95.03,49.33,90.72,68.16,10.53,1.58,26.25,,,1.04,213.3,14.73,60.46,741.03,63.71,,26-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Jan-2020 - 00:00,271.08,391.59,76.36,89.02,113.05,89.5,10.93,2.63,20.73,,,0.98,199.2,15.35,69.25,740.81,61.81,,27-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Jan-2020 - 00:00,261.68,381.88,84.65,125.36,147.0,103.56,11.52,2.77,20.3,,,1.35,152.4,16.32,67.85,740.74,41.08,,28-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Jan-2020 - 00:00,108.46,141.74,40.54,8.13,28.24,58.35,9.2,0.95,19.76,,,2.25,120.04,16.23,75.81,740.69,48.91,3.5,29-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Jan-2020 - 00:00,94.13,151.9,57.08,22.22,48.46,55.7,8.86,1.01,15.25,,,1.58,227.81,15.61,71.29,741.28,64.14,,30-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-Jan-2020 - 00:00,95.73,165.32,53.5,12.05,38.33,52.1,10.31,0.88,19.21,,,2.0,262.51,15.43,68.65,741.31,70.32,,31-Jan-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
31-Jan-2020 - 00:00,92.29,165.11,58.13,14.95,43.11,50.07,14.28,0.97,21.07,,,1.56,243.6,14.15,64.61,740.93,72.66,,01-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Feb-2020 - 00:00,138.58,218.85,60.24,25.92,53.17,57.42,27.45,1.17,19.5,,,1.57,240.86,14.06,72.19,741.11,64.27,,02-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Feb-2020 - 00:00,117.45,183.09,54.61,13.01,39.7,54.96,9.0,1.1,23.72,,,1.74,256.91,14.37,70.28,741.35,72.01,,03-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Feb-2020 - 00:00,165.52,277.32,74.09,72.61,98.49,75.58,11.24,1.75,23.02,,,1.01,209.71,14.91,63.24,741.34,70.09,,04-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Feb-2020 - 00:00,205.17,333.35,72.18,72.29,97.18,78.9,14.74,1.88,25.45,,,1.06,177.38,15.23,62.03,741.09,64.74,,05-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Feb-2020 - 00:00,159.06,253.99,57.22,18.07,45.14,61.48,12.98,1.09,18.75,,,1.57,245.05,15.54,61.83,741.2,66.07,,06-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Feb-2020 - 00:00,123.77,202.07,58.29,21.54,48.58,57.15,21.02,1.11,25.36,,,1.28,233.45,14.79,61.34,741.1,68.59,,07-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Feb-2020 - 00:00,152.06,247.68,65.27,26.7,56.43,58.13,36.78,1.23,30.57,,,1.26,240.2,14.67,63.44,741.19,61.43,,08-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Feb-2020 - 00:00,147.77,240.0,59.73,16.28,45.09,57.12,22.75,1.14,39.91,,,1.73,257.15,15.74,61.65,741.58,65.48,,09-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Feb-2020 - 00:00,154.24,255.01,60.61,26.52,53.83,60.02,19.95,1.38,48.5,,,1.15,224.24,15.79,61.49,741.61,65.81,,10-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Feb-2020 - 00:00,193.59,321.85,70.67,68.34,93.22,74.78,18.46,2.15,44.31,,,1.11,207.84,15.64,63.1,741.39,65.38,,11-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Feb-2020 - 00:00,209.15,329.88,72.01,44.46,74.5,71.55,16.76,1.6,46.91,,,0.99,183.14,16.14,61.57,741.45,64.79,,12-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Feb-2020 - 00:00,173.2,272.27,63.32,15.5,46.35,64.33,14.79,1.26,25.49,,,1.91,238.8,18.18,60.34,741.64,64.83,,13-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Feb-2020 - 00:00,89.48,171.81,44.78,7.85,30.27,55.07,15.36,0.88,18.86,,,2.4,247.48,20.62,52.97,741.58,70.53,,14-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Feb-2020 - 00:00,65.84,167.56,37.45,6.01,24.87,46.58,13.38,0.74,23.09,,,3.14,258.26,19.66,51.17,741.31,73.35,,15-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Feb-2020 - 00:00,76.12,165.73,51.93,7.31,33.65,46.12,15.89,0.99,30.1,,,2.13,245.1,20.06,40.49,737.03,79.88,,16-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Feb-2020 - 00:00,129.61,236.56,62.24,25.27,53.74,57.98,19.72,1.37,31.0,,,1.41,231.6,19.47,52.32,741.48,72.19,,17-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Feb-2020 - 00:00,161.55,280.44,66.27,56.29,81.07,72.22,15.92,1.81,40.25,,,1.47,221.51,19.66,53.74,741.64,70.5,,18-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Feb-2020 - 00:00,116.78,241.83,71.01,58.92,85.71,70.32,15.39,2.03,24.64,,,1.52,243.0,20.07,43.54,741.41,73.93,,19-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Feb-2020 - 00:00,162.69,323.49,51.28,88.07,98.91,80.58,17.97,2.22,24.53,,,1.68,135.93,19.77,55.34,741.17,61.41,,20-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Feb-2020 - 00:00,103.82,215.71,22.61,4.97,16.16,56.39,14.49,0.8,24.22,,,2.76,113.31,21.41,54.95,741.43,66.11,2.75,21-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Feb-2020 - 00:00,49.68,76.03,24.4,6.23,18.12,50.08,8.71,0.74,25.32,,,3.37,123.39,17.21,76.06,741.31,35.98,2.0,22-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Feb-2020 - 00:00,72.04,138.53,42.15,62.53,73.34,61.91,16.4,1.56,27.2,,,1.51,161.89,18.72,71.75,741.9,65.54,,23-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Feb-2020 - 00:00,95.56,,34.94,11.01,27.62,51.24,25.57,0.91,50.26,,,1.51,208.38,20.5,66.71,741.89,65.9,,24-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Feb-2020 - 00:00,74.64,164.16,46.68,14.26,36.42,49.48,43.31,0.97,53.33,,,1.6,239.15,20.33,62.32,741.47,77.29,,25-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Feb-2020 - 00:00,128.6,217.86,50.13,11.94,36.43,55.95,25.79,1.21,56.74,,,1.27,241.8,21.02,65.12,741.44,66.31,,26-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Feb-2020 - 00:00,152.59,268.86,55.31,29.93,53.8,67.2,19.6,1.59,61.43,,,1.32,170.12,21.35,66.34,741.65,67.38,,27-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Feb-2020 - 00:00,104.73,193.49,36.23,5.43,23.71,54.02,12.18,0.92,49.82,,,1.48,125.91,21.21,69.79,741.6,64.41,,28-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Feb-2020 - 00:00,86.02,155.48,29.5,3.02,18.12,40.16,9.13,0.77,54.34,,,2.4,113.83,21.25,69.84,741.43,65.1,,29-Feb-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Feb-2020 - 00:00,59.37,110.39,35.06,3.21,21.2,34.76,10.05,0.71,45.3,,,2.76,117.29,20.31,72.32,741.34,61.28,9.31,01-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Mar-2020 - 00:00,53.42,126.89,54.98,60.17,78.23,33.34,11.52,1.83,52.7,,,1.32,141.01,20.61,70.17,741.48,84.64,,02-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Mar-2020 - 00:00,128.34,259.52,78.53,72.12,100.46,45.93,27.17,1.93,71.35,,,0.84,179.93,21.88,69.61,741.54,73.24,,03-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Mar-2020 - 00:00,93.51,191.96,64.5,20.47,51.04,41.65,35.87,1.04,44.96,,,1.37,212.22,22.46,59.04,741.45,84.28,,04-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Mar-2020 - 00:00,80.72,183.82,52.07,12.06,37.59,38.49,19.86,0.89,51.7,,,1.82,150.69,21.87,59.69,741.33,78.23,,05-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Mar-2020 - 00:00,31.64,73.19,27.92,3.65,17.48,30.74,10.98,0.6,47.98,,,2.71,135.76,21.06,64.34,738.43,82.22,12.29,06-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Mar-2020 - 00:00,16.66,36.1,37.26,3.96,23.07,28.7,11.73,0.42,43.72,,,2.96,111.68,17.23,79.18,734.46,64.89,11.21,07-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Mar-2020 - 00:00,39.73,88.61,41.39,9.57,29.85,28.58,11.01,0.72,43.12,,,1.84,136.69,17.74,76.71,740.1,62.72,,08-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Mar-2020 - 00:00,106.2,200.12,68.11,43.42,71.57,35.51,16.39,1.09,37.06,,,1.51,240.78,18.8,73.7,741.46,87.43,1.0,09-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Mar-2020 - 00:00,51.92,127.83,48.45,8.25,32.58,30.79,13.73,0.74,39.77,,,2.57,260.85,19.87,55.64,741.35,99.62,,10-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Mar-2020 - 00:00,85.48,154.46,41.21,5.61,26.4,35.24,17.47,0.81,50.91,,,1.43,189.8,20.23,55.73,741.28,96.92,1.0,11-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Mar-2020 - 00:00,55.56,110.27,31.16,3.13,19.12,37.96,13.17,0.62,53.3,,,2.44,124.65,21.7,62.82,741.23,82.79,1.0,12-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Mar-2020 - 00:00,66.56,166.52,44.4,19.65,39.59,35.95,17.01,0.93,34.51,,,1.82,154.66,22.48,62.46,741.41,79.94,,13-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Mar-2020 - 00:00,50.43,155.48,48.93,11.23,35.21,31.24,12.72,0.63,46.4,,,1.57,161.49,22.32,50.24,741.8,94.97,,14-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Mar-2020 - 00:00,37.5,74.99,45.09,9.66,31.73,31.79,14.87,0.69,30.16,,,1.93,145.11,18.51,77.17,740.86,64.09,7.0,15-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Mar-2020 - 00:00,56.0,116.92,49.65,10.5,35.01,31.05,20.38,0.72,36.68,,,1.39,198.43,18.88,68.52,741.71,91.78,,16-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Mar-2020 - 00:00,60.39,148.94,63.76,11.65,43.49,32.96,15.19,0.98,43.94,,,1.66,260.86,20.87,63.58,741.67,80.65,,17-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Mar-2020 - 00:00,59.19,163.19,66.21,14.36,46.93,36.01,15.71,1.06,43.59,,,1.89,254.26,22.26,58.39,741.9,97.26,,18-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Mar-2020 - 00:00,88.17,197.74,67.95,10.57,44.82,37.62,40.03,1.09,53.79,,,1.82,253.84,23.58,56.27,741.88,95.3,,19-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Mar-2020 - 00:00,104.61,214.27,71.9,19.33,54.05,45.16,34.47,1.2,41.64,,,1.37,215.22,24.03,62.52,741.68,86.14,,20-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Mar-2020 - 00:00,100.02,228.31,79.23,39.72,74.53,43.52,28.93,1.75,56.7,,,1.35,153.3,25.17,56.72,741.56,84.38,,21-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Mar-2020 - 00:00,79.19,186.99,63.07,14.54,45.44,42.98,22.14,1.17,41.07,,,1.42,225.25,25.29,53.06,741.73,81.3,,22-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Mar-2020 - 00:00,75.58,130.77,30.59,3.17,18.73,40.11,25.94,0.81,45.25,,,1.6,218.26,24.91,53.42,741.92,89.26,,23-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Mar-2020 - 00:00,58.83,113.19,31.98,3.62,19.9,36.75,45.14,0.79,41.75,,,1.26,202.47,25.67,49.11,742.0,96.08,,24-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Mar-2020 - 00:00,60.4,114.2,28.73,3.09,17.71,37.73,21.05,0.79,31.05,,,1.46,164.22,25.26,54.52,741.58,77.91,2.0,25-Mar-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
