from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
01-Jan-2020 - 00:00,112.17,221.43,57.34,137.44,193.31,36.69,6.52,1.83,7.6,125.03,139.87,3.54,6.64,2.74,18.63,70.21,0.31,251.89,0.01,,104.37,02-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
02-Jan-2020 - 00:00,85.86,190.97,50.39,81.12,130.59,33.55,6.17,1.32,13.2,108.32,115.16,2.14,4.0,1.55,20.07,68.32,0.27,193.52,0.0,,87.15,03-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
03-Jan-2020 - 00:00,40.99,75.21,34.36,31.81,65.61,30.17,6.46,0.66,5.73,101.18,105.69,1.44,2.62,1.08,17.27,93.91,0.33,162.26,-0.01,,35.27,04-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
04-Jan-2020 - 00:00,36.16,74.33,30.27,53.23,83.5,28.61,8.27,0.9,5.22,112.34,121.85,1.69,3.14,1.43,17.35,93.86,0.18,235.99,0.01,,44.13,05-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
05-Jan-2020 - 00:00,85.35,135.6,32.78,115.59,148.37,26.34,8.49,1.46,4.49,125.25,134.99,2.49,4.76,2.14,17.13,92.94,0.38,239.38,0.01,,61.8,06-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
06-Jan-2020 - 00:00,94.96,170.72,43.99,121.8,165.79,27.37,8.47,1.59,5.52,112.85,119.86,2.87,5.48,2.02,17.08,77.37,0.28,216.29,0.0,,119.17,07-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
07-Jan-2020 - 00:00,74.81,166.57,42.47,44.33,86.79,29.38,8.28,1.1,6.51,114.08,119.33,1.84,3.38,1.63,16.66,77.5,0.45,246.08,-0.0,,109.2,08-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
08-Jan-2020 - 00:00,47.12,180.33,43.43,89.15,132.58,32.25,8.61,1.42,6.68,129.57,139.69,2.56,4.96,2.29,18.32,77.33,0.18,170.99,0.0,,114.62,09-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
09-Jan-2020 - 00:00,53.83,132.68,39.39,55.17,94.56,32.19,8.13,1.08,7.05,108.93,113.38,1.82,3.33,1.3,18.32,84.29,0.21,165.23,0.01,,61.18,10-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
10-Jan-2020 - 00:00,70.81,126.61,40.96,19.0,59.98,27.75,8.01,0.83,6.17,110.62,112.02,1.3,2.32,1.14,18.3,72.29,0.64,261.12,-0.02,,105.46,11-Jan-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
