from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
01-Jan-2020 - 00:00,8.57,463.7,380.43,997.74,107.78,0.38,77.18,62.18,,24.08,84.05,138.69,187.54,221.16,4.45,8.03,3.01,02-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Jan-2020 - 00:00,9.61,468.71,387.06,997.49,126.3,0.22,74.87,64.63,,26.91,94.45,154.67,175.03,242.23,3.38,9.94,3.56,03-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Jan-2020 - 00:00,10.18,442.17,268.35,995.36,116.79,0.38,73.39,64.78,,31.16,97.5,132.56,182.31,254.12,4.36,9.48,2.89,04-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Jan-2020 - 00:00,10.13,465.35,299.66,994.42,231.37,0.28,72.68,55.75,,28.91,89.46,114.51,192.79,239.2,3.59,7.36,2.53,05-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Jan-2020 - 00:00,10.05,360.12,232.57,994.84,216.26,0.35,67.75,63.43,,22.53,79.28,74.52,179.69,156.32,2.82,,1.74,06-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Jan-2020 - 00:00,9.99,309.59,195.22,995.81,167.26,0.35,70.51,29.89,,22.12,81.79,73.07,186.53,158.83,2.72,,1.67,07-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Jan-2020 - 00:00,10.14,204.6,135.77,993.58,82.83,0.74,76.38,34.97,,18.84,86.25,81.75,185.34,165.21,4.22,6.05,1.55,08-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Jan-2020 - 00:00,9.51,195.09,149.8,991.61,172.4,0.34,87.48,12.76,,20.43,93.66,84.1,163.47,155.44,3.33,11.42,1.67,09-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Jan-2020 - 00:00,8.43,200.57,158.22,996.41,260.96,0.43,81.56,47.29,,20.46,96.45,57.83,134.53,118.68,2.85,9.9,1.43,10-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Jan-2020 - 00:00,8.7,273.14,191.52,996.56,238.67,0.35,76.8,72.98,,22.42,99.9,70.31,150.52,137.77,2.8,10.36,1.74,11-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Jan-2020 - 00:00,9.3,346.01,222.22,996.2,219.81,0.28,67.39,70.94,,23.5,100.33,91.11,186.83,173.64,3.4,9.14,1.86,12-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Jan-2020 - 00:00,9.81,458.26,319.35,993.24,160.44,0.24,70.52,74.23,,27.62,92.63,156.84,210.14,241.3,2.9,8.08,2.48,13-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Jan-2020 - 00:00,10.25,369.61,242.81,988.75,142.49,0.91,73.24,44.01,,24.75,99.49,109.89,177.41,183.99,2.8,8.0,2.31,14-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Jan-2020 - 00:00,9.53,223.43,158.16,992.51,292.88,0.48,79.66,49.23,,22.94,102.99,77.21,181.3,159.31,2.65,7.78,1.54,15-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Jan-2020 - 00:00,9.57,258.03,173.94,993.59,298.46,0.41,76.71,70.43,,24.08,92.21,88.42,194.84,175.72,2.66,8.46,1.55,16-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Jan-2020 - 00:00,9.09,272.77,195.75,992.46,254.09,0.4,82.24,29.55,,22.94,89.61,91.46,192.34,176.85,2.68,10.84,1.65,17-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Jan-2020 - 00:00,9.39,226.17,162.3,993.67,214.42,0.32,85.79,49.55,,23.03,73.16,85.74,170.09,160.33,2.48,9.21,1.74,18-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Jan-2020 - 00:00,9.01,259.68,179.11,995.43,236.59,0.31,84.05,42.19,,23.75,61.12,71.12,145.36,135.22,3.12,7.54,1.75,19-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Jan-2020 - 00:00,8.55,251.54,175.85,996.14,226.48,0.44,81.02,73.65,,18.46,55.91,44.62,131.85,106.52,3.29,7.68,1.54,20-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Jan-2020 - 00:00,8.99,300.58,199.92,995.06,194.96,0.3,82.57,50.45,,17.87,55.09,49.58,138.72,114.16,3.18,7.06,1.71,21-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Jan-2020 - 00:00,9.57,455.58,301.81,995.75,101.3,0.37,82.18,56.18,,23.58,55.8,110.44,156.1,173.07,4.03,10.52,2.55,22-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Jan-2020 - 00:00,9.01,317.71,223.48,997.44,240.17,0.32,84.47,52.99,,21.29,50.96,63.0,100.27,104.95,3.65,9.71,2.29,23-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Jan-2020 - 00:00,9.72,205.38,119.36,995.79,226.88,0.57,64.31,85.84,,18.12,41.57,39.89,107.13,89.53,3.55,10.26,1.46,24-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Jan-2020 - 00:00,9.7,217.97,146.67,993.24,200.89,0.56,60.8,85.13,,17.95,48.23,40.58,121.9,98.05,4.42,10.29,1.59,25-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Jan-2020 - 00:00,9.7,317.45,203.01,993.52,212.36,0.3,66.4,79.64,,21.45,72.52,82.73,166.05,155.78,5.54,8.52,1.88,26-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Jan-2020 - 00:00,9.97,416.8,267.17,991.71,160.94,0.29,72.14,76.26,,22.9,75.84,101.4,180.68,178.89,4.46,8.83,2.17,27-Jan-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
