from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
01-Jan-2020 - 00:00,8.17,998.38,573.04,444.47,76.16,61.72,227.78,0.96,10.37,55.89,51.56,92.43,67.6,216.75,17.76,19.24,4.91,02-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Jan-2020 - 00:00,9.3,998.13,463.89,350.01,73.38,57.86,231.4,0.74,7.7,50.11,54.73,97.3,151.65,221.89,16.99,16.82,4.08,03-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Jan-2020 - 00:00,9.79,996.41,333.94,234.34,72.7,55.03,218.27,0.79,8.71,69.87,50.34,85.43,246.94,256.6,13.43,15.55,3.98,04-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Jan-2020 - 00:00,9.51,995.24,287.36,209.96,72.94,58.94,293.13,1.5,7.53,50.88,38.98,83.64,165.5,180.09,17.54,13.04,2.07,05-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Jan-2020 - 00:00,9.53,995.75,239.72,167.1,68.05,62.49,283.85,1.56,3.16,24.3,36.67,78.7,60.8,91.42,19.76,14.12,1.11,06-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Jan-2020 - 00:00,9.83,996.85,233.65,154.66,67.54,38.06,207.93,0.88,4.45,29.62,51.46,86.88,79.35,110.9,9.47,15.38,1.22,07-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Jan-2020 - 00:00,10.14,994.88,174.51,120.11,72.26,36.19,112.57,1.35,4.17,27.52,54.15,74.99,50.9,81.39,13.17,20.91,1.05,08-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Jan-2020 - 00:00,9.44,992.76,147.4,122.4,83.33,12.02,191.89,2.22,4.39,25.81,61.52,56.97,43.65,65.89,10.84,11.65,0.93,09-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Jan-2020 - 00:00,8.24,997.29,138.94,95.2,77.25,51.09,301.34,2.74,3.54,21.75,42.11,42.43,20.64,39.4,17.64,12.95,0.66,10-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Jan-2020 - 00:00,8.26,997.49,215.3,140.08,75.55,64.25,299.39,1.89,4.96,32.13,45.1,66.37,51.08,76.94,21.11,11.07,1.11,11-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Jan-2020 - 00:00,8.67,997.12,249.2,162.85,69.19,63.66,302.2,1.36,6.85,49.46,50.07,85.24,81.26,111.59,25.37,15.88,1.83,12-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Jan-2020 - 00:00,9.38,994.14,329.02,220.01,70.1,64.07,285.41,1.27,6.66,46.38,58.48,92.74,153.55,173.15,16.86,16.8,2.68,13-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Jan-2020 - 00:00,9.99,989.85,373.86,250.48,72.92,52.43,180.21,1.59,7.08,50.33,70.02,94.4,63.09,104.79,11.92,15.59,2.75,14-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Jan-2020 - 00:00,9.31,993.32,175.84,122.95,77.56,63.44,295.88,1.68,4.77,29.85,50.57,55.79,39.81,62.13,11.99,10.22,0.99,15-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Jan-2020 - 00:00,9.41,994.56,184.16,110.52,73.97,70.93,260.98,1.31,5.81,22.43,40.66,77.51,56.13,86.99,18.23,11.82,1.05,16-Jan-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
