from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WD,RH,BP,Toluene,Temp,to date,station
01-Jan-2020 - 00:00,37.88,11.78,34.35,17.47,3.53,1.41,34.4,26.95,64.45,0.36,217.92,75.67,716.53,2.17,25.11,02-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Jan-2020 - 00:00,37.19,10.86,36.11,20.08,3.66,1.38,32.77,20.8,65.93,0.36,207.7,71.51,717.55,2.62,25.23,03-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Jan-2020 - 00:00,34.13,11.81,27.99,12.09,3.24,1.14,36.79,27.92,81.75,0.31,208.68,67.22,716.25,2.4,25.17,04-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Jan-2020 - 00:00,44.49,13.33,55.51,3.19,3.15,1.89,42.36,55.25,155.69,0.52,155.65,67.72,714.7,4.05,25.16,05-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Jan-2020 - 00:00,35.35,14.96,25.08,6.2,,1.08,44.97,50.27,117.0,0.36,206.12,66.57,714.32,2.42,24.99,06-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Jan-2020 - 00:00,38.37,11.11,37.3,16.3,,1.56,30.37,22.04,67.07,0.34,215.1,72.7,716.49,2.29,25.46,07-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Jan-2020 - 00:00,42.67,11.17,42.2,19.65,,1.54,30.57,25.33,78.84,0.41,215.27,68.26,716.31,2.55,25.57,08-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Jan-2020 - 00:00,46.54,11.47,38.21,15.1,,1.39,47.58,31.88,85.91,0.36,212.54,63.2,715.53,2.33,25.6,09-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Jan-2020 - 00:00,50.46,12.07,41.98,15.75,,1.57,31.29,40.6,103.65,0.4,212.58,62.57,715.4,2.6,25.75,10-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Jan-2020 - 00:00,58.33,12.34,50.65,13.9,,1.5,26.4,38.43,90.67,0.42,215.61,60.29,715.38,2.66,25.65,11-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Jan-2020 - 00:00,47.77,11.46,43.37,13.65,,1.39,30.71,29.62,73.76,0.35,213.93,61.68,716.48,2.29,25.63,12-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Jan-2020 - 00:00,44.56,13.56,38.83,14.15,,1.35,27.76,40.21,96.77,0.39,198.91,64.69,715.71,2.48,25.64,13-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
