from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-Jan-2020 - 00:00,,,,,,,,,,,,,,08-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-Jan-2020 - 00:00,,,,,,,,,,,,,,09-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
21-Jan-2020 - 00:00,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
