from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,71.16,279.37,24.64,11.73,36.37,34.5,5.08,1.34,15.8,8.75,29.05,12.2,23.13,,135.11,0.59,147.19,02-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Jan-2020 - 00:00,84.56,254.09,20.01,11.76,31.78,35.48,4.11,1.48,11.84,10.3,34.57,14.18,24.22,,129.27,0.61,151.8,03-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Jan-2020 - 00:00,73.14,226.27,21.59,12.69,34.28,33.7,2.66,1.32,11.27,8.97,29.09,11.07,23.84,,138.0,0.59,147.39,04-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Jan-2020 - 00:00,76.7,222.45,24.2,10.77,34.97,56.59,2.68,1.28,8.84,9.14,30.18,12.21,23.49,,135.1,0.64,161.23,05-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Jan-2020 - 00:00,70.36,219.99,17.37,22.99,40.36,43.99,3.92,1.56,7.72,11.21,43.29,18.3,24.51,,129.43,0.57,152.53,06-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Jan-2020 - 00:00,51.48,199.63,20.44,35.26,55.69,52.45,4.89,1.99,16.29,14.88,65.45,19.78,26.72,,133.44,0.55,166.24,07-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Jan-2020 - 00:00,65.2,197.25,15.45,23.59,38.92,43.01,12.42,1.52,12.8,12.05,58.88,19.31,26.27,,83.86,0.6,151.43,08-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
08-Jan-2020 - 00:00,62.23,192.67,13.56,9.57,23.13,33.21,24.67,1.52,9.65,10.24,42.09,19.06,26.95,,114.4,0.56,167.63,09-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Jan-2020 - 00:00,47.77,172.24,16.65,11.01,27.67,32.79,24.9,1.12,7.09,6.99,28.61,12.18,24.98,,126.83,0.7,163.12,10-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Jan-2020 - 00:00,46.04,193.16,20.31,32.3,52.61,31.23,29.54,1.92,9.87,8.97,38.36,15.01,25.84,,127.07,0.56,162.13,11-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-Jan-2020 - 00:00,58.15,241.92,14.97,33.34,48.3,30.56,28.98,2.09,15.98,14.82,92.29,25.66,27.59,,129.08,0.59,174.78,12-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Jan-2020 - 00:00,57.25,189.79,7.84,25.72,33.55,29.61,27.78,1.72,9.79,20.07,127.74,44.37,27.48,,129.81,0.57,158.17,13-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Jan-2020 - 00:00,55.65,161.08,12.29,9.49,21.77,27.54,26.29,1.37,8.4,13.76,76.78,30.53,26.55,,130.32,0.65,165.08,14-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Jan-2020 - 00:00,33.88,128.27,12.19,15.79,27.98,37.06,25.63,1.41,6.18,12.06,74.3,25.39,25.42,,111.83,0.62,161.02,15-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Jan-2020 - 00:00,29.53,127.22,17.6,10.1,27.7,38.74,24.58,1.01,4.96,9.5,55.76,18.88,24.35,,121.23,0.73,157.04,16-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Jan-2020 - 00:00,37.66,127.54,19.24,12.45,31.69,33.96,24.75,1.01,8.63,9.68,50.41,17.92,21.82,,137.6,0.69,141.71,17-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Jan-2020 - 00:00,51.4,151.36,25.1,13.09,38.18,29.91,25.06,1.09,6.65,11.2,50.05,18.07,21.0,,124.92,0.67,148.48,18-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-Jan-2020 - 00:00,80.96,228.97,72.03,56.49,128.53,82.98,25.97,1.43,7.45,15.18,64.33,22.35,23.54,,118.73,0.63,149.22,19-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Jan-2020 - 00:00,76.78,223.71,96.81,83.48,180.29,132.01,26.89,1.69,5.54,16.84,83.19,30.64,25.73,,118.45,0.6,144.29,20-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Jan-2020 - 00:00,74.38,231.42,95.16,113.55,201.9,123.23,26.9,1.95,9.87,20.29,111.42,36.85,26.9,,128.13,0.6,150.82,21-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-Jan-2020 - 00:00,100.84,322.46,90.68,110.75,200.78,117.02,33.7,2.23,11.67,23.65,115.71,41.99,26.86,,111.18,0.53,150.75,22-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Jan-2020 - 00:00,71.09,248.35,74.88,149.5,215.7,123.75,27.76,2.05,10.26,23.82,114.97,41.11,27.35,,114.04,0.61,147.9,23-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Jan-2020 - 00:00,61.67,205.53,17.15,17.05,33.22,40.76,23.3,1.61,10.52,17.64,94.73,33.09,28.45,,116.47,0.58,158.23,24-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
