from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
01-Jan-2020 - 00:00,63.22,2.64,35.55,74.1,8.08,2.23,14.9,295.5,392.33,0.8,6.44,10.62,1.28,72.9,64.03,742.25,0.0,46.91,02-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Jan-2020 - 00:00,74.3,2.59,41.35,75.24,21.15,2.16,12.86,252.92,366.54,0.78,9.94,14.46,0.99,79.29,59.02,742.24,0.0,46.3,03-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Jan-2020 - 00:00,65.51,2.77,36.86,75.75,20.64,1.91,10.72,174.54,272.92,0.65,9.08,15.95,1.13,80.72,60.49,742.04,0.0,47.81,04-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Jan-2020 - 00:00,67.53,2.73,37.95,68.48,14.59,2.54,30.25,233.25,336.92,0.74,8.22,13.88,0.77,65.78,64.69,742.0,0.0,39.07,05-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Jan-2020 - 00:00,66.17,2.48,37.15,58.06,11.04,1.53,22.47,203.46,290.52,0.47,4.46,14.45,1.71,62.71,57.97,742.0,0.0,45.57,06-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Jan-2020 - 00:00,71.88,2.36,40.13,64.59,17.15,1.49,10.73,174.04,268.17,0.4,4.0,14.4,1.39,81.34,58.28,742.0,0.0,27.39,07-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Jan-2020 - 00:00,54.2,2.21,30.61,70.44,11.38,1.31,9.83,117.0,155.75,0.34,2.44,14.99,1.98,112.26,65.02,742.0,0.0,29.34,08-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Jan-2020 - 00:00,43.48,2.24,24.92,71.91,11.76,1.47,3.31,146.46,170.12,0.4,3.58,13.41,1.64,70.77,74.2,742.0,0.17,15.04,09-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-Jan-2020 - 00:00,47.17,2.31,26.96,67.14,7.52,1.17,15.92,107.88,152.71,0.29,3.29,10.97,3.67,55.85,66.21,742.0,0.0,52.04,10-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Jan-2020 - 00:00,61.05,2.31,34.33,66.04,8.59,1.83,17.0,133.38,219.67,0.43,3.38,11.24,2.36,43.58,63.5,742.0,0.0,55.35,11-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-Jan-2020 - 00:00,72.15,2.03,40.02,60.86,9.53,1.89,21.26,144.17,252.71,0.48,4.5,13.0,1.81,50.32,54.17,742.06,0.0,55.11,12-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-Jan-2020 - 00:00,70.5,2.81,39.51,63.77,11.26,3.15,21.85,262.12,422.33,0.81,7.49,13.61,0.88,74.45,61.61,742.0,0.0,51.2,13-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Jan-2020 - 00:00,61.18,2.73,34.53,68.33,7.62,1.67,13.44,236.29,336.25,0.62,4.4,13.98,2.57,115.9,64.93,741.41,0.0,39.71,14-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
14-Jan-2020 - 00:00,53.96,2.18,30.48,70.79,9.4,1.49,10.86,184.62,260.58,0.49,3.83,13.32,2.87,54.02,69.07,742.0,0.0,40.3,15-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-Jan-2020 - 00:00,59.87,2.48,33.84,70.35,13.67,1.32,14.08,151.0,208.58,0.36,4.62,13.65,2.53,52.73,64.01,742.0,0.0,46.95,16-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
