from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,118.4,223.07,76.79,112.3,35.52,17.49,11.25,0.85,61.89,13.98,42.38,24.55,21.61,64.43,,313.19,1.27,194.46,02-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
02-Jan-2020 - 00:00,125.51,229.47,69.11,83.66,14.55,21.51,5.04,0.65,55.77,11.65,29.18,17.13,22.55,70.57,,294.35,1.36,203.33,03-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
03-Jan-2020 - 00:00,104.51,198.98,54.32,60.82,6.5,18.89,5.21,0.55,75.12,10.72,30.89,16.12,22.18,66.18,,264.85,1.51,189.34,04-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
04-Jan-2020 - 00:00,115.54,216.98,62.18,75.62,13.44,17.57,5.33,0.58,65.85,8.5,30.79,21.88,21.13,65.78,,277.38,1.42,234.33,05-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
05-Jan-2020 - 00:00,101.36,203.23,58.79,79.71,20.92,19.06,6.35,0.74,52.38,3.53,36.88,18.05,23.11,63.15,,298.83,1.91,139.72,06-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
06-Jan-2020 - 00:00,74.86,171.96,63.99,79.39,15.4,21.22,8.87,0.57,62.42,2.68,28.48,12.43,25.08,61.4,,286.26,2.17,155.31,07-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
07-Jan-2020 - 00:00,83.01,214.38,79.42,122.24,42.84,28.96,5.19,0.89,42.06,3.82,46.76,24.87,25.28,68.46,,246.06,1.26,191.84,08-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
08-Jan-2020 - 00:00,59.02,159.14,54.33,64.3,9.97,26.36,2.65,0.48,52.17,2.58,35.56,22.98,24.83,66.82,,273.7,1.28,247.21,09-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
09-Jan-2020 - 00:00,59.76,180.26,64.08,82.42,18.34,16.96,4.65,0.54,60.2,2.97,36.99,26.6,22.67,60.31,,289.93,1.38,210.58,10-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
10-Jan-2020 - 00:00,60.07,153.68,62.79,93.4,30.62,13.98,8.2,0.71,57.95,4.37,20.61,12.49,24.05,57.93,,285.91,1.81,140.61,11-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
11-Jan-2020 - 00:00,71.88,222.25,73.98,109.12,35.12,19.7,7.84,0.85,58.14,3.34,11.49,5.11,25.92,59.25,,276.73,1.89,148.29,12-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
12-Jan-2020 - 00:00,82.47,224.96,71.49,129.69,58.2,25.24,5.34,1.04,38.41,4.16,14.77,7.87,25.62,67.39,,264.35,1.33,189.35,13-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
13-Jan-2020 - 00:00,62.91,144.04,44.93,59.19,14.29,36.38,1.3,0.4,32.24,3.9,15.68,5.51,24.74,76.22,,261.3,1.43,203.15,14-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
14-Jan-2020 - 00:00,23.15,118.86,38.72,49.63,10.9,25.07,1.51,0.27,39.84,5.7,34.1,18.54,23.45,70.14,,270.21,1.71,187.5,15-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
15-Jan-2020 - 00:00,34.09,126.0,49.9,65.77,15.88,12.0,3.26,0.3,48.78,2.33,32.12,16.02,22.0,58.52,,303.8,1.61,242.65,16-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
16-Jan-2020 - 00:00,38.26,121.92,41.4,48.15,6.75,11.15,5.18,0.23,70.82,2.14,23.03,10.78,20.55,56.98,,328.39,1.99,213.89,17-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
17-Jan-2020 - 00:00,61.27,155.39,60.2,82.41,22.22,10.61,6.78,0.43,58.95,2.72,40.03,19.23,19.26,54.44,,334.22,1.57,198.94,18-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
18-Jan-2020 - 00:00,97.67,225.14,89.74,119.69,29.95,13.6,7.64,0.75,50.73,3.78,46.93,28.52,21.97,57.3,,316.14,1.28,190.74,19-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
19-Jan-2020 - 00:00,109.22,266.69,72.96,133.52,60.58,21.01,5.83,1.17,55.57,4.79,72.83,39.4,23.49,62.73,,300.02,1.24,203.6,20-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
20-Jan-2020 - 00:00,94.98,222.28,81.7,133.66,51.96,21.93,6.86,1.15,62.33,4.07,75.36,38.81,24.78,62.02,,302.48,1.38,182.08,21-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
21-Jan-2020 - 00:00,89.38,257.6,83.48,161.21,77.73,24.68,6.35,1.17,38.46,4.34,79.69,45.59,24.52,63.48,,320.45,1.19,218.96,22-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
22-Jan-2020 - 00:00,84.43,231.43,61.3,157.79,96.53,20.52,7.56,1.17,47.53,4.44,80.3,44.0,25.29,59.22,,297.38,1.28,189.17,23-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
23-Jan-2020 - 00:00,92.06,228.3,73.22,110.37,37.14,22.72,6.5,0.91,58.57,4.04,66.78,39.55,26.03,58.71,,303.88,1.59,191.91,24-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
24-Jan-2020 - 00:00,71.52,209.27,70.15,110.0,39.84,20.52,4.98,0.81,55.77,3.23,53.25,26.46,26.71,57.35,,301.4,1.46,174.47,25-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
25-Jan-2020 - 00:00,92.8,259.55,81.82,150.91,69.08,23.39,6.63,1.16,52.18,4.62,81.64,43.64,26.33,59.53,,299.52,1.34,203.0,26-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
26-Jan-2020 - 00:00,105.4,259.28,85.63,157.89,72.26,27.61,6.83,1.38,50.13,4.85,90.73,50.66,26.05,60.59,,301.77,1.12,212.52,27-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
27-Jan-2020 - 00:00,74.64,226.93,56.58,85.77,29.2,33.49,2.52,0.45,39.64,2.21,32.72,11.29,24.14,70.42,,298.0,1.55,270.17,28-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
28-Jan-2020 - 00:00,27.4,145.35,44.0,72.91,28.91,24.12,2.08,0.23,25.88,1.84,28.9,13.73,23.56,69.8,,282.07,1.52,217.04,29-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
29-Jan-2020 - 00:00,22.09,119.03,33.95,45.69,11.91,13.91,1.32,0.12,64.49,1.29,23.52,13.57,21.79,62.27,,315.55,1.8,232.2,30-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
30-Jan-2020 - 00:00,63.65,182.0,60.37,80.36,19.98,11.54,5.76,0.48,70.02,2.67,42.97,25.88,21.38,56.76,,325.85,1.53,193.52,31-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
31-Jan-2020 - 00:00,85.39,230.8,76.52,108.61,32.11,14.43,6.85,0.66,60.58,3.6,55.96,38.14,21.94,60.48,,311.53,1.46,223.46,01-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
