from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,15.17,753.81,475.51,341.61,0.0,70.3,56.23,29.06,155.09,0.79,1.53,6.56,5.59,2.95,48.6,73.26,124.39,125.73,,15.97,02-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Jan-2020 - 00:00,18.14,753.41,377.82,274.43,0.0,67.5,45.01,30.09,165.96,0.77,1.24,6.18,5.5,1.93,52.23,23.3,79.78,61.37,,23.67,03-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Jan-2020 - 00:00,18.4,751.04,132.94,76.66,0.0,68.81,61.74,30.69,226.85,1.1,0.46,3.13,2.04,0.69,45.69,8.84,53.0,35.38,5.25,8.37,04-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Jan-2020 - 00:00,16.81,749.91,207.02,146.65,0.0,79.04,48.48,29.29,188.85,1.16,0.63,2.75,1.78,1.21,49.62,15.37,64.05,46.56,,5.43,05-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Jan-2020 - 00:00,13.09,748.93,247.27,189.33,0.0,80.5,8.13,29.51,72.83,1.44,0.62,1.67,0.93,0.91,43.74,16.01,59.21,44.5,,5.73,06-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Jan-2020 - 00:00,19.04,751.25,253.0,148.0,0.0,61.5,51.44,29.82,61.19,1.88,0.54,2.76,2.1,2.5,45.73,5.86,61.76,34.01,,15.61,07-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Jan-2020 - 00:00,17.91,749.38,158.06,118.44,0.01,78.28,50.05,30.87,228.68,1.21,0.68,4.25,3.2,1.31,51.01,13.62,58.14,37.38,,16.61,08-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Jan-2020 - 00:00,15.84,747.05,205.95,169.92,0.04,86.63,28.89,29.83,226.11,1.73,0.72,5.37,3.49,1.79,50.58,10.26,47.68,33.7,,9.1,09-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Jan-2020 - 00:00,14.24,752.17,173.3,129.4,0.0,77.14,51.74,28.84,72.88,1.86,0.53,3.09,2.51,1.5,36.38,6.78,56.35,35.5,,16.21,10-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Jan-2020 - 00:00,12.46,751.52,209.62,144.15,0.0,83.8,49.73,29.27,107.55,1.54,0.62,2.41,1.67,1.37,31.64,16.99,59.49,45.42,,7.77,11-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Jan-2020 - 00:00,11.06,751.9,278.9,216.43,0.0,88.05,33.63,29.14,186.86,1.09,0.79,2.8,2.06,1.86,32.59,12.53,57.17,38.58,,8.74,12-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Jan-2020 - 00:00,11.18,749.32,293.0,234.05,0.0,90.34,29.38,28.55,204.87,0.77,0.84,2.99,1.82,1.85,33.57,14.64,58.64,43.1,,7.84,13-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Jan-2020 - 00:00,11.12,745.72,206.95,162.09,0.01,93.07,22.68,28.65,246.84,1.34,0.75,2.53,1.46,1.67,35.08,13.9,43.28,34.33,,8.92,14-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Jan-2020 - 00:00,16.98,747.47,295.88,223.64,0.0,80.53,60.99,28.34,161.6,1.06,0.77,3.31,2.35,1.72,43.24,20.13,68.0,52.54,,16.71,15-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Jan-2020 - 00:00,16.5,748.24,256.3,170.49,0.0,78.37,40.38,28.7,99.78,1.4,0.77,3.43,2.76,1.75,39.21,15.3,70.02,47.89,,21.36,16-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Jan-2020 - 00:00,16.68,747.5,206.8,161.73,0.04,82.1,41.52,28.44,132.29,1.16,0.65,3.4,2.33,1.6,38.82,20.58,64.7,50.02,,15.66,17-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Jan-2020 - 00:00,17.37,748.36,64.5,50.4,0.0,85.09,53.64,28.99,200.32,0.51,0.42,2.47,1.94,1.98,54.86,9.96,53.36,28.36,,11.84,18-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Jan-2020 - 00:00,15.34,750.9,110.71,86.43,0.0,89.5,57.4,30.43,77.55,1.28,0.47,2.08,1.64,1.07,32.8,5.53,48.12,15.27,10.5,12.24,19-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
