from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Jan-2020 - 00:00,394.54,293.36,139.83,48.77,188.6,5.0,,22.49,0.0,0.0,0.0,0.0,02-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
02-Jan-2020 - 00:00,343.17,236.0,137.75,49.05,186.77,5.21,0.0,20.56,0.0,0.0,0.0,0.0,03-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
03-Jan-2020 - 00:00,249.21,162.66,103.74,39.83,143.57,4.16,0.0,17.97,1.11,0.0,0.0,0.0,04-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
04-Jan-2020 - 00:00,351.44,151.66,65.68,36.92,102.6,3.17,,23.81,4.75,9.33,1.01,15.43,05-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
05-Jan-2020 - 00:00,223.94,120.68,21.54,27.46,48.99,1.9,,26.23,5.35,6.51,25.1,19.52,06-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
06-Jan-2020 - 00:00,200.25,115.95,28.43,33.6,62.03,1.94,,16.46,6.21,1.05,2.17,3.19,07-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
07-Jan-2020 - 00:00,169.57,103.57,15.22,26.85,42.07,1.69,,15.51,5.37,0.16,0.56,0.37,08-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
08-Jan-2020 - 00:00,128.9,145.49,19.46,24.17,43.63,1.77,,13.91,5.09,0.0,0.0,0.0,09-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
09-Jan-2020 - 00:00,109.15,59.47,12.39,19.31,31.69,1.43,,21.36,3.06,0.0,0.01,0.0,10-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
10-Jan-2020 - 00:00,166.5,127.57,28.68,28.16,56.84,1.81,,25.7,4.61,0.0,0.0,0.0,11-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
11-Jan-2020 - 00:00,191.66,128.31,40.46,33.94,74.4,2.02,,27.78,4.93,0.0,0.0,0.0,12-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
12-Jan-2020 - 00:00,344.22,244.57,148.78,50.82,199.62,3.7,,13.34,0.0,0.0,0.0,0.0,13-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
