from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,to date,station
01-Jan-2020 - 00:00,40.73,281.37,80.4,22.11,0.94,146.97,0.0,86.45,0.34,,0.6,0.79,0.23,11.4,7.72,14.89,18.61,02-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Jan-2020 - 00:00,41.77,354.17,94.64,19.71,0.81,128.17,0.0,84.47,0.34,,0.65,0.78,0.25,11.72,7.84,14.95,18.97,03-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Jan-2020 - 00:00,37.7,371.23,92.03,20.03,0.69,137.66,0.0,80.29,0.35,,0.77,0.9,0.25,11.46,7.47,14.93,18.58,04-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Jan-2020 - 00:00,34.31,342.77,81.08,20.94,0.63,139.37,0.0,82.92,0.36,,0.77,1.05,0.36,11.79,7.83,14.87,19.04,05-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Jan-2020 - 00:00,33.19,268.55,72.06,20.94,0.82,88.55,0.0,83.54,0.33,,0.57,0.95,0.32,11.93,7.24,14.89,18.84,06-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Jan-2020 - 00:00,32.0,223.91,68.63,20.96,0.77,135.22,0.0,78.85,0.33,,0.55,0.87,0.28,11.84,6.93,14.71,18.58,07-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Jan-2020 - 00:00,38.24,248.25,73.77,22.51,0.73,127.49,0.0,84.14,0.33,,0.63,1.06,0.29,11.62,7.03,14.66,18.43,08-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Jan-2020 - 00:00,27.72,310.43,81.88,24.17,1.5,142.07,0.0,67.14,0.33,,0.41,0.89,0.25,12.03,7.05,14.8,18.81,09-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Jan-2020 - 00:00,41.56,325.08,80.58,22.59,0.91,120.79,0.0,80.37,0.32,,0.72,0.91,0.33,11.59,6.42,14.64,18.09,10-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Jan-2020 - 00:00,35.87,225.83,68.69,19.98,0.82,136.95,0.0,61.79,0.31,,0.82,0.69,0.19,11.69,6.24,14.86,18.11,11-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Jan-2020 - 00:00,39.03,222.04,67.47,18.97,0.72,156.39,0.0,79.49,0.32,,0.62,0.79,1.34,11.63,7.31,14.67,18.59,12-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Jan-2020 - 00:00,37.51,246.8,65.71,19.43,0.56,196.16,0.0,102.26,0.33,,0.83,0.87,0.82,11.26,7.55,14.72,18.46,13-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Jan-2020 - 00:00,50.31,235.54,60.18,20.4,0.47,153.44,0.0,123.33,0.37,,1.03,1.04,0.48,11.57,7.37,14.91,18.56,14-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Jan-2020 - 00:00,53.6,242.92,70.58,21.87,0.72,138.94,0.0,107.16,0.38,,0.9,1.11,0.41,11.92,7.38,14.88,18.87,15-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Jan-2020 - 00:00,50.34,281.53,78.57,22.96,1.08,116.81,0.0,86.21,0.34,,0.51,0.88,0.32,11.69,7.54,14.87,18.8,16-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Jan-2020 - 00:00,40.73,260.63,74.1,23.07,1.19,131.54,0.0,71.1,0.32,,0.44,0.82,0.24,11.79,7.21,14.75,18.65,17-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Jan-2020 - 00:00,35.4,277.6,79.65,23.41,0.92,145.9,0.0,62.91,0.33,,0.37,0.9,0.26,11.55,7.49,14.91,18.65,18-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Jan-2020 - 00:00,41.66,296.42,82.0,23.78,0.72,148.34,0.0,70.63,0.33,,0.53,1.18,0.41,11.75,7.61,14.9,18.88,19-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Jan-2020 - 00:00,42.66,301.79,77.53,23.51,0.93,137.46,0.0,67.34,0.34,,0.6,1.04,0.37,11.39,7.49,14.9,18.53,20-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Jan-2020 - 00:00,43.29,271.23,78.31,22.39,0.7,147.45,0.0,60.57,0.32,,0.51,0.84,0.3,11.71,7.27,14.75,18.67,21-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Jan-2020 - 00:00,46.92,290.11,74.5,23.74,0.92,149.73,0.0,69.98,0.33,,0.5,0.94,0.31,11.36,7.19,14.91,18.36,22-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Jan-2020 - 00:00,35.99,280.94,80.16,24.62,1.18,123.6,0.0,53.43,0.33,,0.38,0.98,0.3,11.93,7.23,14.92,18.81,23-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Jan-2020 - 00:00,52.95,278.76,74.37,24.7,0.8,114.58,0.0,79.29,0.35,,0.65,1.12,0.39,11.71,7.12,14.76,18.58,24-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Jan-2020 - 00:00,50.8,229.44,69.56,23.58,0.55,179.89,0.0,84.62,0.34,,0.67,1.06,0.36,11.54,7.49,14.67,18.65,25-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Jan-2020 - 00:00,51.03,249.46,73.7,24.06,0.61,176.76,0.0,82.84,0.34,,0.69,1.19,0.48,11.76,6.84,14.97,18.48,26-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Jan-2020 - 00:00,39.92,210.92,64.77,23.64,0.77,140.59,0.0,60.22,0.33,,0.62,1.03,0.42,11.69,7.6,15.0,18.83,27-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Jan-2020 - 00:00,34.46,202.52,63.82,23.91,0.9,131.95,0.0,58.3,0.35,,0.64,1.0,0.36,11.49,7.3,14.83,18.52,28-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Jan-2020 - 00:00,29.89,201.67,63.51,25.46,1.16,169.37,0.0,44.92,0.32,,0.41,0.93,0.34,11.61,7.37,14.94,18.64,29-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Jan-2020 - 00:00,,202.79,63.68,24.48,0.72,230.63,0.0,,0.31,,0.57,1.01,0.37,11.69,6.08,14.49,17.9,30-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Jan-2020 - 00:00,,196.29,62.8,22.94,0.88,186.6,0.0,,0.3,,0.61,0.89,0.39,11.56,5.99,14.54,17.84,31-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Jan-2020 - 00:00,,181.56,60.07,21.78,0.77,114.55,0.0,,0.31,,0.43,0.97,0.41,12.02,6.23,14.51,18.31,01-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Feb-2020 - 00:00,,204.06,64.11,22.38,1.13,99.64,0.0,,0.32,,0.45,0.86,0.31,12.04,6.74,14.71,18.62,02-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Feb-2020 - 00:00,,196.76,62.67,22.64,1.0,106.96,0.0,,0.32,,0.57,0.94,0.32,12.27,6.82,14.29,18.28,03-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Feb-2020 - 00:00,,228.17,69.48,23.69,0.84,117.77,0.0,,0.33,,0.52,1.02,0.41,11.6,6.95,14.42,18.28,04-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Feb-2020 - 00:00,,233.18,71.37,24.95,1.29,128.32,0.0,,0.38,,0.48,1.25,0.6,13.55,6.13,13.25,16.86,05-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Feb-2020 - 00:00,,262.97,77.84,23.49,1.05,106.05,0.0,,,,0.51,1.12,0.49,12.99,6.88,14.01,17.64,06-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Feb-2020 - 00:00,,254.79,74.88,24.1,0.94,108.96,0.0,,0.33,,0.43,0.96,0.35,11.21,6.99,14.53,18.04,07-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Feb-2020 - 00:00,,294.48,82.54,23.44,1.16,88.09,0.0,,,,0.57,0.81,0.26,12.16,6.58,14.78,18.4,08-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Feb-2020 - 00:00,,298.76,83.5,22.03,1.33,60.34,0.0,,0.3,,0.61,0.72,0.22,12.18,7.06,14.88,18.68,09-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Feb-2020 - 00:00,,274.03,78.69,21.84,1.21,65.71,0.0,,0.31,,0.4,0.75,0.22,11.97,7.18,14.86,18.81,10-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Feb-2020 - 00:00,,240.02,71.79,22.67,0.82,111.35,0.0,,0.31,,0.45,0.95,0.28,12.35,6.83,14.91,18.83,11-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Feb-2020 - 00:00,,207.62,65.05,24.12,0.84,99.97,0.0,,0.31,,0.42,0.8,0.29,12.7,7.0,15.13,18.94,12-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Feb-2020 - 00:00,,186.08,60.54,24.17,0.71,148.59,0.0,,0.32,,0.49,0.82,0.31,12.63,7.74,15.01,19.35,13-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Feb-2020 - 00:00,,201.47,63.64,24.01,0.59,185.7,0.0,136.4,0.34,,0.7,1.09,0.45,16.71,7.8,15.87,23.69,14-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Feb-2020 - 00:00,,180.35,59.08,24.73,0.64,200.61,0.0,79.13,0.33,,0.56,1.02,0.41,11.79,6.5,14.83,18.18,15-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Feb-2020 - 00:00,,182.75,59.65,24.99,0.69,165.56,0.0,86.08,0.32,82.39,0.53,1.0,0.37,12.49,7.25,15.24,19.13,16-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Feb-2020 - 00:00,,162.33,55.44,24.91,0.74,132.17,0.0,64.93,0.31,54.87,0.45,1.06,0.41,14.08,7.68,15.63,20.75,17-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Feb-2020 - 00:00,,120.62,46.46,24.46,0.74,152.82,0.0,58.8,0.31,37.92,0.48,0.92,0.35,13.82,7.24,15.27,19.57,18-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Feb-2020 - 00:00,,124.98,47.38,23.61,0.71,192.3,0.0,78.93,0.31,,0.58,0.96,0.38,17.16,9.25,16.53,21.33,19-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Feb-2020 - 00:00,,158.35,54.42,24.0,0.92,146.12,0.0,77.44,0.32,64.12,0.31,0.71,0.26,11.46,7.09,14.93,18.43,20-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Feb-2020 - 00:00,,223.3,67.83,25.23,1.5,124.7,0.0,48.07,0.31,,0.31,0.8,0.3,17.68,9.19,17.02,23.21,21-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Feb-2020 - 00:00,,238.93,70.84,25.77,1.51,129.19,0.0,96.73,0.3,,0.26,1.03,0.23,19.28,8.39,16.49,29.13,22-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Feb-2020 - 00:00,,208.41,64.63,26.33,0.95,129.83,0.0,65.37,0.3,,0.31,1.37,0.31,17.51,7.3,15.3,22.42,23-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Feb-2020 - 00:00,,195.4,61.73,26.64,1.41,130.03,0.0,52.7,0.29,,0.21,0.93,0.24,13.47,6.68,14.9,19.62,24-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Feb-2020 - 00:00,,181.93,59.05,27.09,1.11,130.24,0.0,59.06,0.31,,0.28,3.15,0.25,24.59,4.98,15.43,25.1,25-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Feb-2020 - 00:00,,189.14,60.44,25.73,0.98,227.99,,44.05,0.31,,0.42,3.87,0.03,8.25,,2.22,2.3,26-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Feb-2020 - 00:00,,137.01,49.79,24.26,0.72,143.02,,68.61,0.3,,0.38,1.76,0.06,,,,,27-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Feb-2020 - 00:00,30.39,120.81,46.23,24.38,0.73,177.15,0.0,73.55,0.31,42.33,0.4,1.45,0.15,14.97,6.23,16.17,14.66,28-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Feb-2020 - 00:00,,143.35,50.76,25.21,0.96,120.02,0.0,64.73,0.33,62.07,0.33,0.6,0.19,16.28,8.63,14.92,16.59,29-Feb-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Feb-2020 - 00:00,,163.13,55.11,25.75,1.03,129.99,0.0,60.57,0.32,78.5,0.22,0.34,0.03,15.54,10.07,13.98,17.01,01-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Mar-2020 - 00:00,,201.76,63.02,26.01,1.2,142.36,0.0,56.24,0.32,59.91,0.46,0.49,0.12,15.27,8.1,14.27,15.56,02-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Mar-2020 - 00:00,,174.77,57.85,26.5,1.13,152.28,0.0,50.78,0.31,77.75,0.19,0.33,0.06,15.72,10.42,13.6,17.41,03-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Mar-2020 - 00:00,,202.07,63.53,25.4,1.14,148.09,0.0,49.12,0.35,73.84,0.25,0.39,,,,,,04-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Mar-2020 - 00:00,,221.35,68.13,23.9,0.61,158.68,0.0,53.18,,40.85,0.49,0.5,,,,,,05-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Mar-2020 - 00:00,,276.0,74.47,25.05,0.75,119.17,0.0,94.51,0.3,52.66,0.37,0.49,0.12,,,,,06-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Mar-2020 - 00:00,,226.43,66.34,27.79,1.96,151.4,0.0,45.06,0.29,63.24,0.13,0.17,0.01,,,,,07-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Mar-2020 - 00:00,,190.7,61.44,27.68,1.09,185.31,0.0,46.15,0.3,63.77,0.32,0.18,0.04,,,,,08-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Mar-2020 - 00:00,,268.13,78.48,26.65,1.15,112.83,0.0,35.93,0.32,61.26,0.12,0.32,0.09,,,,,09-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Mar-2020 - 00:00,0.0,302.78,81.43,26.19,1.16,107.77,0.0,39.64,0.33,47.84,0.3,1.2,0.36,,,,,10-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Mar-2020 - 00:00,15.67,255.63,69.58,28.36,1.53,121.68,0.0,30.73,0.29,55.09,0.32,1.39,0.44,,,,,11-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Mar-2020 - 00:00,11.19,235.55,70.75,28.21,1.36,135.49,0.0,33.55,0.29,62.47,0.25,1.02,0.36,,,,,12-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Mar-2020 - 00:00,23.23,243.98,72.71,28.09,1.08,161.67,0.0,39.7,0.3,59.7,0.3,1.1,0.46,,,,,13-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Mar-2020 - 00:00,1.26,266.93,75.25,27.7,1.2,160.46,0.0,34.5,0.3,50.3,0.3,1.18,0.52,,,,,14-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Mar-2020 - 00:00,18.97,328.17,80.63,26.73,0.86,192.37,0.0,41.81,0.3,46.09,0.53,0.97,0.43,,,,,15-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Mar-2020 - 00:00,21.3,213.63,64.78,27.76,0.71,147.35,0.0,53.61,0.3,61.27,0.44,1.26,0.56,,,,,16-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Mar-2020 - 00:00,25.57,195.35,63.7,28.17,0.79,160.96,0.0,61.63,0.3,77.93,0.48,1.23,0.57,,,,,17-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Mar-2020 - 00:00,25.33,196.07,63.51,29.18,,,0.0,60.7,0.36,64.32,0.44,1.3,0.56,,,,,18-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Mar-2020 - 00:00,13.62,189.79,61.41,28.18,,,0.0,36.64,0.28,81.25,0.42,1.13,0.48,,,,,19-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Mar-2020 - 00:00,13.16,189.09,63.54,28.14,,,0.0,40.0,0.3,67.97,0.36,1.15,0.52,,,,,20-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Mar-2020 - 00:00,15.35,143.32,58.07,27.92,,,0.0,37.69,0.3,85.87,0.31,1.15,0.5,,,,,21-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Mar-2020 - 00:00,17.15,226.34,62.96,27.57,,,0.0,39.66,0.3,71.46,0.36,0.87,0.39,,,,,22-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Mar-2020 - 00:00,35.96,331.18,46.51,28.49,,,0.0,60.37,0.3,71.21,0.74,1.24,0.58,,,,,23-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Mar-2020 - 00:00,21.69,344.77,49.21,29.46,,,0.0,47.12,0.32,86.56,0.33,1.07,0.47,,,,,24-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Mar-2020 - 00:00,16.51,266.72,56.91,29.44,,,0.0,42.87,0.3,77.33,0.26,1.05,0.46,,,,,25-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Mar-2020 - 00:00,14.85,124.79,52.89,30.2,,,0.0,46.31,0.3,76.6,0.43,1.16,0.52,,,,,26-Mar-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
