from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,SR,Temp,WD,WS,to date,station
01-Jan-2020 - 00:00,23.93,28.6,13.9,1.33,40.06,4.59,0.5,0.21,2.49,161.9,130.07,21.95,0.0,80.24,57.56,31.59,63.09,2.7,02-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Jan-2020 - 00:00,18.69,25.48,11.03,1.28,26.14,2.8,0.43,0.16,2.12,103.61,83.28,21.08,0.0,92.88,16.44,32.12,63.96,2.52,03-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Jan-2020 - 00:00,28.71,24.94,16.22,1.35,52.91,2.65,0.52,0.34,2.88,161.71,116.25,22.07,0.0,78.22,55.79,33.69,87.56,1.74,04-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Jan-2020 - 00:00,27.57,22.44,15.83,1.18,50.88,3.01,0.47,0.27,2.67,132.83,91.17,21.65,0.0,74.21,78.3,32.37,85.14,2.2,05-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Jan-2020 - 00:00,25.27,20.3,14.52,1.21,41.57,2.71,0.41,0.19,2.64,103.41,65.17,21.45,0.0,71.27,78.85,31.02,107.57,1.83,06-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Jan-2020 - 00:00,20.45,16.65,12.35,1.18,48.83,6.03,0.41,0.36,3.51,106.77,53.32,22.79,0.0,55.59,84.72,31.26,139.03,1.94,07-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Jan-2020 - 00:00,17.86,17.73,11.62,1.29,43.81,3.73,0.46,0.23,4.42,118.46,63.75,23.78,0.0,64.36,74.99,30.95,179.51,2.18,08-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Jan-2020 - 00:00,14.46,16.12,9.83,1.03,63.93,3.86,0.34,0.1,3.91,120.71,71.96,23.68,0.0,71.61,71.75,31.2,198.15,2.16,09-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Jan-2020 - 00:00,13.23,17.15,9.09,0.97,57.6,2.42,0.31,0.12,1.87,103.67,71.09,20.67,0.0,66.07,81.62,31.05,57.96,3.59,10-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Jan-2020 - 00:00,14.59,15.18,9.35,0.86,61.63,2.27,0.31,0.12,1.89,96.5,59.17,20.0,0.0,63.08,92.19,32.11,80.22,2.71,11-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Jan-2020 - 00:00,17.76,12.8,10.5,1.0,56.27,3.08,0.4,0.21,2.71,114.62,67.67,21.31,0.0,61.79,84.49,32.97,92.44,1.92,12-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Jan-2020 - 00:00,21.29,21.32,12.42,1.27,43.92,2.78,0.36,0.08,3.27,132.23,61.27,25.75,0.0,51.57,117.52,34.71,120.59,1.42,13-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Jan-2020 - 00:00,17.55,14.95,10.37,1.76,29.65,6.39,0.01,0.0,0.0,124.59,65.32,23.81,0.0,69.36,72.23,32.25,203.35,2.79,14-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Jan-2020 - 00:00,12.79,17.2,7.87,,35.7,5.51,0.0,0.0,0.0,111.83,63.84,24.25,0.0,72.62,62.51,31.1,138.83,1.45,15-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Jan-2020 - 00:00,11.87,14.49,7.38,,40.2,6.94,0.0,0.0,0.0,117.71,77.79,23.85,0.0,76.71,60.85,31.3,132.38,1.99,16-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Jan-2020 - 00:00,12.08,15.49,7.53,,45.52,5.37,0.0,0.0,0.0,117.39,75.6,22.62,0.0,66.51,86.55,33.13,249.57,2.81,17-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Jan-2020 - 00:00,11.59,14.6,7.35,,42.69,5.35,0.0,0.0,0.0,114.06,81.27,21.56,0.0,73.85,73.93,32.28,111.21,2.0,18-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Jan-2020 - 00:00,15.6,15.3,9.37,,37.93,5.65,0.0,0.0,0.0,105.69,71.63,21.15,0.0,70.92,63.76,30.59,92.69,1.85,19-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
