from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
01-Jan-2020 - 00:00,7.58,997.95,497.64,365.22,75.83,67.07,162.7,0.52,6.81,22.69,66.74,89.41,244.45,180.96,15.15,3.64,30.7,02-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Jan-2020 - 00:00,8.56,997.68,483.16,358.73,74.22,65.65,179.76,0.49,8.19,39.05,61.53,94.62,218.95,173.99,19.44,2.4,37.36,03-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Jan-2020 - 00:00,9.14,995.71,300.38,210.86,73.44,76.01,183.02,0.51,6.38,33.74,50.36,72.18,255.18,227.6,15.49,2.46,24.1,04-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Jan-2020 - 00:00,8.94,994.66,293.71,168.8,72.52,65.07,236.08,0.53,10.4,51.83,53.74,78.92,195.28,186.79,13.61,2.54,11.78,05-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Jan-2020 - 00:00,8.98,995.11,230.8,160.02,67.01,70.15,222.74,0.74,4.96,28.08,51.7,69.36,66.71,36.6,13.11,0.96,10.79,06-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Jan-2020 - 00:00,9.02,996.06,228.59,151.51,69.02,37.3,143.86,0.81,5.52,25.28,50.05,75.22,92.48,64.0,16.64,1.18,19.05,07-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Jan-2020 - 00:00,9.21,993.95,188.01,128.33,75.52,33.63,96.33,0.69,5.18,25.67,50.21,61.48,63.18,37.41,15.98,1.0,18.72,08-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Jan-2020 - 00:00,8.63,991.93,158.26,124.27,85.16,9.44,164.77,0.75,5.39,23.31,51.48,51.82,62.79,43.18,9.74,1.07,14.75,09-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Jan-2020 - 00:00,7.73,996.63,140.2,96.74,77.26,78.3,269.69,1.12,3.9,16.29,37.45,47.71,36.87,14.13,9.53,0.62,9.11,10-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Jan-2020 - 00:00,7.66,996.8,221.09,142.31,76.49,83.01,252.69,0.77,6.38,29.05,40.71,63.87,84.06,61.41,11.46,1.25,11.6,11-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Jan-2020 - 00:00,8.19,996.49,238.0,148.06,69.2,83.8,245.2,0.67,7.3,35.39,44.66,77.55,138.63,119.44,13.2,1.95,11.76,12-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Jan-2020 - 00:00,7.1,996.55,489.0,324.0,86.55,1.8,189.85,0.5,15.85,87.45,54.9,86.15,440.4,484.0,20.15,4.1,17.85,13-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
