from date,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,CO,AT,WS,SO2,Benzene,Toluene,NH3,to date,station
01-Jan-2020 - 00:00,432.92,5.95,0.0,229.89,70.7,972.68,81.6,104.93,65.46,120.34,9.87,361.43,2.8,9.92,0.67,5.32,5.49,28.49,44.29,02-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
02-Jan-2020 - 00:00,378.71,10.4,0.0,248.73,69.48,972.65,80.69,121.2,78.69,140.65,6.47,196.32,2.69,12.93,0.49,6.22,6.75,36.19,44.07,03-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
03-Jan-2020 - 00:00,248.21,7.66,0.03,234.42,68.58,972.62,87.81,130.6,58.19,137.44,5.64,177.12,1.83,14.44,0.69,4.87,5.6,46.93,45.49,04-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
04-Jan-2020 - 00:00,290.08,8.19,0.0,274.15,69.34,972.64,75.63,,,,7.85,209.24,1.26,13.97,0.72,5.44,7.74,46.47,,05-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
05-Jan-2020 - 00:00,243.1,0.44,0.0,244.42,75.14,972.81,64.96,,,,3.84,179.18,1.09,10.75,0.64,3.33,2.45,17.8,,06-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
06-Jan-2020 - 00:00,218.38,1.52,0.01,252.41,59.06,972.34,69.39,8.05,65.04,35.14,4.91,139.82,1.54,16.08,0.99,5.82,3.12,13.66,36.7,07-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
07-Jan-2020 - 00:00,217.61,1.65,0.01,124.84,72.24,972.73,43.39,41.89,61.87,67.06,3.86,142.62,1.82,16.17,1.07,5.9,3.55,18.8,30.76,08-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
08-Jan-2020 - 00:00,150.71,0.61,0.0,224.86,85.48,973.1,13.21,30.39,42.11,47.32,3.99,116.38,1.63,13.37,0.69,3.9,2.75,11.8,32.18,09-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
09-Jan-2020 - 00:00,126.32,0.1,0.0,276.85,77.64,972.89,77.96,4.9,36.94,23.56,7.07,88.5,1.06,10.59,1.8,3.66,1.49,5.36,26.72,10-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
10-Jan-2020 - 00:00,182.08,0.97,0.0,267.86,74.48,972.78,96.32,10.53,47.41,33.81,8.94,120.11,1.69,10.61,1.26,4.09,3.84,15.02,25.69,11-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
11-Jan-2020 - 00:00,206.92,3.99,0.0,269.46,64.36,972.49,93.61,28.06,51.72,50.38,11.28,133.19,1.5,11.9,0.94,4.33,3.38,26.12,25.98,12-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
12-Jan-2020 - 00:00,248.21,4.97,0.0,273.76,66.47,972.56,94.45,103.15,38.72,104.7,43.39,167.52,1.55,12.98,0.74,4.53,5.92,23.88,36.12,13-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
13-Jan-2020 - 00:00,278.5,3.87,0.04,192.4,72.43,972.73,55.48,16.72,68.45,50.03,3.93,185.8,1.7,14.27,1.38,5.82,4.16,9.08,34.19,14-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
14-Jan-2020 - 00:00,156.6,0.68,0.0,287.52,77.04,972.88,75.47,14.08,51.73,37.62,4.95,106.8,1.36,13.36,1.32,4.34,2.69,16.78,42.08,15-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
15-Jan-2020 - 00:00,166.21,0.41,0.0,273.14,72.38,972.73,84.05,14.36,52.76,39.74,7.38,98.11,1.1,13.61,1.05,3.53,2.43,17.59,29.7,16-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
16-Jan-2020 - 00:00,202.42,0.18,0.0,274.1,77.98,972.89,39.46,19.08,51.46,42.93,3.77,134.59,1.39,12.48,0.87,4.96,2.6,17.84,34.28,17-Jan-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
