from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,93.04,115.47,49.55,5.4,30.76,17.72,9.26,1.51,19.94,17.16,0.79,131.49,84.49,723.04,88.35,0.11,02-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
02-Jan-2020 - 00:00,60.16,78.66,44.07,4.14,26.81,13.74,8.04,1.07,29.22,18.37,1.36,178.14,84.96,723.11,106.0,0.07,03-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
03-Jan-2020 - 00:00,49.32,94.48,38.21,8.21,27.01,11.04,5.0,1.08,29.05,19.62,1.08,155.61,82.71,721.47,112.12,0.01,04-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
04-Jan-2020 - 00:00,84.19,155.9,51.1,14.77,39.19,18.93,5.05,1.36,23.9,18.42,0.78,143.39,77.73,721.08,112.1,0.0,05-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
05-Jan-2020 - 00:00,96.47,176.15,50.28,15.85,39.63,16.26,5.98,1.43,26.96,16.87,0.93,121.88,76.0,722.91,117.36,0.0,06-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
06-Jan-2020 - 00:00,79.27,161.38,55.09,10.75,38.04,13.55,5.64,1.33,24.12,18.47,0.86,164.65,63.54,723.46,123.21,0.0,07-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
07-Jan-2020 - 00:00,68.55,158.27,57.37,10.22,38.83,12.95,13.52,1.19,27.0,19.63,1.16,175.53,63.36,720.82,122.71,0.0,08-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
08-Jan-2020 - 00:00,60.46,104.36,36.63,2.62,21.61,12.68,11.92,0.9,40.98,20.2,2.01,176.74,79.09,717.77,121.4,0.08,09-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
09-Jan-2020 - 00:00,79.2,136.14,40.69,7.2,27.5,16.47,3.73,0.84,36.03,18.12,0.97,144.81,71.84,721.85,134.22,0.0,10-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
10-Jan-2020 - 00:00,104.78,161.98,48.3,15.98,38.68,15.74,5.05,1.23,35.55,14.35,1.04,129.95,68.41,723.92,130.52,0.0,11-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
11-Jan-2020 - 00:00,130.15,173.88,67.83,67.62,92.54,24.06,7.55,1.36,30.19,15.09,0.72,155.53,67.67,723.65,130.59,0.0,12-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
12-Jan-2020 - 00:00,171.32,232.63,76.16,69.88,97.19,23.73,7.56,2.1,20.84,17.19,0.7,169.72,63.54,721.25,124.68,0.0,13-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
13-Jan-2020 - 00:00,87.82,187.7,64.92,50.12,75.28,14.82,10.23,1.51,22.47,20.02,1.17,175.88,62.72,717.69,122.3,0.0,14-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
14-Jan-2020 - 00:00,77.89,171.81,53.44,27.06,50.42,15.95,9.24,1.29,29.2,22.02,1.07,160.2,66.59,717.97,124.18,0.0,15-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
15-Jan-2020 - 00:00,65.47,139.64,52.29,13.01,38.39,15.0,9.89,1.19,29.69,22.74,1.18,170.6,63.16,718.56,120.61,0.0,16-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
16-Jan-2020 - 00:00,56.5,134.17,39.14,3.68,23.81,12.3,9.24,0.79,49.88,22.78,1.83,183.45,64.49,717.32,127.45,0.0,17-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
17-Jan-2020 - 00:00,90.21,148.94,40.72,4.84,25.58,17.13,6.93,1.08,26.82,20.41,0.86,175.77,72.89,719.98,110.82,0.0,18-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
18-Jan-2020 - 00:00,78.23,135.61,42.23,4.75,26.32,16.82,6.6,1.0,29.83,20.39,1.12,105.05,73.51,720.7,122.3,0.0,19-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
19-Jan-2020 - 00:00,71.54,133.84,42.17,9.63,30.26,14.37,5.81,1.08,27.63,17.64,1.12,137.61,73.95,722.25,109.35,0.0,20-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
20-Jan-2020 - 00:00,116.77,208.96,51.81,16.01,40.58,16.47,7.98,1.43,27.14,17.18,1.0,143.36,63.59,722.39,141.48,0.0,21-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
21-Jan-2020 - 00:00,66.58,150.34,52.92,7.73,34.43,12.94,9.59,1.24,24.53,20.07,0.93,169.43,65.99,721.75,132.29,0.0,22-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
22-Jan-2020 - 00:00,83.2,161.43,45.16,5.29,28.32,19.81,5.56,1.29,21.78,21.32,1.06,121.13,78.52,722.38,121.18,0.0,23-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
23-Jan-2020 - 00:00,69.38,144.66,47.35,7.81,31.54,13.09,5.14,0.94,48.1,19.65,1.15,117.26,59.27,723.23,133.43,0.0,24-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
24-Jan-2020 - 00:00,70.39,156.85,59.53,22.85,50.25,10.21,7.32,1.32,29.99,18.07,0.93,156.17,59.66,721.94,133.29,0.0,25-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
25-Jan-2020 - 00:00,95.66,162.15,69.61,55.22,81.93,11.26,7.77,1.07,28.23,18.76,0.91,159.06,58.85,720.68,137.35,0.0,26-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
26-Jan-2020 - 00:00,109.78,229.12,71.0,41.5,71.51,14.62,5.89,1.56,27.66,19.57,0.77,172.6,60.06,719.65,149.26,0.0,27-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
27-Jan-2020 - 00:00,44.64,116.27,49.08,4.69,29.92,10.32,8.52,1.08,30.37,20.98,1.15,154.82,59.45,717.01,145.67,0.0,28-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
