from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,9.8,996.19,546.02,458.02,71.27,90.06,135.82,180.01,0.63,4.35,8.87,82.21,102.83,40.41,104.52,24.95,15.38,02-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
02-Jan-2020 - 00:00,11.24,995.95,480.33,337.72,68.66,92.55,196.14,162.07,0.48,4.19,10.22,84.88,84.53,43.06,91.79,,17.53,03-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
03-Jan-2020 - 00:00,12.03,993.76,331.88,219.1,68.81,99.53,120.68,150.93,0.62,2.11,7.13,79.18,57.43,41.96,69.13,,12.58,04-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
04-Jan-2020 - 00:00,11.52,992.88,396.15,265.71,69.86,88.76,113.51,102.69,1.0,1.84,7.84,81.15,77.2,38.27,83.26,,12.42,05-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
05-Jan-2020 - 00:00,11.37,993.36,270.09,191.7,66.94,88.62,66.12,74.61,1.05,1.16,3.97,67.24,32.83,34.65,45.17,,11.5,06-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
06-Jan-2020 - 00:00,11.4,994.24,264.51,182.11,69.71,46.26,50.78,159.0,0.75,1.34,3.71,71.55,28.5,35.18,41.95,,11.99,07-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
07-Jan-2020 - 00:00,11.95,991.86,216.88,146.4,70.77,50.66,76.22,273.42,1.26,1.7,5.81,63.69,34.44,47.15,53.15,52.35,13.38,08-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
08-Jan-2020 - 00:00,10.9,990.12,135.97,115.07,82.61,19.2,44.02,196.79,1.31,1.32,3.94,61.27,23.6,37.9,39.4,18.2,13.22,09-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
09-Jan-2020 - 00:00,9.28,994.94,145.76,107.06,80.27,61.26,26.69,106.98,1.86,1.43,3.55,44.0,15.24,28.08,27.36,28.97,16.18,10-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
10-Jan-2020 - 00:00,9.81,995.09,226.62,155.92,74.15,119.01,52.87,103.9,1.8,1.98,5.17,45.43,13.21,38.49,31.23,43.59,22.12,11-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
11-Jan-2020 - 00:00,10.7,994.73,268.97,212.92,65.23,135.7,69.49,104.29,1.35,1.75,6.79,52.96,32.63,48.54,52.45,46.42,19.36,12-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
