from date,AT,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
01-Jan-2020 - 00:00,17.46,2.45,22.16,13.52,5.09,9.23,16.22,0.44,215.64,85.05,754.62,37.6,-0.59,0.0,408.66,,,,02-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Jan-2020 - 00:00,18.49,2.0,18.64,7.96,16.51,7.9,22.48,0.58,192.28,81.31,754.52,54.58,-0.99,0.0,356.89,1.36,15.96,12.34,03-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Jan-2020 - 00:00,17.75,0.98,12.52,2.42,24.09,7.39,18.6,1.02,143.56,86.81,754.56,31.91,-0.56,0.0,215.94,1.48,9.61,3.54,04-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Jan-2020 - 00:00,16.82,1.27,16.58,2.26,24.31,7.34,17.47,0.41,219.03,88.34,754.65,34.17,-1.43,0.0,127.67,1.08,8.67,6.04,05-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Jan-2020 - 00:00,16.88,0.72,12.06,2.95,23.99,7.74,27.88,1.76,244.93,86.05,754.74,48.38,-1.04,0.0,110.31,0.69,2.7,0.93,06-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Jan-2020 - 00:00,16.05,1.28,19.03,3.1,24.12,7.86,26.61,0.69,231.86,85.57,754.85,43.56,-0.98,0.0,211.8,1.32,8.07,3.45,07-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Jan-2020 - 00:00,16.32,1.64,29.99,3.03,23.76,7.59,25.91,0.49,218.51,86.23,754.88,59.39,-0.44,0.0,247.23,2.1,14.29,8.4,08-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Jan-2020 - 00:00,16.95,1.27,14.31,3.09,24.51,7.9,23.61,0.73,155.5,85.87,755.16,43.69,-0.65,0.0,282.41,2.44,17.6,8.14,09-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Jan-2020 - 00:00,18.73,1.44,15.77,3.23,24.37,7.95,29.17,1.05,148.24,83.03,754.78,45.74,-1.06,0.01,147.9,1.35,8.29,2.45,10-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Jan-2020 - 00:00,17.44,0.84,12.92,3.33,24.11,8.02,23.26,1.49,245.75,84.33,755.0,40.86,-1.06,0.0,114.79,1.1,5.62,2.27,11-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Jan-2020 - 00:00,15.31,1.32,17.61,3.52,23.87,8.07,25.46,1.0,261.89,85.37,754.9,49.81,-0.94,0.0,169.01,1.51,6.6,2.06,12-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Jan-2020 - 00:00,14.17,1.09,10.62,3.22,23.94,7.86,22.07,1.31,267.77,88.94,755.06,51.15,-1.33,0.0,166.07,1.64,5.36,1.37,13-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Jan-2020 - 00:00,14.19,1.13,34.24,3.02,24.11,7.75,14.56,0.69,273.49,88.76,755.08,51.05,-0.73,0.0,197.84,1.97,8.37,3.03,14-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Jan-2020 - 00:00,13.43,2.02,15.68,3.13,23.97,7.77,11.33,0.43,207.93,94.23,755.42,37.49,-1.24,0.0,224.66,2.66,13.6,6.11,15-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Jan-2020 - 00:00,15.45,2.44,17.83,7.25,25.74,8.88,23.96,0.39,188.71,88.78,754.83,56.45,-1.22,0.0,283.92,3.87,36.81,26.13,16-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Jan-2020 - 00:00,18.01,1.58,12.92,3.09,24.37,7.94,22.57,1.09,157.01,83.93,754.92,64.22,-1.08,0.0,267.42,3.53,33.38,24.66,17-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Jan-2020 - 00:00,20.37,1.05,21.22,3.19,23.98,7.89,40.48,2.07,96.03,77.3,754.71,64.94,-0.98,0.0,138.46,1.67,12.16,5.7,18-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Jan-2020 - 00:00,20.22,0.78,27.46,3.23,24.13,7.88,22.59,0.7,244.53,83.59,754.74,60.29,-1.26,0.0,92.65,1.23,7.48,2.48,19-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Jan-2020 - 00:00,17.49,0.86,13.14,2.91,23.98,7.71,26.8,1.93,264.41,82.98,754.97,51.36,-1.05,0.0,100.76,0.97,3.34,1.12,20-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Jan-2020 - 00:00,16.28,0.75,9.56,3.15,24.23,7.93,21.86,1.24,257.68,83.59,754.97,58.02,-1.02,0.0,103.24,1.19,5.8,1.87,21-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Jan-2020 - 00:00,15.64,1.26,11.75,3.23,24.02,7.79,21.74,0.59,236.31,88.73,755.18,64.7,-0.81,0.0,240.19,2.11,13.03,7.42,22-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Jan-2020 - 00:00,15.59,1.34,11.35,3.23,24.44,7.72,22.95,0.7,232.72,85.46,755.2,73.93,-1.07,0.0,181.35,2.51,16.12,7.88,23-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Jan-2020 - 00:00,16.84,1.36,14.25,3.42,24.09,8.01,24.19,1.19,242.02,81.32,754.97,73.07,-0.85,0.0,199.03,2.01,9.92,3.19,24-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Jan-2020 - 00:00,16.32,0.7,15.23,3.41,24.52,7.45,25.47,1.15,193.7,77.44,755.21,76.03,-0.97,0.0,149.16,1.54,8.23,3.02,25-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Jan-2020 - 00:00,16.12,1.51,16.9,2.98,24.15,7.76,23.85,0.58,220.69,82.01,755.07,70.46,-1.03,0.0,213.41,2.49,15.8,10.43,26-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
