from date,PM10,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
01-Jan-2020 - 00:00,,0.05,147.7,80.44,51.5,113.5,37.57,110.78,21.55,359.43,9.16,1.97,0.69,51.33,46.39,11.87,20.83,12.44,18.51,02-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Jan-2020 - 00:00,,0.13,129.58,78.62,50.33,144.12,48.89,141.3,14.59,385.09,9.85,2.21,0.55,62.67,71.94,16.94,32.65,19.54,27.44,03-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Jan-2020 - 00:00,,0.15,162.38,78.18,51.92,97.13,32.76,95.13,13.01,181.16,11.55,1.04,0.56,32.72,28.92,6.69,13.06,6.87,7.2,04-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Jan-2020 - 00:00,,0.17,190.96,78.14,54.22,53.82,36.04,62.23,14.34,184.23,12.56,1.02,0.69,24.56,21.33,4.35,9.05,4.87,5.77,05-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Jan-2020 - 00:00,,0.18,171.16,72.63,51.81,8.17,33.14,24.16,20.35,142.25,12.49,0.79,0.79,9.55,5.68,2.22,1.68,0.15,2.17,06-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Jan-2020 - 00:00,,0.17,131.27,74.44,30.76,14.28,38.54,31.93,9.1,150.92,12.63,0.61,0.81,10.85,10.42,2.42,3.62,1.42,3.58,07-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Jan-2020 - 00:00,,0.17,135.3,77.56,36.1,11.65,41.46,31.38,17.49,109.96,12.76,0.75,1.05,11.52,11.23,3.14,3.32,1.59,2.99,08-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Jan-2020 - 00:00,,0.15,195.12,95.12,20.51,11.04,31.0,25.32,5.15,104.15,12.22,0.64,0.79,9.59,9.03,2.19,2.3,1.03,3.07,09-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Jan-2020 - 00:00,,0.21,274.3,85.63,41.56,6.47,26.5,19.27,11.65,97.41,10.27,0.78,1.14,5.35,5.86,1.14,0.96,0.17,1.3,10-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Jan-2020 - 00:00,,0.21,297.3,83.49,54.27,17.99,37.88,34.54,14.46,143.32,9.34,0.88,0.83,9.56,10.08,2.65,3.2,1.87,3.28,11-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Jan-2020 - 00:00,,0.24,246.84,72.17,58.62,39.13,44.58,55.02,19.86,176.17,10.79,0.99,0.6,17.15,14.96,4.18,6.37,4.25,4.55,12-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Jan-2020 - 00:00,,0.25,209.48,76.29,58.43,55.4,39.25,65.2,13.77,202.48,11.83,1.2,0.6,32.46,24.29,6.5,10.26,5.87,7.09,13-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Jan-2020 - 00:00,,0.24,168.42,76.33,38.3,30.71,42.31,47.07,16.88,196.12,12.5,1.34,1.39,37.28,19.44,5.12,8.28,4.57,5.65,14-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Jan-2020 - 00:00,,0.27,103.03,85.31,48.66,7.02,28.43,20.74,11.09,95.63,11.94,0.97,1.13,10.65,5.4,1.24,1.27,0.32,1.63,15-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Jan-2020 - 00:00,,0.27,80.61,79.63,61.13,9.24,32.01,24.42,15.05,122.44,11.9,0.7,0.94,8.19,5.79,1.62,1.0,0.25,2.21,16-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Jan-2020 - 00:00,,0.21,137.71,87.21,45.26,10.0,29.6,23.74,7.89,139.72,12.55,0.67,0.86,4.96,11.95,1.96,2.41,0.58,3.05,17-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Jan-2020 - 00:00,,0.15,178.49,90.58,56.2,11.95,23.9,22.27,9.4,118.87,14.12,0.58,0.82,30.09,10.48,2.39,2.24,1.03,2.87,18-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
