from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,9.3,997.59,339.06,264.75,72.11,65.58,136.32,0.94,,7.33,39.59,50.6,46.71,47.53,63.06,2.27,24.03,7.57,02-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Jan-2020 - 00:00,11.56,997.41,360.54,276.81,69.06,61.8,125.21,0.94,,8.83,58.23,50.12,52.61,41.38,61.23,2.32,24.76,7.42,03-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Jan-2020 - 00:00,13.07,995.19,192.33,152.83,70.98,65.12,222.13,0.77,,4.52,32.96,46.26,39.08,18.97,35.73,1.12,25.77,7.23,04-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Jan-2020 - 00:00,12.48,994.36,175.33,143.23,70.97,68.03,168.76,1.02,,2.98,13.13,46.42,30.63,17.02,29.67,0.86,22.6,8.33,05-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Jan-2020 - 00:00,12.72,994.84,197.79,150.48,67.81,62.03,218.1,1.22,,2.36,12.79,44.67,28.72,4.23,18.22,0.71,26.11,9.71,06-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Jan-2020 - 00:00,13.3,995.66,189.25,139.4,69.21,40.72,151.76,1.13,,2.95,20.1,43.98,34.27,6.67,23.19,0.78,14.36,6.12,07-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Jan-2020 - 00:00,14.5,993.26,141.62,102.08,69.99,36.56,145.17,1.38,,2.88,19.72,42.16,38.59,9.85,28.08,0.8,19.5,4.8,08-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Jan-2020 - 00:00,12.88,991.6,110.77,94.12,79.15,11.49,143.89,1.35,,2.5,14.58,42.31,26.19,6.57,18.78,0.7,10.26,5.33,09-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Jan-2020 - 00:00,8.88,996.47,90.16,69.66,77.06,54.7,197.75,1.53,,1.55,4.99,32.27,17.32,2.32,10.6,0.47,19.08,5.36,10-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Jan-2020 - 00:00,8.66,996.62,110.75,86.89,77.02,64.04,259.68,1.43,,2.27,5.48,33.86,25.06,2.86,15.16,0.7,27.83,6.61,11-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-Jan-2020 - 00:00,10.59,996.19,145.4,110.34,68.83,93.49,218.86,1.05,,2.21,5.52,35.48,28.75,6.57,20.15,0.81,28.3,5.34,12-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Jan-2020 - 00:00,12.37,993.14,181.05,135.53,67.87,92.59,212.95,1.13,,2.9,9.39,40.86,32.09,13.3,27.4,0.91,22.77,5.77,13-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-Jan-2020 - 00:00,14.36,988.56,246.95,169.74,69.07,47.72,133.13,2.25,,4.92,24.32,47.33,36.37,22.82,37.44,1.29,26.15,5.46,14-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Jan-2020 - 00:00,11.55,992.5,95.92,74.38,76.03,57.97,52.43,1.39,,1.78,13.39,36.22,21.01,2.5,12.73,0.54,18.14,5.47,15-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Jan-2020 - 00:00,10.83,993.51,112.48,86.36,73.52,85.0,113.36,1.07,,2.23,17.01,33.48,22.75,7.26,17.53,0.6,25.32,5.29,16-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Jan-2020 - 00:00,11.31,992.42,143.59,104.92,78.76,29.28,104.31,1.17,,2.55,20.44,37.74,24.26,3.26,15.27,0.64,12.56,5.67,17-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Jan-2020 - 00:00,12.63,993.62,121.52,96.1,77.68,67.08,122.97,1.37,,2.44,13.38,37.0,19.9,4.58,14.31,0.71,15.12,4.79,18-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Jan-2020 - 00:00,10.7,995.43,146.12,106.65,79.71,44.9,116.13,0.89,,3.72,28.69,33.87,32.22,9.6,24.77,1.1,10.0,4.69,19-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Jan-2020 - 00:00,9.77,996.16,133.49,100.11,75.74,88.38,224.16,1.96,,2.1,6.0,32.17,17.91,1.86,11.04,0.99,32.13,5.61,20-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Jan-2020 - 00:00,10.67,994.95,151.33,104.62,77.05,54.52,261.29,1.21,,2.51,8.5,34.4,19.59,4.39,13.76,0.78,28.06,6.02,21-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Jan-2020 - 00:00,12.62,995.55,269.04,185.02,73.43,81.34,149.02,0.98,,4.91,28.54,38.74,34.35,22.28,36.43,1.54,23.64,6.17,22-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Jan-2020 - 00:00,10.28,997.35,179.92,147.3,78.95,49.54,244.98,1.36,,5.62,33.63,36.03,27.36,15.87,27.49,1.4,15.0,6.01,23-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-Jan-2020 - 00:00,11.08,995.94,97.16,67.31,67.36,120.82,227.82,2.55,,1.28,2.86,27.08,19.57,1.71,11.79,0.41,31.83,5.9,24-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Jan-2020 - 00:00,11.25,993.37,81.23,52.6,63.42,120.81,299.59,2.21,,1.19,2.43,24.41,19.99,1.43,11.77,0.41,37.91,5.09,25-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Jan-2020 - 00:00,11.51,993.42,123.89,86.06,66.62,116.83,217.76,1.06,,1.87,6.87,26.76,27.56,10.17,22.94,0.61,31.66,5.62,26-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-Jan-2020 - 00:00,12.84,991.63,150.8,109.96,66.82,112.73,188.27,1.13,,1.92,8.16,32.88,23.0,8.91,19.5,0.68,28.09,5.63,27-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Jan-2020 - 00:00,14.16,989.03,223.91,145.73,63.63,45.38,136.43,1.33,,3.69,24.82,37.8,51.93,20.11,43.67,1.26,18.26,6.27,28-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-Jan-2020 - 00:00,15.12,987.7,114.75,88.67,68.21,61.06,146.54,2.06,,2.08,14.92,35.38,26.67,2.64,16.34,0.96,27.46,5.65,29-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Jan-2020 - 00:00,13.14,993.76,79.24,52.93,67.26,115.5,132.57,1.31,,1.36,9.02,27.86,20.4,3.75,13.89,0.57,25.44,5.74,30-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Jan-2020 - 00:00,11.58,994.63,90.12,65.0,68.75,98.71,202.5,1.53,,1.7,8.61,27.84,24.72,7.04,18.89,0.61,21.0,5.76,31-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
