from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,10.67,995.89,568.0,513.97,78.65,127.05,0.46,192.66,9.05,42.52,91.16,61.3,79.92,56.29,2.71,30.14,14.91,02-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Jan-2020 - 00:00,13.37,995.52,546.41,438.2,75.81,119.94,0.31,199.02,9.41,53.19,83.95,52.96,78.3,66.04,3.93,14.04,19.37,03-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Jan-2020 - 00:00,14.96,993.3,413.42,313.01,73.89,132.64,0.38,181.4,6.58,57.84,79.81,22.05,38.91,39.44,3.88,15.39,12.04,04-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Jan-2020 - 00:00,14.27,992.03,372.94,281.33,75.04,116.48,0.38,263.41,10.65,41.59,75.26,68.51,84.75,54.33,2.33,15.73,12.02,05-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Jan-2020 - 00:00,14.27,992.54,288.9,217.18,66.19,125.44,0.53,244.98,9.13,24.68,69.62,38.78,54.82,44.95,1.22,19.76,10.35,06-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Jan-2020 - 00:00,14.58,993.49,263.22,185.65,65.53,66.42,0.57,245.37,8.68,22.26,68.69,50.16,66.59,48.37,1.27,7.85,15.5,07-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Jan-2020 - 00:00,14.98,991.75,174.62,125.48,75.74,64.24,0.97,104.03,6.22,17.18,65.51,35.38,49.31,38.47,0.94,6.61,12.56,08-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Jan-2020 - 00:00,13.27,989.47,188.86,168.21,95.21,17.78,0.65,214.59,7.47,17.42,62.84,36.92,46.06,30.03,1.2,16.83,7.22,09-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Jan-2020 - 00:00,10.91,993.95,192.86,156.46,82.07,169.35,0.91,271.57,7.04,15.22,59.84,11.91,20.99,25.26,1.01,16.0,8.06,10-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Jan-2020 - 00:00,11.05,994.15,287.99,214.69,78.45,148.97,0.73,267.4,7.65,23.72,63.63,38.51,61.26,56.23,1.8,15.81,10.21,11-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Jan-2020 - 00:00,12.38,993.93,367.32,287.22,66.1,155.6,0.54,257.37,10.33,28.36,70.64,56.78,74.0,52.11,2.49,30.92,14.64,12-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
