from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
01-Jan-2020 - 00:00,28.29,,10.6,81.62,81.65,109.8,34.01,391.12,0.33,1.13,58.69,10.73,87.01,1.17,117.22,66.47,756.93,0.0,-0.02,02-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Jan-2020 - 00:00,31.14,,13.71,28.31,73.09,61.89,16.05,238.88,,,,15.52,82.39,1.44,139.78,92.3,756.15,0.1,-0.02,03-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Jan-2020 - 00:00,33.58,,16.99,8.46,41.93,29.18,8.49,122.11,5.32,2.37,0.31,15.66,89.75,1.78,135.09,65.4,754.12,0.0,-0.03,04-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Jan-2020 - 00:00,34.14,,13.88,14.17,52.04,39.21,8.96,99.3,0.34,2.53,0.14,13.75,91.77,1.34,137.86,46.62,753.94,0.0,-0.02,05-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Jan-2020 - 00:00,34.35,,24.49,8.29,48.5,32.55,21.5,133.02,0.26,1.9,0.13,14.33,90.11,2.0,190.24,91.77,754.55,0.0,-0.03,06-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Jan-2020 - 00:00,34.77,,21.74,51.27,77.56,82.95,33.39,139.33,0.32,2.14,0.18,16.61,78.46,1.49,152.54,103.1,755.11,0.0,-0.01,07-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Jan-2020 - 00:00,35.61,,22.89,13.9,60.3,43.37,12.27,164.68,0.3,2.15,0.2,17.1,77.61,1.74,132.2,89.13,753.4,0.0,-0.03,08-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Jan-2020 - 00:00,35.78,,22.78,7.95,41.46,28.52,7.94,155.0,0.23,2.07,0.02,14.39,90.56,2.67,162.95,22.86,751.01,0.06,-0.07,09-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Jan-2020 - 00:00,35.24,,14.99,16.35,51.54,40.71,10.97,110.24,0.25,1.91,0.06,13.45,89.31,2.03,97.12,32.79,754.18,0.0,-0.01,10-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Jan-2020 - 00:00,33.55,,17.28,36.43,59.56,61.29,25.51,159.71,0.24,1.84,0.09,10.09,88.84,1.87,136.62,76.07,755.95,0.0,-0.03,11-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Jan-2020 - 00:00,32.35,,6.12,55.18,75.26,84.89,28.72,230.1,0.32,1.97,0.15,12.38,80.91,1.34,155.65,109.57,755.81,0.0,0.0,12-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Jan-2020 - 00:00,32.88,,25.7,102.13,83.83,136.84,27.51,315.36,0.34,1.9,0.16,13.86,82.41,1.06,181.21,110.12,753.28,0.0,0.01,13-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Jan-2020 - 00:00,33.5,,13.27,25.18,68.03,56.65,13.24,291.85,0.34,2.03,0.24,13.8,87.63,1.69,145.01,99.62,749.81,0.0,-0.05,14-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
