from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,8.58,28.46,29.68,16.98,5.91,2.29,37.68,258.17,358.99,0.99,0.45,12.36,30.35,53.08,1.08,741.66,53.99,0.0,02-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Jan-2020 - 00:00,15.01,29.9,31.44,23.46,8.75,2.11,21.26,197.98,307.48,0.95,0.56,16.48,30.0,52.46,0.63,741.53,56.91,0.0,03-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Jan-2020 - 00:00,12.04,22.2,20.06,20.07,7.0,1.62,33.07,134.84,223.21,0.64,0.72,18.23,29.61,52.09,0.57,741.21,60.29,0.0,04-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Jan-2020 - 00:00,23.49,25.21,28.26,20.06,8.05,1.66,43.81,157.24,254.23,0.61,0.81,16.75,29.62,50.25,0.77,741.1,55.32,0.0,05-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Jan-2020 - 00:00,1.28,21.46,11.71,20.0,8.86,1.4,47.34,166.66,245.35,0.51,0.42,15.96,29.17,47.18,1.11,741.05,48.67,0.0,06-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
06-Jan-2020 - 00:00,1.73,20.69,11.92,20.12,9.16,1.4,22.14,152.51,205.73,0.53,0.53,15.36,29.23,39.81,0.7,741.11,19.2,0.01,07-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Jan-2020 - 00:00,1.3,13.69,8.0,15.41,3.64,1.3,24.05,92.8,117.79,0.38,0.35,17.02,29.26,43.75,1.5,741.0,33.69,0.0,08-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Jan-2020 - 00:00,0.76,9.92,5.36,9.94,3.75,1.3,30.01,79.32,93.0,0.32,0.27,15.8,29.95,42.29,1.14,741.0,15.72,0.18,09-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Jan-2020 - 00:00,3.23,12.01,8.07,9.17,5.62,1.04,30.78,86.86,123.45,0.28,0.26,11.63,31.07,53.48,1.76,741.42,43.24,0.0,10-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Jan-2020 - 00:00,0.71,13.79,7.16,11.64,4.56,1.28,41.19,91.3,141.44,0.36,0.25,12.01,30.89,59.02,1.99,741.21,61.84,0.0,11-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Jan-2020 - 00:00,2.08,14.34,7.99,10.48,8.71,1.21,36.13,110.85,152.52,0.34,0.21,10.55,31.01,63.15,1.16,741.31,72.25,0.0,12-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
23-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,24-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
24-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,25-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
25-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,26-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
26-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
29-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
30-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
31-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
06-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
