from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,PM10,PM2.5,RH,SR,WD,WS,Temp,CO,NH3,NO,NO2,NOx,O Xylene,SO2,Ozone,to date,station
01-Jan-2020 - 00:00,2.71,0.26,0.02,2.35,74.18,35.63,50.36,,112.67,0.47,19.2,0.52,20.29,3.2,37.34,21.7,0.11,6.35,19.81,02-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
02-Jan-2020 - 00:00,2.45,0.04,0.0,1.85,68.47,34.78,60.03,,115.23,0.56,18.93,0.52,22.58,4.09,41.83,24.39,0.02,6.07,13.06,03-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
03-Jan-2020 - 00:00,8.2,7.83,1.96,2.85,94.05,51.68,69.25,188.3,127.75,0.44,20.33,1.54,21.22,73.6,52.68,86.13,3.01,14.23,13.63,04-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
04-Jan-2020 - 00:00,9.78,10.22,2.49,11.58,101.29,57.99,66.13,,163.73,0.42,20.24,1.19,23.45,46.35,40.81,58.02,4.31,9.08,14.34,05-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
05-Jan-2020 - 00:00,4.0,2.58,0.33,3.53,70.24,38.89,63.88,,150.46,0.48,19.26,0.67,12.1,27.98,32.88,38.28,0.93,9.15,17.97,06-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
06-Jan-2020 - 00:00,7.58,5.59,0.98,5.34,82.6,39.71,62.78,,192.2,0.48,18.78,1.16,15.54,52.92,49.12,62.03,2.11,19.23,,07-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
07-Jan-2020 - 00:00,10.09,7.18,1.5,10.19,102.85,54.56,65.79,,168.25,0.36,20.01,1.25,19.61,34.37,66.18,61.57,2.97,11.09,,08-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
08-Jan-2020 - 00:00,8.14,2.81,0.39,7.83,117.54,55.34,65.99,,146.61,0.39,20.02,0.55,19.8,11.09,46.62,32.88,1.15,4.74,,09-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
09-Jan-2020 - 00:00,2.32,0.05,0.01,1.49,75.71,43.86,67.64,,123.21,0.44,20.65,0.35,25.82,3.96,38.03,22.36,0.08,19.4,30.21,10-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
10-Jan-2020 - 00:00,2.5,0.81,0.1,2.37,57.33,24.0,63.23,,105.59,0.48,18.71,0.52,28.57,8.88,48.56,31.84,0.41,15.4,40.53,11-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
11-Jan-2020 - 00:00,6.49,5.23,1.13,6.65,73.2,33.69,60.09,,165.5,0.44,17.7,1.22,30.17,41.05,58.59,62.81,2.33,13.64,42.55,12-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
12-Jan-2020 - 00:00,7.8,4.7,0.74,8.62,,,60.96,,193.88,0.46,18.13,0.92,24.16,33.18,55.73,55.06,2.08,3.71,39.73,13-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
13-Jan-2020 - 00:00,10.85,10.96,2.32,16.9,98.04,47.23,63.45,,203.08,0.43,19.33,1.78,30.29,57.42,88.63,91.75,5.24,30.5,25.58,14-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
14-Jan-2020 - 00:00,10.36,10.55,2.2,14.16,116.4,53.48,60.84,162.12,197.77,0.4,20.13,1.46,34.51,45.18,67.52,79.32,4.85,23.88,31.31,15-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
15-Jan-2020 - 00:00,8.82,7.07,1.22,11.63,113.79,54.18,58.59,147.66,148.02,0.45,21.38,0.97,31.1,23.16,45.11,51.75,3.04,10.61,26.27,16-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
16-Jan-2020 - 00:00,9.59,10.35,1.9,14.2,95.38,50.77,59.48,163.19,175.45,0.42,21.82,1.32,30.96,40.22,46.64,66.65,4.55,6.36,14.12,17-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
17-Jan-2020 - 00:00,5.01,3.41,0.56,7.45,80.84,37.74,60.02,163.04,153.15,0.47,22.27,0.62,39.55,10.51,40.37,38.03,2.84,6.37,26.53,18-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
18-Jan-2020 - 00:00,6.69,6.57,1.37,8.51,86.8,42.78,58.8,184.7,128.44,0.45,21.75,1.19,35.0,26.2,37.89,49.26,2.92,5.25,23.35,19-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
19-Jan-2020 - 00:00,3.35,0.76,0.08,2.17,90.16,48.23,57.12,143.42,121.89,0.61,20.91,0.3,30.29,5.86,23.78,21.97,0.35,7.27,22.68,20-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
20-Jan-2020 - 00:00,6.83,7.58,1.53,9.35,87.24,47.87,55.29,155.76,146.6,0.51,23.55,1.39,25.11,45.66,36.73,63.42,3.71,20.96,28.99,21-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
