from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,BP,PM2.5,PM10,RF,RH,SR,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,26.2,4.74,7.3,15.29,,137.25,215.68,0.0,78.01,143.0,-0.12,256.87,1.12,0.97,48.45,44.24,57.42,98.69,25.55,10.52,02-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Jan-2020 - 00:00,27.68,8.25,7.57,14.78,,139.97,225.53,0.0,76.76,114.0,-0.13,187.11,1.16,1.01,32.1,20.51,62.68,79.74,19.96,16.29,03-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Jan-2020 - 00:00,20.66,5.82,5.68,12.73,,53.05,80.09,0.0,96.57,39.32,-0.14,166.76,1.47,0.43,27.04,16.19,55.03,68.21,7.49,5.0,04-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Jan-2020 - 00:00,19.83,5.21,5.73,16.99,,77.24,104.65,0.0,98.07,46.54,-0.11,218.91,1.03,1.35,22.51,34.65,45.06,76.71,5.83,7.49,05-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Jan-2020 - 00:00,22.5,6.13,7.62,16.29,,90.87,124.01,0.0,97.9,68.41,-0.13,259.52,1.14,0.8,22.38,48.3,39.77,85.08,8.09,4.16,06-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Jan-2020 - 00:00,21.02,6.39,7.73,11.98,,101.2,145.64,0.0,83.14,161.15,-0.13,209.12,1.27,0.85,21.45,83.83,57.99,138.81,23.51,6.33,07-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Jan-2020 - 00:00,16.12,3.99,4.39,10.11,,121.33,176.69,0.0,88.65,146.27,-0.13,254.19,1.36,0.84,22.25,24.11,51.35,72.46,22.65,8.87,08-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Jan-2020 - 00:00,28.09,8.97,9.15,17.91,,166.82,226.41,0.0,82.44,150.06,-0.12,169.56,1.14,1.11,25.03,83.27,59.07,139.34,23.92,12.04,09-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Jan-2020 - 00:00,27.83,11.04,9.78,17.84,,133.26,189.37,0.0,88.24,78.51,-0.12,189.5,0.95,0.93,26.71,47.84,63.42,108.32,10.35,10.38,10-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Jan-2020 - 00:00,16.76,3.72,4.21,11.2,,86.4,122.03,0.0,78.46,141.79,-0.16,313.32,1.83,0.52,35.16,13.26,42.07,52.31,25.13,8.0,11-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Jan-2020 - 00:00,11.07,2.14,2.69,7.6,,78.06,114.49,0.0,85.12,137.95,-0.15,301.13,1.59,0.51,27.77,8.25,38.56,43.79,23.16,5.04,12-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Jan-2020 - 00:00,12.24,1.96,3.07,7.99,,91.25,122.69,0.0,80.05,167.73,-0.13,304.36,1.42,0.65,25.83,14.82,42.43,54.24,28.81,5.86,13-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Jan-2020 - 00:00,14.01,2.82,3.53,7.87,,110.12,161.05,0.0,70.43,176.87,-0.14,292.81,1.2,1.02,25.12,35.38,55.06,88.89,49.31,7.79,14-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Jan-2020 - 00:00,35.82,9.83,11.53,26.86,,175.34,250.68,0.0,75.45,149.94,-0.11,247.35,0.97,1.5,26.55,96.6,73.69,170.28,28.75,11.3,15-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Jan-2020 - 00:00,43.25,19.47,17.62,27.18,,199.3,281.04,0.0,76.03,148.96,-0.18,249.49,0.98,1.64,28.74,120.64,83.75,204.38,34.75,10.84,16-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
