from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,9.82,998.11,504.62,367.11,77.94,57.2,144.02,0.87,1.96,6.08,112.51,96.59,120.26,23.62,2.93,16.82,4.95,02-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
02-Jan-2020 - 00:00,10.36,997.77,489.99,335.03,77.17,55.71,136.7,0.6,2.33,7.23,117.37,129.88,154.0,24.09,3.18,11.36,6.78,03-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
03-Jan-2020 - 00:00,10.72,995.85,308.26,204.24,74.81,58.65,173.99,0.59,1.92,6.45,102.19,108.23,128.94,20.71,2.57,10.54,3.89,04-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
04-Jan-2020 - 00:00,10.65,994.81,317.79,209.71,74.68,50.05,259.66,0.55,2.12,7.84,98.75,90.61,118.15,27.56,2.38,10.5,3.95,05-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
05-Jan-2020 - 00:00,10.61,995.31,232.85,153.0,68.79,47.07,248.36,0.95,0.9,3.0,105.33,13.02,34.19,21.19,0.86,14.15,3.19,06-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
06-Jan-2020 - 00:00,10.61,996.28,235.16,145.16,70.78,30.2,158.73,1.15,1.04,3.4,83.69,26.46,50.11,23.67,1.12,8.6,3.92,07-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
07-Jan-2020 - 00:00,10.71,994.11,178.12,117.77,76.65,32.12,107.88,1.32,0.97,3.43,77.02,12.28,30.78,18.52,0.98,4.85,3.68,08-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
08-Jan-2020 - 00:00,10.35,992.07,144.89,113.47,87.49,11.11,182.48,0.87,0.88,3.39,79.96,16.34,32.29,15.96,1.04,3.91,2.52,09-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
09-Jan-2020 - 00:00,9.87,996.82,123.92,88.69,79.92,73.02,305.2,1.03,0.59,2.04,56.47,8.27,22.5,14.23,0.64,8.39,2.2,10-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
10-Jan-2020 - 00:00,9.94,996.99,186.69,128.02,76.0,76.93,284.24,0.75,1.3,20.58,62.7,26.61,48.2,21.6,1.4,6.45,2.3,11-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
11-Jan-2020 - 00:00,10.26,996.69,237.51,146.48,67.12,80.52,292.79,0.62,1.39,4.76,74.48,45.37,70.73,25.35,1.28,10.49,3.18,12-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
12-Jan-2020 - 00:00,10.5,993.74,352.26,211.1,70.91,70.9,245.36,0.55,2.11,7.88,93.28,95.18,121.79,26.45,2.78,7.11,2.59,13-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
13-Jan-2020 - 00:00,10.64,989.37,315.48,209.91,75.08,42.03,173.79,0.66,1.62,5.02,108.89,47.18,68.14,20.95,2.01,8.59,2.49,14-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
14-Jan-2020 - 00:00,10.39,992.91,176.27,122.2,78.91,63.83,256.31,1.1,0.96,3.42,87.09,6.62,20.8,14.18,1.17,7.73,1.77,15-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
15-Jan-2020 - 00:00,10.42,994.0,167.11,101.3,75.8,66.51,204.27,1.19,1.02,3.76,72.61,7.41,23.45,16.06,1.09,12.48,2.48,16-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
16-Jan-2020 - 00:00,10.21,992.85,195.5,139.09,79.99,34.65,189.04,0.97,1.28,3.89,71.46,10.49,26.47,15.99,1.28,4.66,2.4,17-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
17-Jan-2020 - 00:00,10.43,994.06,139.14,97.66,82.85,62.97,252.42,0.9,0.85,3.65,63.08,16.18,29.73,13.47,1.06,5.22,2.03,18-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
18-Jan-2020 - 00:00,10.19,995.87,207.45,120.84,82.46,56.0,204.33,0.82,1.28,4.73,66.49,23.52,40.41,16.89,1.6,7.1,2.1,19-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
19-Jan-2020 - 00:00,9.9,996.54,192.99,75.85,78.73,79.11,285.42,0.9,0.8,2.27,64.54,11.72,26.06,14.35,1.18,10.45,1.96,20-Jan-2020 - 00:00,"Patparganj, Delhi - DPCC"
